speciesId,species_lsid,family,genus,species,subspecies,author,year,parentheses,distribution
1,urn:lsid:nmbe.ch:spidersp:000896,Actinopodidae,Actinopus,caraiba,NA,Simon,1889,1,Venezuela
2,urn:lsid:nmbe.ch:spidersp:000898,Actinopodidae,Actinopus,crassipes,NA,Keyserling,1891,1,"Brazil, Paraguay, Argentina"
3,urn:lsid:nmbe.ch:spidersp:000899,Actinopodidae,Actinopus,cucutaensis,NA,Mello-Leitão,1941,0,"Colombia, Venezuela, Brazil"
4,urn:lsid:nmbe.ch:spidersp:000900,Actinopodidae,Actinopus,dubiomaculatus,NA,Mello-Leitão,1923,0,Brazil
5,urn:lsid:nmbe.ch:spidersp:000901,Actinopodidae,Actinopus,echinus,NA,Mello-Leitão,1949,0,Brazil
6,urn:lsid:nmbe.ch:spidersp:000902,Actinopodidae,Actinopus,fractus,NA,Mello-Leitão,1920,0,Brazil
7,urn:lsid:nmbe.ch:spidersp:000903,Actinopodidae,Actinopus,harti,NA,Pocock,1895,0,Trinidad
8,urn:lsid:nmbe.ch:spidersp:000904,Actinopodidae,Actinopus,insignis,NA,Holmberg,1881,1,"Uruguay, Argentina"
9,urn:lsid:nmbe.ch:spidersp:000905,Actinopodidae,Actinopus,liodon,NA,Ausserer,1875,1,Uruguay
10,urn:lsid:nmbe.ch:spidersp:000906,Actinopodidae,Actinopus,longipalpis,NA,C. L. Koch,1842,0,"Uruguay, Argentina"
11,urn:lsid:nmbe.ch:spidersp:000907,Actinopodidae,Actinopus,nattereri,NA,Doleschall,1871,1,Brazil
12,urn:lsid:nmbe.ch:spidersp:000908,Actinopodidae,Actinopus,nigripes,NA,Lucas,1834,1,Brazil
13,urn:lsid:nmbe.ch:spidersp:000909,Actinopodidae,Actinopus,paranensis,NA,Mello-Leitão,1920,0,Brazil
14,urn:lsid:nmbe.ch:spidersp:000910,Actinopodidae,Actinopus,pertyi,NA,Lucas,1843,0,South America
15,urn:lsid:nmbe.ch:spidersp:000911,Actinopodidae,Actinopus,piceus,NA,Ausserer,1871,1,Brazil
16,urn:lsid:nmbe.ch:spidersp:000912,Actinopodidae,Actinopus,princeps,NA,Chamberlin,1917,0,Brazil
17,urn:lsid:nmbe.ch:spidersp:000913,Actinopodidae,Actinopus,pusillus,NA,Mello-Leitão,1920,0,Brazil
18,urn:lsid:nmbe.ch:spidersp:000914,Actinopodidae,Actinopus,robustus,NA,O. Pickard-Cambridge,1892,1,Panama
19,urn:lsid:nmbe.ch:spidersp:000915,Actinopodidae,Actinopus,rojasi,NA,Simon,1889,1,Venezuela
20,urn:lsid:nmbe.ch:spidersp:000916,Actinopodidae,Actinopus,rufibarbis,NA,Mello-Leitão,1930,0,Brazil
21,urn:lsid:nmbe.ch:spidersp:000917,Actinopodidae,Actinopus,rufipes,NA,Lucas,1834,1,Brazil
22,urn:lsid:nmbe.ch:spidersp:000918,Actinopodidae,Actinopus,scalops,NA,Simon,1889,1,Venezuela
23,urn:lsid:nmbe.ch:spidersp:000919,Actinopodidae,Actinopus,tarsalis,NA,Perty,1833,0,Brazil
24,urn:lsid:nmbe.ch:spidersp:000920,Actinopodidae,Actinopus,trinotatus,NA,Mello-Leitão,1938,0,Brazil
25,urn:lsid:nmbe.ch:spidersp:000921,Actinopodidae,Actinopus,valencianus,NA,Simon,1889,1,Venezuela
26,urn:lsid:nmbe.ch:spidersp:000922,Actinopodidae,Actinopus,wallacei,NA,F. O. Pickard-Cambridge,1896,0,Brazil
27,urn:lsid:nmbe.ch:spidersp:000923,Actinopodidae,Actinopus,xenus,NA,Chamberlin,1917,0,South America
28,urn:lsid:nmbe.ch:spidersp:000924,Actinopodidae,Missulena,bradleyi,NA,Rainbow,1914,0,Australia (New South Wales)
29,urn:lsid:nmbe.ch:spidersp:000925,Actinopodidae,Missulena,dipsaca,NA,Faulder,1995,0,Australia
30,urn:lsid:nmbe.ch:spidersp:045858,Actinopodidae,Missulena,faulderi,NA,Harms & Framenau,2013,0,Australia (Western Australia)
31,urn:lsid:nmbe.ch:spidersp:000926,Actinopodidae,Missulena,granulosa,NA,O. Pickard-Cambridge,1869,1,Australia (Western Australia)
32,urn:lsid:nmbe.ch:spidersp:000927,Actinopodidae,Missulena,hoggi,NA,Womersley,1943,0,Australia (Western Australia)
33,urn:lsid:nmbe.ch:spidersp:000928,Actinopodidae,Missulena,insignis,NA,O. Pickard-Cambridge,1877,1,Australia
34,urn:lsid:nmbe.ch:spidersp:045859,Actinopodidae,Missulena,langlandsi,NA,Harms & Framenau,2013,0,Australia (Western Australia)
35,urn:lsid:nmbe.ch:spidersp:000929,Actinopodidae,Missulena,occatoria,NA,Walckenaer,1805,0,Southern Australia
36,urn:lsid:nmbe.ch:spidersp:000930,Actinopodidae,Missulena,pruinosa,NA,Levitt-Gregg,1966,0,"Australia (Western Australia, Northern Territory)"
37,urn:lsid:nmbe.ch:spidersp:000931,Actinopodidae,Missulena,reflexa,NA,Rainbow & Pulleine,1918,0,Australia (South Australia)
38,urn:lsid:nmbe.ch:spidersp:000932,Actinopodidae,Missulena,rutraspina,NA,Faulder,1995,0,"Australia (Western Australia, South Australia, Victoria)"
39,urn:lsid:nmbe.ch:spidersp:000933,Actinopodidae,Missulena,torbayensis,NA,Main,1996,0,Australia (Western Australia)
40,urn:lsid:nmbe.ch:spidersp:000934,Actinopodidae,Missulena,tussulena,NA,Goloboff,1994,0,Chile
41,urn:lsid:nmbe.ch:spidersp:000935,Actinopodidae,Plesiolena,bonneti,NA,Zapfe,1961,1,Chile
42,urn:lsid:nmbe.ch:spidersp:000936,Actinopodidae,Plesiolena,jorgelina,NA,Goloboff,1994,0,Chile
43,urn:lsid:nmbe.ch:spidersp:041793,Agelenidae,Acutipetala,donglini,NA,Dankittipakul & Zhang,2008,0,Thailand
44,urn:lsid:nmbe.ch:spidersp:041792,Agelenidae,Acutipetala,octoginta,NA,Dankittipakul & Zhang,2008,0,Thailand
45,urn:lsid:nmbe.ch:spidersp:020824,Agelenidae,Gorbiscape,agelenoides,NA,Walckenaer,1841,1,Western Mediterranean
46,urn:lsid:nmbe.ch:spidersp:020825,Agelenidae,Agelena,annulipedella,NA,Strand,1913,0,Uganda or DR Congo
47,urn:lsid:nmbe.ch:spidersp:020826,Agelenidae,Agelena,atlantea,NA,Fage,1938,0,Morocco
48,urn:lsid:nmbe.ch:spidersp:020827,Agelenidae,Agelena,australis,NA,Simon,1896,0,South Africa
49,urn:lsid:nmbe.ch:spidersp:040190,Agelenidae,Agelena,babai,NA,Tanikawa,2005,0,Japan
50,urn:lsid:nmbe.ch:spidersp:020828,Agelenidae,Agelena,barunae,NA,Tikader,1970,0,India
51,urn:lsid:nmbe.ch:spidersp:020829,Agelenidae,Allagelena,bifida,NA,Wang,1997,1,China
