bird_observation_id,record_id,species_common_name,species_scientific_name,species_abbreviation,age,wan_plumage_phase,plumage_phase,sex,count,n_feeding,feeding,n_sitting_on_water,sitting_on_water,n_sitting_on_ice,sitting_on_ice,sitting_on_ship,in_hand,n_flying_past,flying_past,n_accompanying,accompanying,n_following_ship,following_ship,moulting,naturally_feeding
1,1083001,Royal / Wandering albatross,Diomedea epomophora / sanfordi / antipodensis / exulans,DIOEPOSANANTEXU,NA,NA,NA,NA,6,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,6,TRUE,0,FALSE,NA,FALSE
2,1083001,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,NA,NA,NA,NA,2,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,2,TRUE,0,FALSE,NA,FALSE
3,1083001,Cape petrel,Daption capense,DAPCAP,NA,NA,NA,NA,8,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,8,TRUE,0,FALSE,NA,FALSE
4,1083001,Fairy prion,Pachyptila turtur,PACTUR,NA,NA,NA,NA,2,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,2,TRUE,0,FALSE,NA,FALSE
5,1083001,Sooty shearwater,Puffinus griseus,PUFGRI,NA,NA,NA,NA,4,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,4,TRUE,0,FALSE,NA,FALSE
6,1084001,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,NA,NA,NA,NA,10,0,FALSE,2,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,8,TRUE,NA,FALSE
7,1084001,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,NA,NA,NA,NA,2,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,2,TRUE,NA,FALSE
8,1084001,Sooty shearwater,Puffinus griseus,PUFGRI,NA,NA,NA,NA,18,NA,TRUE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,TRUE,NA,FALSE,NA,FALSE
9,1084002,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,NA,NA,NA,NA,10,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,10,TRUE,NA,FALSE
10,1084002,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,NA,NA,NA,NA,2,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,2,TRUE,NA,FALSE
11,1084002,Cape petrel,Daption capense,DAPCAP,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1084002,Prion (unidentified),Pachyptila sp,PACSP,NA,NA,NA,NA,2,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,TRUE,NA,FALSE,NA,FALSE
13,1084002,Sooty shearwater,Puffinus griseus,PUFGRI,NA,NA,NA,NA,8,NA,TRUE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,NA,FALSE
14,1084002,Seabird (Unidentified),NA,SEABUN,NA,NA,NA,NA,1,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,1,TRUE,NA,FALSE
15,1084003,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,NA,NA,NA,NA,14,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,14,TRUE,NA,FALSE
16,1084003,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,NA,NA,NA,NA,4,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,4,TRUE,NA,FALSE
17,1084003,Giant petrel sensu lato,Macronectes sp.,MACSP,NA,NA,NA,NA,3,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,3,TRUE,NA,FALSE
18,1084003,Cape petrel,Daption capense,DAPCAP,NA,NA,NA,NA,8,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,8,TRUE,0,FALSE,NA,FALSE
19,1084003,Fairy prion,Pachyptila turtur,PACTUR,NA,NA,NA,NA,18,NA,TRUE,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,TRUE,NA,FALSE,NA,NA
20,1086001,Fairy prion,Pachyptila turtur,PACTUR,NA,NA,NA,NA,6,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,6,TRUE,0,FALSE,NA,FALSE
21,1086001,Black petrel,Procellaria parkinsoni,PROPAR,NA,NA,NA,NA,55,NA,TRUE,NA,TRUE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,TRUE,NA,FALSE,NA,NA
22,1086001,Australasian gannet,Morus serrator,MORSER,NA,NA,NA,NA,12,NA,TRUE,NA,TRUE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE
23,1086002,Wilson's storm petrel,Oceanites oceanicus,OCEOCE,NA,NA,NA,NA,22,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,22,TRUE,0,FALSE,0,FALSE,NA,FALSE
24,1086002,Australasian gannet,Morus serrator,MORSER,NA,NA,NA,NA,7,0,FALSE,2,TRUE,0,FALSE,FALSE,FALSE,5,TRUE,0,FALSE,0,FALSE,NA,FALSE
25,1086003,Wandering albatross sensu lato AD,Diomedea antipodensis / exulans AD,DIOANTEXU AD,adult,NA,NA,NA,4,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,4,TRUE,NA,FALSE
26,1086003,Wandering albatross sensu lato JUV,Diomedea antipodensis / exulans JUV,DIOANTEXU JUV,juvenile,NA,NA,NA,2,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,2,TRUE,NA,FALSE
27,1086003,Royal albatross sensu lato AD,Diomedea epomophora / sanfordi AD,DIOEPOSAN AD,adult,NA,NA,NA,3,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,3,TRUE,NA,FALSE
28,1086003,Northern giant petrel,Macronectes halli,MACHAL,NA,NA,NA,NA,3,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,3,TRUE,NA,FALSE
29,1086003,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,NA,NA,NA,NA,1,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,1,TRUE,NA,FALSE
30,1086003,Sooty shearwater,Puffinus griseus,PUFGRI,NA,NA,NA,NA,1,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,1,TRUE,1,TRUE,0,FALSE,NA,FALSE
31,1086004,Wandering albatross sensu lato AD,Diomedea antipodensis / exulans AD,DIOANTEXU AD,adult,NA,NA,NA,4,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,4,TRUE,NA,FALSE
32,1086004,Wandering albatross sensu lato JUV,Diomedea antipodensis / exulans JUV,DIOANTEXU JUV,juvenile,NA,NA,NA,2,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,2,TRUE,NA,FALSE
33,1086004,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,NA,NA,NA,NA,3,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,3,TRUE,NA,FALSE
34,1086004,Northern giant petrel,Macronectes halli,MACHAL,NA,NA,NA,NA,1,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,1,TRUE,NA,FALSE
35,1086004,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,NA,NA,NA,NA,1,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,1,TRUE,NA,FALSE
36,1086005,Wandering albatross sensu lato AD,Diomedea antipodensis / exulans AD,DIOANTEXU AD,adult,NA,NA,NA,3,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,3,TRUE,NA,FALSE
37,1086005,Wandering albatross sensu lato IMM,Diomedea antipodensis / exulans IMM,DIOANTEXU IMM,immature,NA,NA,NA,4,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,4,TRUE,NA,FALSE
38,1086005,Northern royal albatross AD,Diomedea sanfordi AD,DIOSAN AD,adult,NA,NA,NA,2,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,2,TRUE,NA,FALSE
39,1086005,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,NA,NA,NA,NA,4,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,4,TRUE,NA,FALSE
40,1086005,White-chinned petrel,Procellaria aequinoctialis,PROAEQ,NA,NA,NA,NA,2,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,2,TRUE,0,FALSE,0,FALSE,NA,FALSE
41,1086005,Petrel (unidentified),NA,PETRUN,NA,NA,NA,NA,2,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,2,TRUE,0,FALSE,0,FALSE,NA,FALSE
42,1086006,Wandering albatross sensu lato IMM,Diomedea antipodensis / exulans IMM,DIOANTEXU IMM,immature,NA,NA,NA,1,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,1,TRUE,NA,FALSE
43,1086006,Royal albatross sensu lato,Diomedea epomophora / sanfordi,DIOEPOSAN,NA,NA,NA,NA,3,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,3,TRUE,NA,FALSE
44,1086007,Royal albatross sensu lato AD,Diomedea epomophora / sanfordi AD,DIOEPOSAN AD,adult,NA,NA,NA,1,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,1,NA,NA,FALSE
45,1086007,Sooty shearwater,Puffinus griseus,PUFGRI,NA,NA,NA,NA,1,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,1,TRUE,0,FALSE,0,FALSE,NA,FALSE
46,1086007,Australasian gannet,Morus serrator,MORSER,NA,NA,NA,NA,1,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,1,TRUE,0,FALSE,0,FALSE,NA,FALSE
47,1087001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1087002,Wandering albatross sensu lato IMM,Diomedea antipodensis / exulans IMM,DIOANTEXU IMM,immature,NA,NA,NA,3,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,3,TRUE,NA,FALSE
49,1087002,Royal albatross sensu lato AD,Diomedea epomophora / sanfordi AD,DIOEPOSAN AD,adult,NA,NA,NA,2,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,2,TRUE,NA,FALSE
50,1087002,Black-browed albatross sensu lato AD,Diomedea impavida / melanophrys AD,DIOIMPMEL AD,adult,NA,NA,NA,3,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,3,TRUE,NA,FALSE
