writer,song_count
Ashley Gorley,44
Shane McAnally,36
Ross Copperman,32
Josh Osborne,28
Rhett Akins,23
Hillary Lindsey,18
Jesse Frasure,18
Jon Nite,17
Zach Crowell,16
Rodney Clawson,14
Luke Laird,14
Ben Hayslip,13
Eric Church,13
Matthew Ramsey,13
Chris DeStefano,13
Thomas Rhett,12
Trevor Rosen,13
Tyler Hubbard,12
Nicolle Galyon,12
Jimmy Robbins,11
Sam Hunt,11
Cole Swindell,10
Josh Kear,10
Brad Paisley,9
Luke Bryan,9
Dallas Davidson,9
Cole Swindell,9
Brett James,9
Brian Kelley,8
Jaren Johnston,8
Brian Kelley,8
Shay Mooney,8
busbee,8
Kelsea Ballerini,8
Chris Dubois,7
Brantley Gilbert,7
Brad Warren,7
Brett Warren,7
Kelley Lovelace,7
Tom Douglas,7
Brantley Gilbert,7
Zac Brown,7
Jeff Hyde,7
Ryan Hurd,7
Barry Dean,7
Dan Smyers,7
Lee Thomas Miller,7
Jonathan Singleton,7
Niko Moon,7
Tom Douglas,7
Kelley Lovelace,7
Brantley Gilbert,7
Chris DuBois,7
Chris Janson,7
Brett Eldredge,7
Dan Smyers,7
Matt Jenkins,6
Michael Carter,6
Justin Wilson,6
Michael Carter,6
Charles Kelley,6
Chris Tompkins,5
Chris Janson,7
Maren Morris,7
Jeff Hyde,7
Jordan Schmidt,10
Brad Tursi,10
Jordan Schmidt,10
Laura Veltz,8
Nicolle Galyon,12
Luke Combs,8
