song,artist,featuring,entered_top_30_in,lyrics,writers,producer,rough_order
Wake Up Lovin You,Craig Morgan,NA,2013,"My friends call me up 'cause they know I'm down Take me out to paint the town and help me get over it Pretty blonde girl at the end of the bar Buys a drink, gives a wink, and then it goes too far We're out on the dance floor feelin' the gin I finally start coming alive again I take her home for the night And everything is right until the first ray of sunlight And damn if I don't wake up lovin' you Oh I wake up lovin' you Thought if I could catch a plane, touch down, out of town Somewhere nobody knows you Maybe I could give myself half of a chance To get a life and act a like a different man But my best of intentions were all shot to hell And I found myself hiding in a cheap hotel Drownin' in the whiskey, starin' at the T.V., tryin' not to sleep 'Cause I'm just gonna wake up lovin' you Yeah I wake up lovin' you, yeah Yeah I wake up lovin' you, Yeah I wake up lovin' you Remember when I told you I was never going to stop Lovin' you with all my heart and soul no matter what Now it seems I'm breaking every promise that I made 'Cause every night I'm desperate Askin' God if He would just let me forget it But I wake up lovin' you I wake up lovin' you","Josh Osborne, Matthew Ramsey, Trevor Rosen","Craig Morgan, Phil O'Donnell",1
Young Love,Kip Moore,NA,2013,"Your daddy thought I was wrong for you, Thinking back your mom did too But two wrongs never felt so right It was written in the stars, For two young and wild at hearts To sneak out late into the night You'd climb in and take my hand And you slide on over, on over and we'd ride 'Cause young love don't know nothin' When the radio plays you sing along When she's holdin' on You just can't get close enough, You swear it's sent from above It's real, it's good, and it's young love Remember that time you were supposed to be At your friend Kate's and not with me In Panama City a hundred miles away And that damned old truck of mine broke down, Your old man cussed me out And swore that's the last I'd see your face But I'd pull into your neighbor's drive and cut the lights, And you slide on over, on over and we'd ride 'Cause young love don't know nothin' When the radio plays you sing along When she's holdin' on You just can't get close enough, You swear it's sent from above It's real, it's good, and it's young love Oh, yeah There was really no way of knowing But look at us, baby, we're still going Young love don't know nothin' When the radio plays you sing along All damn night long, You just can't get close enough, You swear it's sent from above It's real, it's good, and it's still young love Young love","Kip Moore, Dan Couch, Westin Davis",Brett James,2
Beat of the Music,Brett Eldredge,NA,2013,"Well I just met you a couple hours ago My last night in town, hey wouldn't you know I get hooked on a girl with blue diamond eyes Down here in Mexico, oh Now you're walking up asking me to dance Smiling that smile and reaching out your hand Well there's a move or two, I'd like to show you While I still got the chance Well you got the soul and you know how to use it Put your hand on my hip cause you know that I'll lose it You got my heart racing like there's nothing to it Falling in love to the beat of the music Oh oh, why wouldn't I wanna stay? Oh oh, and let that plane fly away, hey hey Cause you got the soul and you know how to use it Put your hand on my hip cause you know that I'll lose it You got my heart racing like there's nothing to it Falling in love to the beat of the music The beat of the music I think I could get used to that steel drum playing Waking up on a beach if you know what I'm saying One more night would be more than alright with me So hold on baby cause You got the soul and you know how to use it Put your hand on my hip cause you know that I'll lose it You got my heart racing like there's nothing to it Falling in love to the beat of the music We're falling in love to beat of the music Beat of the music","Brett Eldredge, Ross Copperman, Heather Morgan","Brett Eldredge, Ross Copperman",3
The Heart of Dixie,Danielle Bradbery,NA,2013,"She had a dead-end job at the National Bank And a deadbeat husband who always drank So when he didn't come home She had the gin to thank for the tears in her eyes So Dixie packed up and said her goodbyes She went driving so far away nobody's gonna find her Flying just fast enough, to leave it all behind her But she didn't know till she hit the road, deep in her soul She's got the fire and the fight of a gypsy Ain't nothing stronger than the heart of Dixie The heart of Dixie It's a funny thing when your world falls down It's got a way of showing you what you're all about Now Dixie's got her wheels pointed south And she ain't never looking back Nobody knew she was brave like that She went driving so far away nobody's gonna find her Flying just fast enough, to leave it all behind her But she didn't know till she hit the road, deep in her soul She's got the fire and the fight of a gypsy Ain't nothing stronger than the heart of Dixie The heart of Dixie Yeah Dixie woke up to the truth one day Grabbed her cheap sunglasses and her lipstick case And she went driving so far away nobody's gonna find her Flying just fast enough, to leave it all behind her But she didn't know till she hit the road, deep in her soul She's got the fire and the fight of a gypsy Ain't nothing stronger than the heart of Dixie The heart of Dixie","Brett James, Caitlyn Smith, Troy Verges",Brett James,4
Everything I Shouldn't Be Thinking About,Thompson Square,NA,2013,"My motorcycle needs an oil change Fence needs mending, house needs paint I got a million things that need to be done but Baby I can only focus on one The way you're looking back at me right now I'm thinking about everything I shouldn't be thinking about You're playing with my mind, baby ain't no doubt I'm thinking about everything I shouldn't be thinking about You're everything I shouldn't be thinking about Baby you've always had a one track mind So what you're saying ain't no surprise What may come as a shock to you Is that I'm having all those little thoughts too yea The way you're looking back at me right now I'm thinking about everything I shouldn't be thinking about You're playing with my mind, baby ain't no doubt I'm thinking about everything I shouldn't be thinking about You're everything I shouldn't be thinking about Baby since you and me are on the same page Let's do something 'bout it, what do you say, ay? The way you're looking back at me right now I'm thinking about everything I shouldn't be thinking about You're playing with my mind, baby ain't no doubt I'm thinking about everything I shouldn't be thinking about The way you're looking back at me right now I'm thinking about everything I shouldn't be thinking about You're playing with my mind, baby ain't no doubt I'm thinking about everything I shouldn't be thinking about You're everything I shouldn't be thinking about","Keifer Thompson, Shawna Thompson, David Lee Murphy, Brett James","RIch Redmond, Kurt Allison, Tully Kennedy, David Fanning",5
Goodnight Kiss,Randy Houser,NA,2013,"Girl I've finally got you up in the seat of my old truck And I bet you're wonderin' what we're gonna do We could hit the county line, hell we do that all the time Tell you what, if you don't mind, we could start with something new Instead of waiting like we usually do Let's start it with a goodnight kiss, my lips, your lips, Baby let's just skip gettin' there Let's start it with a long goodbye, get wrapped up tight Let's spend all night right here Let's start it with a goodnight kiss I know that you told all your friends we were meetin' up with them I can call 'em all again and tell 'em we ain't coming Let me find a little spot, let me throw this thing in park Let me light that little spark that gets you going like you do Just tell me that you want to Start it with a goodnight kiss, my lips, your lips, Baby let's just skip gettin' there Let's start it with a long goodbye, get wrapped up tight Let's spend all night right here Let's start it with a goodnight kiss Let's start it with a goodnight kiss I don't wanna wait, I don't wanna wait Let's start it with a goodnight kiss, My lips, your lips Let's start it with a goodnight kiss, my lips, your lips, Baby let's just skip gettin' there Let's start it with a long goodbye, get wrapped up tight Let's spend all night right here Let's start it with a goodnight kiss","Rob Hatch, Jason Sellers, Randy Houser",Derek George,6
Cold Beer With Your Name On It,Josh Thompson,NA,2013,"I hear you're out there now and you're doing alright A new lease on life in Hollywood Riding around with the ragtop down Bet the west coast sun looks good on you Wasn't very long ago we were sitting On a lost dirt road by the railroad tracks If you ever think about that And wonder where I'm at and wanna come back I'm sitting on a tailgate in the middle of a stargaze Wishing you were in my arms Chilling right here, baby if you want it I've got a cold beer with your name on it Back 40 on a Friday night Me and you dancing in the firelight Girl you gotta admit it sounds pretty good, don't it? I've got a cold beer with your name on it Pop the top, kick back like we used to do Sipping all night long to your favorite tunes If you ever get tired of the concrete life, Those honking horns, them flashing lights Got a jar of shine if you need it, Under the seat, you know where I keep it Hey girl turn off your cell phone, Put your blue jeans on, get back home I'm sitting on a tailgate in the middle of a stargaze Wishing you were in my arms Chilling right here, baby if you want it I've got a cold beer with your name on it Back 40 on a Friday night Me and you dancing in the firelight Girl you gotta admit it sounds pretty good, don't it? I've got a cold beer with your name on it Cooler loaded down, picture perfect view All that's missing now is… you I'm sitting on a tailgate in the middle of a stargaze Wishing you were in my arms Chilling right here, baby if you want it I've got a cold beer with your name on it Back 40 on a Friday night Me and you dancing in the firelight Girl you gotta admit it sounds pretty good, don't it? I've got a cold beer with your name on it Got a cold beer with your name on it Girl you gotta admit it sounds pretty good, don't it? Got a cold beer with your name on it","Brent Anderson, Clint Daniels","Mark Wright, Cliff Audretch III",7
19 You + Me,Dan + Shay,NA,2013,"It was our first week At Myrtle Beach Where it all began It was 102° Nothin' to do Man it was hot So we jumped in We were summertime sippin', sippin' Sweet tea kissin' off of your lips T-shirt drippin', drippin' wet How could I forget? Watchin' that blonde hair swing To every song I'd sing You were California beautiful I was playin' everything but cool I can still hear that sound Of every wave crashin' down Like the tears we cried That day we had to leave It was everything we wanted it to be The summer of 19 you and me We had our first dance in the sand It was one hell of a souvenir Tangled up, so in love So, let's just stay right here 'Til the sun starts creepin', creepin' up Right then I knew Just what you were thinkin', thinkin' of When I looked at you Watchin' that blonde hair swing To every song I'd sing You were California beautiful I was playin' everything but cool I can still hear that sound Of every wave crashin' down Like the tears we cried That day we had to leave It was everything we wanted it to be The summer of 19 you and me ...you and me Watchin' that blonde hair swing To every song I'd sing You were California beautiful Beautiful, beautiful Watchin' that blonde hair swing To every song I'd sing You were California beautiful I was playin' everything but cool I can still hear that sound Of every wave crashin' down Like the tears we cried That day we had to leave It was everything we wanted it to be The summer of 19 you and me First week Myrtle Beach Where it all began..","Dan Smyers, Shay Mooney, Danny Orton","Dan Smyers, Scott Hendricks, Danny Orton",8
Helluva Life,Frankie Ballard,NA,2013,"Saturday night and a six pack, girl, A big star shining on a small town world, It's a helluva life, it's a helluva life. And KC lights on a dirt road dance, You take that kiss just as far as you can, It's a helluva life, oh, it's a helluva life. And pennies make dimes and dimes make dollars, Dollars buy gas and longneck bottles, Beer gets a barefoot country girl swaying, To a song that's playing on the radio station. The bad times make the good times better, Look in her eyes and you're gone forever, On a heavenly ride... Yeah, it's a helluva life. It's a helluva life. And we all have faith, and we all have hope, But we're all a little lost in the same damn boat. It's a helluva life, yeah, it's a helluva life. Something bout the night girl, When you got the right girl, Sitting right beside you, Looking at the sky, girl Thinking bout why we're here, And where we're going, Baby, here we are, And all I know is... Pennies make dimes and dimes make dollars, Dollars buy gas and longneck bottles, Beer gets a barefoot country girl swaying, To a song that's playing and the world starts fadin'. The bad times make the good times better, Look in her eyes and you're gone forever, On a heavenly ride... Yeah, it's a helluva life, it's a helluva life. Something bout the night, girl, When you got the right, girl, Sitting right beside you, Looking at the sky, girl Thinking bout why we're here, And where we're going, Baby, here we are, And all I know is... Pennies make dimes and dimes make dollars, Dollars buy gas and longneck bottles, Beer gets a barefoot country girl swaying, To a song that's playing, it's a perfect combination. The bad times make the good times better, Look in her eyes and you're gone forever, On a heavenly ride... Yeah, it's a helluva life, it's a helluva life. Bad times make the good times better. Aw one helluva life. Look in her eyes and you're gone forever.","Rodney Clawson, Chris Tompkins, Josh Kear","Marshall Altman, Scott Hendricks",9
Chillin' It,Cole Swindell,NA,2013,"I got my shades on, top back, Rolling with the music jacked, One on the wheel, one around you baby Little sun left to burn in the blue sky, Shinning of the cross hanging from the mirror of my ride, Breeze blowing in, your hair blowing round You're scanning through the stations looking for that country sound The good stuff iced up in the back seat, Nowhere to go, nowhere to be I got my shades on, top back, Rolling with the music jacked, One on the wheel, one around you baby Sunset I bet There's a chance we can get Sure enough Tangled up, Laid back and lazy Pour it on easy now, don't spill a bit Nothin' but time tonight, let's get to killing it Long as I'm rocking with you, girl You know I'm cool with just chillin' it Nothing but two lane country on up ahead Girl, you so fine I wouldn't mind if this is all we did. You got me high on kisses, you got me missing signs Hard looking left when my world is on my right I got my shades on, top back, Rolling with the music jacked, One on the wheel, one around you baby Sunset I bet There's a chance we can get Sure enough Tangled up, Laid back and lazy Pour it on easy now, don't spill a bit Nothin' but time tonight, let's get to killing it Long as I'm rocking with you, girl You know I'm cool with just chillin' it Nothing like a little you and me low key Right now I'm right where i wanna be I got my shades on, top back, Rolling with the music jacked, One on the wheel, one around you baby Sunset I bet There's a chance we can get Sure enough Tangled up, Laid back and lazy Pour it on easy now, don't spill a bit Nothin' but time tonight, let's get to killing it Long as I'm rocking with you, girl You know I'm cool with just chillin' it Girl, I love rocking with you when, girl, we're just chilling it","Cole Swindell, Shane Minor",Jody Stevens,10
