writer,song_count
Ashley Gorley,44
Shane McAnally,36
Ross Copperman,32
Josh Osborne,28
Rhett Akins,23
Jesse Frasure,18
Hillary Lindsey,18
Jon Nite,17
Zach Crowell,16
Rodney Clawson,14
Luke Laird,14
Eric Church,13
Ben Hayslip,13
Chris DeStefano,13
Matthew Ramsey,13
Trevor Rosen,13
Tyler Hubbard,12
Thomas Rhett,12
Nicolle Galyon,12
Sam Hunt,11
Jimmy Robbins,11
Cole Swindell,10
Josh Kear,10
Brad Tursi,10
Jordan Schmidt,10
Brett James,9
Brad Paisley,9
Dallas Davidson,9
Luke Bryan,9
Jaren Johnston,8
busbee,8
Kelsea Ballerini,8
Brian Kelley,8
Luke Combs,8
Hardy,8
Shay Mooney,8
Laura Veltz,8
Brett Eldredge,7
Dan Smyers,7
Brantley Gilbert,7
Ryan Hurd,7
Tom Douglas,7
Zac Brown,7
Jonathan Singleton,7
Barry Dean,7
Carrie Underwood,7
Chris DuBois,7
Cam,7
Maren Morris,7
Chris Janson,7
Kelley Lovelace,7
Brad Warren,7
Lee Thomas Miller,7
Niko Moon,7
Jeff Hyde,7
Brett Warren,7
Michael Carter,6
Justin Wilson,6
Jaron Boyer,6
Chris Stapleton,6
David Garcia,6
Charles Kelley,6
Matt Jenkins,6
Cary Barlowe,5
Frank Rogers,5
John Osborne,5
Andrew Dorff,5
Lori McKenna,5
Corey Crowder,5
Jeremy Stover,5
Brett Young,5
Miranda Lambert,5
Chris Young,5
Matt Dragstrem,5
Bobby Pinson,5
Chris Tompkins,5
Troy Verges,5
Craig Wiseman,5
Andy Albert,5
Chase McGill,5
Liz Rose,5
Wyatt Durrette,5
Kip Moore,4
Natalie Hemby,4
Dierks Bentley,4
Dave Haywood,4
John Rich,4
Keith Urban,4
Hillary Scott,4
Brett Beavers,4
Jerry Flowers,4
Kelly Archer,4
Shy Carter,4
Mark Wystrach,4
Jessi Alexander,4
Kane Brown,4
Jess Carson,4
Scotty McCreery,4
David Lee Murphy,4
Josh Kerr,4
Scooter Carusoe,4
Josh Hoge,4
Forest Glen Whitehead,4
Justin Ebach,4
Cameron Duddy,4
Gordie Sampson,4
Tommy Lee,4
Joe Spargur,4
Josh Miller,4
Jordan Reynolds,4
Brent Anderson,3
Jim Beavers,3
Hunter Hayes,3
Mark Irwin,3
Marv Green,3
Derek George,3
Marc Beeson,3
Lee Brice,3
Taylor Dye,3
Travis Meadows,3
Kenny Chesney,3
Connie Harrington,3
Jody Stevens,3
Naomi Cook,3
Sarah Buxton,3
Jon Pardi,3
Deric Ruttan,3
J.T. Harding,3
Mitch Rossell,3
Russell Dickerson,3
Devin Dawson,3
Jordan Davis,3
Morgan Evans,3
Garth Brooks,3
Justin Weaver,3
Jason Sellers,3
Neil Mason,3
Maddie Marlow,3
Jennifer Wayne,3
Casey Beathard,3
Adam Sanders,3
Sean Douglas,3
Cole Taylor,3
Luke Dick,3
Josh Thompson,3
Matt McGinn,3
Parker Welling,3
Jessie Jo DIllon,3
Josh Mirenda,3
Ben Stennis,3
Casey Brown,3
Brock Berryhill,3
Chase Rice,3
Taylor Phillips,3
Rob Hatch,2
Justin Moore,2
Eric Paslay,2
Tommy Lee James,2
Aaron Eshuis,2
Karen Fairchild,2
Darius Rucker,2
Kristian Bush,2
RaeLynn,2
Brandy Clark,2
Michael Hobby,2
Tony Martin,2
Canaan Smith,2
Chase Bryant,2
Granger Smith,2
Lance Miller,2
Michael Tyler,2
Jennifer Nettles,2
Steven Lee Olsen,2
Lauren Alaina,2
Taylor Swift,2
Adam Hambrick,2
Aimee Mayo,2
Carly Pearce,2
Kurt Allison,2
Brandon Lancaster,2
Clint Daniels,2
David Frasier,2
Tommy Cecil,2
Lindsay Rimes,2
Brandon Kinney,2
Bryan Kennedy,2
Mitchell Tenpenny,2
Jimmie Allen,2
Riley Green,2
Dustin Lynch,2
Ben Goldsmith,2
Chris Lucas,2
Naomi Cooke,2
Erik Dylan,2
Dan Couch,2
Shane Minor,2
Miller Crowell,2
Wade Kirby,2
Phillip LaRue,2
Bryan Simpson,2
Trent Tomlinson,2
T. J. Osborne,2
Brice Long,2
Bart Butler,2
Matt Rogers,2
T.J. Osborne,2
Jamie Paulin,2
Jamie Moore,2
Brad Rempel,2
Paul DiGiovanni,2
Thomas Archer,2
Julian Bunetta,2
Monty Criswell,2
Ray Fulcher,2
Jacob Durrett,2
Jesse Lee,2
Jimmy Yeary,2
Abe Stoklasa,2
Fred Wilhelm,2
Ed Hill,2
Emily Shackelton,2
James Abrahart,2
David Hodges,2
Kyle Jacobs,2
Hunter Phelps,2
Randy Montana,2
Sam Ellis,2
Heather Morgan,2
Jeffrey Steele,2
Aaron Scherz,2
Whit Sellers,2
Meghan Trainor,2
Ben Simonetti,2
Chris Stevens,2
Ed Sheeran,2
Morgan Wallen,2
Robert Williford,2
Preston Brust,2
Jameson Rodgers,2
Travis Denning,2
Michael Hardy,2
Geoff Sprung,2
John Driskell Hopkins,2
Joey Moi,1
Matthew Jenkins,1
Philip O'donnell,1
Tyler Farr,1
Jon Jones,1
Adam Craig,1
David Cook,1
Dylan Altman,1
Nikki Sixx,1
Randy Houser,1
Johnny Bulford,1
John Hartford,1
Jim Collins,1
Audra Mae,1
Rachel Reinert,1
J. T. Harding,1
Felix McTeigue,1
Matt Thomas,1
Danny Myrick,1
Kimberly Perry,1
Tucker Beathard,1
Big Kenny,1
Billy Currington,1
Wyatt Earp,1
Steh Mosley,1
Kent Blazy,1
Tully Kennedy,1
Trent Harmon,1
Craig Campbell,1
Rebecca Lynn Howard,1
Dylan Scott,1
Dave Barnes,1
Aaron Watson,1
Drake White,1
Walker Hayes,1
Seth Mosley,1
Pavel Dovgalyuk,1
Steve Mac,1
Bleta Rexha,1
Lindsay Ell,1
Blake Anthony Carter,1
Bretty Young,1
Ashley McBryde,1
Blake Shelton,1
Kevin Welch,1
Tofer Brown,1
Benhamin Burgess,1
Ben Burgess,1
Alysa Vanderheym,1
Cary Ryan Barlowe,1
George Strait,1
Tenille Townes,1
Matt Stell,1
Ingrid Andress,1
Gabby Barrett,1
Craig Michael Wiseman,1
Caitlyn Smith,1
Bonnie Baker,1
James T. Slater,1
Heather Lynn Morgan,1
Paul Jenkins,1
James Young,1
Joey Hyde,1
Keith Gattis,1
Shannon Lawson,1
Luke Hutton,1
Jimi Westbrook,1
Matthew West,1
Jay Knowles,1
Vince Neil,1
Jason Matthews,1
Brandon Bush,1
Travis Jerome Goff,1
Josh Martin,1
Bob DiPiero,1
Melissa Peirce,1
Joe Ginsberg,1
Mark Nesler,1
Mike Gossin,1
Michael White,1
Mike Dekle,1
Sara Haze,1
Michael Ray,1
Jeff Bhasker,1
Scott Thomas,1
Tim Nichols,1
Reid Perry,1
Steve Moakler,1
Barry Bales,1
e Justin Wilson,1
Dave Kuncio,1
Greg Wells,1
Nate Cyphert,1
Thomas Allen,1
James Otto,1
Steve Dorff,1
Andrew DeRoberts,1
Daniel Tashian,1
Dave Turnbull,1
Caroline Hobby,1
Chris Lindsey,1
Dave Gibson,1
Tim James,1
Tommy Lee Hames,1
Smith Ahnquist,1
Kylie Sackley,1
Jack Ingram,1
Mike Henderson,1
Steven Dale Jones,1
Johnny McDaid,1
Brad Clawson,1
Wynn Varble,1
Sammy Mitchell,1
David Ray,1
Seth Ennis,1
J.R. Rotem,1
Sean McConnell,1
Patrick Monahan,1
Nicolette Hayford,1
TJ Osborne,1
Jeff Middleton,1
Ray Wylie Hubbard,1
Josh London,1
Rob Snyder,1
Jacob Davis,1
Tony Lane,1
Ben Caver,1
Greg Kurstin,1
Kevin Kadish,1
Robert Brock Berryhill,1
Christopher Alan Young,1
Bubba Strait,1
Harold Ryan Tyndell,1
Allison Veltz,1
Jennifer Denmark,1
Brett Tyler,1
Shawn Mendes,1
Nathan Spicer,1
Lonnie Fowler,1
Buford Green,1
Zachary Kale,1
Danny Orton,1
Ammar Malik,1
Haille Walker,1
Jon Ozier,1
Jimmy De Martini,1
Priscilla Renea,1
Phillip Sweet,1
Trent Summar,1
Chris Wallin,1
Nathan Chapman,1
Larry McCoy,1
Tim Owens,1
Brian Davis,1
Tiffany Vartanyan,1
Al Anderson,1
Weston Davis,1
Tyler Johnson,1
Barry Knox,1
Jamie Lynn Spears,1
Ryan Griffin,1
Neil Perry,1
John King,1
Jaida Dreyer,1
Ronnie Bowman,1
Dan Layus,1
Dave Pittenger,1
Blair Daly,1
Marla Cannon-Goodman,1
Tim McGraw,1
William Wiik Larsen,1
Wendell Mobley,1
Jay Clementi,1
Clint Lagerberg,1
Harold Brown,1
Victoria Shaw,1
Steve Bogard,1
Keesy Timmer,1
Elisha Hoffman,1
Kevin Bard,1
Tyler Reeve,1
Tebey Ottoh,1
Matt Bronleewe,1
Kendell Marvel,1
Kyle Fishman,1
Jordan Walker,1
Vicky McGehee,1
Austin Smith,1
Jon Randall,1
Blake Chaffin,1
CJ Solar,1
Steven Battey,1
Julia Michaels,1
Jesse Rice,1
Will Weatherly,1
J.P. Williams,1
Channing Wilson,1
Jason Gantt,1
Ross Ellis Lipsey,1
Billy Montana,1
Brett McLaughlin,1
Mike Walker,1
Sarah Aarons,1
Corey Justin Crowder,1
Dean Dillon,1
Neil Thrasher,1
Lindy Robbins,1
Ash Bowers,1
Paul Sikes,1
Derrick Southerland,1
Justin Bieber,1
Drew Parker,1
Lendon Bonds,1
Katrina Elam,1
Lance Carpenter,1
Brian Burton,1
Phil O'Donnell,1
Jason Duke,1
Jenna Andrews,1
Cale Dodds,1
Pete Sallis,1
Coy Bowles,1
Morris Dickerson,1
Kristi Neumann,1
Kim Williams,1
Jason Sever,1
Kyle Schlienger,1
Amy Wadge,1
Mark Holman,1
Samuel Roman,1
Hannah Mullholand,1
Josh Ryan,1
Josh Dunne,1
Jon Green,1
Andrew Watt,1
Jared Mullins,1
Thomas Callaway,1
Nadir Khayat,1
Alex Palmer,1
Hannah Mulholland,1
Mike Ryan,1
John Mellencamp,1
Merle Haggard,1
Charlie Handsome,1
William Bradfore Weatherly,1
Jacob Kashar,1
Jason Boyd,1
Gian Franco Reverberi,1
Jakke Erixson,1
Gerry Goldstein,1
Gian Piero Reverberi,1
Karl-Ola Kjellholm,1
Leroy Jordan,1
Charles Miller,1
Lee Osker,1
Andreas Schuller,1
Howard Scott,1
Ricky Reed,1
John Ryan,1
Keifer Thompson,0
Mikkel Eriksen,0
Shawna Thompson,0
Tor Erik Hemransen,0
Westin Davis,0
Ross Golan,0
Daniel Omelio,0
Emile Haynie,0
