year_birth,person,description,year_death
1468,Pope Paul III ,NA,1549
1528,Albert V,Duke of Bavaria ,1579
1528,Domingo Báñez,Spanish theologian ,1604
1572,Edward Cecil,1st Viscount Wimbledon ,1638
1576,Antonio Neri,Florentine priest and glassmaker ,1614
1640,Benjamin Keach,Particular Baptist preacher and author whose name is given to Keach's Catechism ,1704
1692,John Byrom,English poet and educator ,1763
1724,Eva Marie Veigel,Austrian-English dancer ,1822
1736,Ann Lee,"English-American religious leader, founder of the Shakers ",1784
1792,Gioachino Rossini,Italian composer ,1868
1812,James Milne Wilson,"Scottish-Australian soldier and politician, eighth Premier of Tasmania ",1880
1828,Emmeline B. Wells,"American journalist, poet and activist ",1921
1836,Dickey Pearce,American baseball player and manager ,1908
1840,Theodor Leber,German ophthalmologist ,1917
1852,Frank Gavan Duffy,"Irish-Australian lawyer and judge, fourth Chief Justice of Australia ",1936
1852,Prince George Maximilianovich,6th Duke of Leuchtenberg ,1912
1860,Herman Hollerith,"American statistician and businessman, co-founder of the Computing-Tabulating-Recording Company ",1929
1884,Richard S. Aldrich,American lawyer and politician ,1941
1892,Augusta Savage,American sculptor ,1962
1896,Morarji Desai,"Indian civil servant and politician, fourth Prime Minister of India ",1995
1896,William A. Wellman,"American actor, director, producer and screenwriter ",1975
1904,Jimmy Dorsey,"American saxophonist, composer and bandleader ",1957
1904,Pepper Martin,American baseball player and manager ,1965
1908,Balthus,French-Swiss painter and illustrator ,2001
1908,Dee Brown,American historian and author ,2002
1908,Alf Gover,English cricketer and coach ,2001
1908,Louie Myfanwy Thomas,Welsh writer ,1968
1912,Kamil Tolon,Turkish industrialist ,1978
1916,James B. Donovan,American lawyer ,1970
1916,Leonard Shoen,founder of U-Haul Corp. ,1999
1920,Fyodor Abramov,Russian author and critic ,1983
1920,Arthur Franz,American actor ,2006
1920,James Mitchell,American actor and dancer ,2010
1920,Michèle Morgan,French-American actress and singer ,2016
1920,Rolland W. Redlin,American lawyer and politician ,2011
1924,David Beattie,"New Zealand judge and politician, 14th Governor-General of New Zealand ",2001
1924,Carlos Humberto Romero,"Salvadoran politician, President of El Salvador ",2017
1924,Al Rosen,American baseball player and manager ,2015
1928,Joss Ackland,English actor ,2023
1928,Jean Adamson,British writer and illustrator ,NA
1928,Vance Haynes,"American archaeologist, geologist and author",NA
1928,Michael Henshall,English Anglican suffragan bishop ,2017
1928,Seymour Papert,"South African mathematician and computer scientist, co-creator of the Logo programming language ",2016
1928,Tempest Storm,"born Annie Banks, ""The Queen Of Exotic Dancers"", American burlesque performer and actress ",2021
1932,Gene H. Golub,American mathematician and academic ,2007
1932,Masten Gregory,American race car driver ,1985
1932,Reri Grist,American soprano and actress,NA
1932,Jaguar,Brazilian cartoonist,NA
1932,Gavin Stevens,Australian cricketer,NA
1936,Nh. Dini,Indonesian writer ,2018
1936,Jack R. Lousma,"American colonel, astronaut and politician",NA
1936,Henri Richard,Canadian ice hockey player ,2020
1936,Alex Rocco,American actor ,2015
1940,Sonja Barend,Dutch talk show host,NA
1944,Dennis Farina,American police officer and actor ,2013
1944,Nicholas Frayling,English priest and academic,NA
1944,Phyllis Frelich,American actress ,2014
1944,Steve Mingori,American baseball player ,2008
1944,Paolo Eleuteri Serpieri,Italian author and illustrator,NA
1944,Lennart Svedberg,Swedish ice hockey player ,1972
1944,Saeed Poursamimi,Iranian actor,NA
1948,Hermione Lee,"English author, critic and academic",NA
1948,Manoel Maria,Brazilian footballer,NA
1948,Patricia A. McKillip,American author ,2022
1952,Tim Powers,American author and educator,NA
1952,Raisa Smetanina,Russian cross-country skier,NA
1952,Bart Stupak,American police officer and politician,NA
1956,Jonathan Coleman,English-Australian radio and television host ,2021
1956,Bob Speller,"Canadian businessman and politician, 30th Canadian Minister of Agriculture",NA
1956,Aileen Wuornos,American serial killer ,NA
1960,Khaled,Algerian singer-songwriter,NA
1960,Richard Ramirez,American serial killer and sex offender ,2013
1964,Dave Brailsford,English cyclist and coach,NA
1964,Lyndon Byers,Canadian ice hockey player and radio host,NA
1964,Mervyn Warren,"American tenor, composer and producer",NA
1968,Chucky Brown,American basketball player and coach,NA
