category,logo,production,type,title,distributor,producer,year,page,page_id
Outstanding Character Voice-Over Performance - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/stacey-abrams-2021-450x600.jpg?itok=lhfW3vNL,NA,Nominee,black-ish: Election Special (Part 2),ABC,ABC,2021,0,1
Outstanding Character Voice-Over Performance - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/julie-andrews-photofest-450x600.jpg?itok=ENffpIeC,NA,Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021,0,2
Outstanding Character Voice-Over Performance - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/seth-macfarlane-ap-450x600.jpg?itok=5CDwUiWc,NA,Nominee,Family Guy,FOX,20th Television Animation,2021,0,3
Outstanding Character Voice-Over Performance - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/bios/jessica-walter-photofest-450x600.jpg?itok=_uOhUzki,NA,Nominee,Archer,FX Networks,FX Productions,2021,0,4
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-handmaids-tale-2021-600x600.jpg?itok=AD3bTghp,"Elisabeth Williams, Production Designer",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021,0,5
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-handmaids-tale-2021-600x600.jpg?itok=AD3bTghp,"Martha Sparrow, Art Director",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021,0,5
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-handmaids-tale-2021-600x600.jpg?itok=AD3bTghp,"Larry Spittle, Art Director",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021,0,5
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-handmaids-tale-2021-600x600.jpg?itok=AD3bTghp,"Rob Hepburn, Set Decorator",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021,0,5
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/logo-the-undoing-2021-600x600.jpg?itok=gBGpxT4V,"Lester Cohen, Production Designer",Nominee,The Undoing,HBO,"HBO in association with Made Up Stories, Blossom Films, David E. Kelley Productions",2021,0,6
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/logo-the-undoing-2021-600x600.jpg?itok=gBGpxT4V,"Doug Huszti, Art Director",Nominee,The Undoing,HBO,"HBO in association with Made Up Stories, Blossom Films, David E. Kelley Productions",2021,0,6
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/logo-the-undoing-2021-600x600.jpg?itok=gBGpxT4V,"Keri Lederman, Set Decorator",Nominee,The Undoing,HBO,"HBO in association with Made Up Stories, Blossom Films, David E. Kelley Productions",2021,0,6
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/logo-yellowstone-2021-600x600.jpg?itok=XwVF21IX,"Cary White, Production Designer",Nominee,Yellowstone,Paramount Network,"Linson Entertainment, Bosque Ranch, Treehouse, 101 Studios, LLC",2021,0,7
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/logo-yellowstone-2021-600x600.jpg?itok=XwVF21IX,"Yvonne Boudreaux, Art Director",Nominee,Yellowstone,Paramount Network,"Linson Entertainment, Bosque Ranch, Treehouse, 101 Studios, LLC",2021,0,7
Outstanding Production Design For A Narrative Contemporary Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/logo-yellowstone-2021-600x600.jpg?itok=XwVF21IX,"Carla Curry, Set Decorator",Nominee,Yellowstone,Paramount Network,"Linson Entertainment, Bosque Ranch, Treehouse, 101 Studios, LLC",2021,0,7
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-bridgerton-2021-600x600.jpg?itok=mun-07yw,"Will Hughes-Jones, Production Designer",Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021,0,8
