date,race,site,source,marble_name,team_name,time_s,pole,points,track_length_m,number_laps,avg_time_lap,host,notes
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Clementin,O'rangers,28.11,P1,NA,12.81,1,28.11,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Starry,Team Galactic,28.37,P2,NA,12.81,1,28.37,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Momo,Team Momo,28.4,P3,NA,12.81,1,28.4,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Yellow,Mellow Yellow,28.7,P4,NA,12.81,1,28.7,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Snowy,Snowballs,28.71,P5,NA,12.81,1,28.71,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Razzy,Raspberry Racers,28.72,P6,NA,12.81,1,28.72,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Prim,Team Primary,28.96,P7,NA,12.81,1,28.96,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Vespa,Hornets,29.11,P8,NA,12.81,1,29.11,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Hazy,Hazers,29.34,P9,NA,12.81,1,29.34,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Mallard,Green Ducks,29.54,P10,NA,12.81,1,29.54,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Wispy,Midnight Wisps,29.98,P11,NA,12.81,1,29.98,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Rojo Uno,Rojo Rollers,30.08,P12,NA,12.81,1,30.08,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Shock,Thunderbolts,30.29,P13,NA,12.81,1,30.29,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Sublime,Limers,30.41,P14,NA,12.81,1,30.41,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Clutter,Balls of Chaos,31.12,P15,NA,12.81,1,31.12,No,NA
15-Feb-20,S1Q1,Savage Speedway,https://youtu.be/JtsQ_UydjEI?t=356,Speedy,Savage Speeders,31.2,P16,NA,12.81,1,31.2,Yes,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Starry,Team Galactic,324.42,NA,25,12.81,10,32.44,No,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Hazy,Hazers,324.47,NA,18,12.81,10,32.45,No,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Snowy,Snowballs,324.94,NA,15,12.81,10,32.49,No,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Prim,Team Primary,325.83,NA,12,12.81,10,32.58,No,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Speedy,Savage Speeders,327.92,NA,11,12.81,10,32.79,Yes,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Clementin,O'rangers,328.32,NA,8,12.81,10,32.83,No,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Razzy,Raspberry Racers,330.61,NA,6,12.81,10,33.06,No,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Mallard,Green Ducks,331.42,NA,4,12.81,10,33.14,No,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Yellow,Mellow Yellow,334.43,NA,2,12.81,10,33.44,No,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Wispy,Midnight Wisps,334.46,NA,1,12.81,10,33.45,No,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Clutter,Balls of Chaos,335.28,NA,0,12.81,10,33.53,No,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Momo,Team Momo,336.5,NA,0,12.81,10,33.65,No,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Vespa,Hornets,336.77,NA,0,12.81,10,33.68,No,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Rojo Uno,Rojo Rollers,336.81,NA,0,12.81,10,33.68,No,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Shock,Thunderbolts,338.46,NA,0,12.81,10,33.85,No,NA
16-Feb-20,S1R1,Savage Speedway,https://youtu.be/55iTYdRDG4s?t=456,Sublime,Limers,339.98,NA,0,12.81,10,34,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Wospy,Midnight Wisps,30.05,P1,NA,14.05,1,30.05,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Smoggy,Hazers,30.37,P2,NA,14.05,1,30.37,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Rezzy,Raspberry Racers,31.02,P3,NA,14.05,1,31.02,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Limelime,Limers,31.4,P4,NA,14.05,1,31.4,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Billy,Green Ducks,31.61,P5,NA,14.05,1,31.61,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Rapidly,Savage Speeders,31.89,P6,NA,14.05,1,31.89,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Hive,Hornets,32.04,P7,NA,14.05,1,32.04,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Yellup,Mellow Yellow,32.07,P8,NA,14.05,1,32.07,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Anarchy,Balls of Chaos,32.4,P9,NA,14.05,1,32.4,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Bolt,Thunderbolts,32.52,P10,NA,14.05,1,32.52,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Mimo,Team Momo,32.67,P11,NA,14.05,1,32.67,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Pulsar,Team Galactic,33.31,P12,NA,14.05,1,33.31,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Snowflake,Snowballs,33.7,P13,NA,14.05,1,33.7,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Rojo Dos,Rojo Rollers,33.79,P14,NA,14.05,1,33.79,No,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Orangin,O'rangers,33.86,P15,NA,14.05,1,33.86,Yes,NA
22-Feb-20,S1Q2,O'raceway,https://youtu.be/_tE8yYHFLpw?t=332,Mary,Team Primary,35.51,P16,NA,14.05,1,35.51,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Billy,Green Ducks,317.73,NA,26,14.05,9,35.3,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Rapidly,Savage Speeders,320.56,NA,18,14.05,9,35.62,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Smoggy,Hazers,320.95,NA,15,14.05,9,35.66,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Limelime,Limers,324.11,NA,12,14.05,9,36.01,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Bolt,Thunderbolts,324.44,NA,10,14.05,9,36.05,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Snowflake,Snowballs,325.36,NA,8,14.05,9,36.15,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Yellup,Mellow Yellow,325.46,NA,6,14.05,9,36.16,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Rezzy,Raspberry Racers,325.52,NA,4,14.05,9,36.17,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Hive,Hornets,325.71,NA,2,14.05,9,36.19,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Anarchy,Balls of Chaos,327.24,NA,1,14.05,9,36.36,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Mimo,Team Momo,328.32,NA,0,14.05,9,36.48,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Pulsar,Team Galactic,329.06,NA,0,14.05,9,36.56,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Rojo Dos,Rojo Rollers,330.57,NA,0,14.05,9,36.73,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Orangin,O'rangers,330.92,NA,0,14.05,9,36.77,Yes,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Mary,Team Primary,335.71,NA,0,14.05,9,37.3,No,NA
23-Feb-20,S1R2,O'raceway,https://youtu.be/KTXbB0BVLZc?t=440,Wospy,Midnight Wisps,NA,NA,0,14.05,9,NA,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Prim,Team Primary,21.01,P1,NA,12.05,1,21.01,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Clutter,Balls of Chaos,21.05,P2,NA,12.05,1,21.05,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Hazy,Hazers,21.12,P3,NA,12.05,1,21.12,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Sublime,Limers,21.12,P4,NA,12.05,1,21.12,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Starry,Team Galactic,21.34,P5,NA,12.05,1,21.34,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Shock,Thunderbolts,21.39,P6,NA,12.05,1,21.39,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Speedy,Savage Speeders,21.41,P7,NA,12.05,1,21.41,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Mallard,Green Ducks,21.59,P8,NA,12.05,1,21.59,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Rojo Uno,Rojo Rollers,22.16,P9,NA,12.05,1,22.16,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Yellow,Mellow Yellow,22.2,P10,NA,12.05,1,22.2,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Clementin,O'rangers,22.29,P11,NA,12.05,1,22.29,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Razzy,Raspberry Racers,22.76,P12,NA,12.05,1,22.76,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Momo,Team Momo,22.79,P13,NA,12.05,1,22.79,Yes,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Wispy,Midnight Wisps,22.87,P14,NA,12.05,1,22.87,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Snowy,Snowballs,23.62,P15,NA,12.05,1,23.62,No,NA
29-Feb-20,S1Q3,Momotorway,https://youtu.be/c7THfJS4zXU?t=446,Vespa,Hornets,23.75,P16,NA,12.05,1,23.75,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Clutter,Balls of Chaos,339.95,NA,25,12.05,13,26.15,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Prim,Team Primary,340,NA,18,12.05,13,26.15,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Hazy,Hazers,341.27,NA,15,12.05,13,26.25,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Mallard,Green Ducks,342.79,NA,12,12.05,13,26.37,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Clementin,O'rangers,343.11,NA,11,12.05,13,26.39,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Speedy,Savage Speeders,343.17,NA,8,12.05,13,26.4,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Starry,Team Galactic,344.43,NA,6,12.05,13,26.49,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Rojo Uno,Rojo Rollers,344.69,NA,4,12.05,13,26.51,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Snowy,Snowballs,345.19,NA,2,12.05,13,26.55,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Sublime,Limers,347.59,NA,1,12.05,13,26.74,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Vespa,Hornets,347.61,NA,0,12.05,13,26.74,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Wispy,Midnight Wisps,348.89,NA,0,12.05,13,26.84,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Shock,Thunderbolts,349.96,NA,0,12.05,13,26.92,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Razzy,Raspberry Racers,350.28,NA,0,12.05,13,26.94,No,NA
1-Mar-20,S1R3,Momotorway,https://youtu.be/bu45pUdfp60?t=472,Yellow,Mellow Yellow,350.47,NA,0,12.05,13,26.96,No,NA
