version,season,episode_number_overall,episode,title,air_date,viewers,quote,author,imdb_rating,n_ratings
US,1,1,1,And So It Begins,2015-06-18,1.582,I went to the woods because I wished to live deliberately... and see if I could not learn what it had to teach.,Henry David Thoreau,7.5,135
US,1,2,2,Of Wolf and Man,2015-06-25,1.697,If you live among wolves you have to act like a wolf.,Nikita Khrushchev,7.7,110
US,1,3,3,The Talons of Fear,2015-07-02,1.864,Extinction is the rule. Survival is the exception.,Carl Sagan,7.7,104
US,1,4,4,Stalked,2015-07-09,2.082,"Hunger, love, pain, fear are some of those inner forces which rule the individual's instinct for self preservation.",Albert Einstein,7.7,104
US,1,5,5,Winds of Hell,2015-07-16,2.082,"The strong survive, but the courageous triumph.",Michael Scott,7.6,99
US,1,6,6,Rain of Terror,2015-07-23,2.181,Extraordinary people survive under the most terrible circumstances and they become more extraordinary because of it.,Robertson Davies,7.6,99
US,1,7,7,The Hunger,2015-07-30,2.092,"Humans are not the fastest or the strongest animals on the planet, but when it comes to survival, we have had the unique advantage of being clever.",David Perlmutter,7.7,97
US,1,8,8,After the Rescue,2015-08-05,,This is the chance in a lifetime. But it's not worth dying over.,Wayne,7.7,99
US,1,9,9,The Freeze,2015-08-06,1.803,"If quick, I survive. If not quick, I am lost. This is 'death.'",Sun Tzu,7.7,93
US,1,10,10,Brokedown Palace,2015-08-13,1.939,Does anything in nature despair except man?,May Sarton,8.2,102
US,1,11,11,Triumph,2015-08-20,2.375,Courage is not having the strength to go on; it is going on when you don't have the strength.,Theodore Roosevelt,7.3,75
US,2,12,1,Once More Unto the Breach,2016-04-21,1.52,"The oldest and strongest emotion of mankind is fear, and the oldest and strongest kind of fear is fear of the unknown.",H. P. Lovecraft,7.3,81
US,2,13,2,The Knife's Edge,2016-04-28,1.507,The very basic core of a man's living spirit is his passion for adventure.,Christopher McCandless,7.4,71
US,2,14,3,The Beasts of the Night,2016-05-05,1.637,Use your fear... It can take you to a place where you store your courage.,Amelia Earhart,7.4,68
US,2,15,4,Hunger's Grip,2016-05-12,1.579,"The instinct to survive will never change, neither will the human body's amazing ability to endure.",John 'Lofty' Wiseman,7.5,68
US,2,16,5,Storm Rising,2016-05-19,1.751,Strength does not come from physical capacity. It comes from an indomitable will.,Mahatma Gandhi,7.5,68
US,2,17,6,Adrift,2016-05-26,1.718,Voyaging through wildernesses is essential to the growth and maturity of the human spirit.,Steven Callahan,7.7,68
US,2,18,7,Trial By Fire,2016-06-09,1.597,In nature there are neither rewards nor punishments; there are consequences.,R.G. Ingersoll,7.7,64
US,2,19,8,The Ascent,2016-06-16,1.678,"Why wilderness? Because we like the taste of freedom, because we like the smell of danger.",Edward Abbey,7.7,66
