version,season,name,item_number,item_detailed,item
US,1,Alan Kay,1,Saw,Saw
US,1,Alan Kay,2,Axe,Axe
US,1,Alan Kay,3,Sleeping bag,Sleeping bag
US,1,Alan Kay,4,Large 2-quart pot,Pot
US,1,Alan Kay,5,Ferro rod,Ferro rod
US,1,Alan Kay,6,Water bottle/canteen,Canteen
US,1,Alan Kay,7,300 yards single filament line with 25 assorted hooks,Fishing gear
US,1,Alan Kay,8,Small gauge gill net,Gillnet
US,1,Alan Kay,9,3.5lb wire,Wire
US,1,Alan Kay,10,Knife,Knife
US,1,Mitch Mitchell,1,Axe,Axe
US,1,Mitch Mitchell,2,Sleeping bag,Sleeping bag
US,1,Mitch Mitchell,3,Bivi bag (gortex sleeping cover),Bivy bag
US,1,Mitch Mitchell,4,Large 2-quart pot,Pot
US,1,Mitch Mitchell,5,Ferro rod,Ferro rod
US,1,Mitch Mitchell,6,300 yards of single filament fishing line with 25 assorted hooks,Fishing gear
US,1,Mitch Mitchell,7,Small gauge gill net,Gillnet
US,1,Mitch Mitchell,8,Bow and 6 arrows,Bow and arrows
US,1,Mitch Mitchell,9,Knife,Knife
US,1,Mitch Mitchell,10,Sharpening stone,Sharpening stone
US,1,Lucas Miller,1,12×12 ground sheet tarp,Tarp
US,1,Lucas Miller,2,Saw,Saw
US,1,Lucas Miller,3,Axe,Axe
US,1,Lucas Miller,4,Sleeping bag,Sleeping bag
US,1,Lucas Miller,5,Large 2-quart pot,Pot
US,1,Lucas Miller,6,Ferro rod,Ferro rod
US,1,Lucas Miller,7,300 yards of single filament line with 25 assorted hooks,Fishing gear
US,1,Lucas Miller,8,Extra Tarp,Tarp
US,1,Lucas Miller,9,Extra emergency rations,Rations
US,1,Lucas Miller,10,Knife,Knife
US,1,Dustin Feher,1,550 paracord – 20m,Paracord
US,1,Dustin Feher,2,Axe,Axe
US,1,Dustin Feher,3,Sleeping bag,Sleeping bag
US,1,Dustin Feher,4,Large 2-quart pot,Pot
US,1,Dustin Feher,5,Ferro rod,Ferro rod
US,1,Dustin Feher,6,Water bottle/canteen,Canteen
US,1,Dustin Feher,7,300 yards of single filament line with 25 assorted hooks,Fishing gear
US,1,Dustin Feher,8,Small gauge gill net,Gillnet
US,1,Dustin Feher,9,Slingshot,Slingshot
US,1,Dustin Feher,10,Knife,Knife
US,1,Brant McGee,1,12×12 ground sheet tarp,Tarp
US,1,Brant McGee,2,550 paracord – 20m,Paracord
US,1,Brant McGee,3,Axe,Axe
US,1,Brant McGee,4,Sleeping bag,Sleeping bag
US,1,Brant McGee,5,Large 2-quart pot,Pot
US,1,Brant McGee,6,Ferro rod,Ferro rod
US,1,Brant McGee,7,300 yards of single filament line with 25 assorted hooks,Fishing gear
US,1,Brant McGee,8,Bow and 6 arrows,Bow and arrows
US,1,Brant McGee,9,Extra emergency rations,Rations
US,1,Brant McGee,10,Knife,Knife
US,1,Wayne Russell,1,12×12 ground sheet,Ground sheet
US,1,Wayne Russell,2,550 paracord – 20m,Paracord
US,1,Wayne Russell,3,Saw,Saw
US,1,Wayne Russell,4,Axe,Axe
US,1,Wayne Russell,5,Sleeping bag,Sleeping bag
US,1,Wayne Russell,6,large 2 quart pot,Pot
US,1,Wayne Russell,7,Ferro rod,Ferro rod
US,1,Wayne Russell,8,300 yards of single filament fishing line and 25 assorted hooks,Fishing gear
