prize_year,category,prize,motivation,prize_share,laureate_id,laureate_type,full_name,birth_date,birth_city,birth_country,gender,organization_name,organization_city,organization_country,death_date,death_city,death_country
1901,Chemistry,The Nobel Prize in Chemistry 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",1/1,160,Individual,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,Netherlands,Male,Berlin University,Berlin,Germany,1911-03-01,Berlin,Germany
1901,Literature,The Nobel Prize in Literature 1901,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",1/1,569,Individual,Sully Prudhomme,1839-03-16,Paris,France,Male,NA,NA,NA,1907-09-07,Châtenay,France
1901,Medicine,The Nobel Prize in Physiology or Medicine 1901,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",1/1,293,Individual,Emil Adolf von Behring,1854-03-15,Hansdorf (Lawice),Prussia (Poland),Male,Marburg University,Marburg,Germany,1917-03-31,Marburg,Germany
1901,Peace,The Nobel Peace Prize 1901,NA,1/2,462,Individual,Jean Henry Dunant,1828-05-08,Geneva,Switzerland,Male,NA,NA,NA,1910-10-30,Heiden,Switzerland
1901,Peace,The Nobel Peace Prize 1901,NA,1/2,463,Individual,Frédéric Passy,1822-05-20,Paris,France,Male,NA,NA,NA,1912-06-12,Paris,France
1901,Physics,The Nobel Prize in Physics 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1/1,1,Individual,Wilhelm Conrad Röntgen,1845-03-27,Lennep (Remscheid),Prussia (Germany),Male,Munich University,Munich,Germany,1923-02-10,Munich,Germany
1902,Chemistry,The Nobel Prize in Chemistry 1902,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",1/1,161,Individual,Hermann Emil Fischer,1852-10-09,Euskirchen,Prussia (Germany),Male,Berlin University,Berlin,Germany,1919-07-15,Berlin,Germany
1902,Literature,The Nobel Prize in Literature 1902,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",1/1,571,Individual,Christian Matthias Theodor Mommsen,1817-11-30,Garding,Schleswig (Germany),Male,NA,NA,NA,1903-11-01,Charlottenburg,Germany
1902,Medicine,The Nobel Prize in Physiology or Medicine 1902,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",1/1,294,Individual,Ronald Ross,1857-05-13,Almora,India,Male,University College,Liverpool,United Kingdom,1932-09-16,Putney Heath,United Kingdom
1902,Peace,The Nobel Peace Prize 1902,NA,1/2,464,Individual,Élie Ducommun,1833-02-19,Geneva,Switzerland,Male,NA,NA,NA,1906-12-07,Bern,Switzerland
1902,Peace,The Nobel Peace Prize 1902,NA,1/2,465,Individual,Charles Albert Gobat,1843-05-21,Tramelan,Switzerland,Male,NA,NA,NA,1914-03-16,Bern,Switzerland
1902,Physics,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1/2,2,Individual,Hendrik Antoon Lorentz,1853-07-18,Arnhem,Netherlands,Male,Leiden University,Leiden,Netherlands,1928-02-04,NA,Netherlands
1902,Physics,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1/2,3,Individual,Pieter Zeeman,1865-05-25,Zonnemaire,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,1943-10-09,Amsterdam,Netherlands
1903,Chemistry,The Nobel Prize in Chemistry 1903,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",1/1,162,Individual,Svante August Arrhenius,1859-02-19,Vik,Sweden,Male,Stockholm University,Stockholm,Sweden,1927-10-02,Stockholm,Sweden
1903,Literature,The Nobel Prize in Literature 1903,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",1/1,572,Individual,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,Norway,Male,NA,NA,NA,1910-04-26,Paris,France
1903,Medicine,The Nobel Prize in Physiology or Medicine 1903,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",1/1,295,Individual,Niels Ryberg Finsen,1860-12-15,Thorshavn,Faroe Islands (Denmark),Male,Finsen Medical Light Institute,Copenhagen,Denmark,1904-09-24,Copenhagen,Denmark
1903,Peace,The Nobel Peace Prize 1903,NA,1/1,466,Individual,William Randal Cremer,1828-03-18,Fareham,United Kingdom,Male,NA,NA,NA,1908-07-22,London,United Kingdom
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",1/2,4,Individual,Antoine Henri Becquerel,1852-12-15,Paris,France,Male,École Polytechnique,Paris,France,1908-08-25,NA,France
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1/4,5,Individual,Pierre Curie,1859-05-15,Paris,France,Male,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,1906-04-19,Paris,France
1903,Physics,The Nobel Prize in Physics 1903,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1/4,6,Individual,"Marie Curie, née Sklodowska",1867-11-07,Warsaw,Russian Empire (Poland),Female,NA,NA,NA,1934-07-04,Sallanches,France
1904,Chemistry,The Nobel Prize in Chemistry 1904,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",1/1,163,Individual,Sir William Ramsay,1852-10-02,Glasgow,Scotland,Male,University College,London,United Kingdom,1916-07-23,High Wycombe,United Kingdom
1904,Literature,The Nobel Prize in Literature 1904,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",1/2,573,Individual,Frédéric Mistral,1830-09-08,Maillane,France,Male,NA,NA,NA,1914-03-25,Maillane,France
