Field,Laureate ID,Laureate name,Prize year,Title,Pub year,Paper ID,Additional information
Physics,10001,"thouless, dj",2016,ordering metastability and phase transitions in two dimensional systems,1973,2086860422,
Physics,10002,"kosterlitz, jm",2016,ordering metastability and phase transitions in two dimensional systems,1973,2086860422,
Physics,10003,"haldane, fdm",2016,nonlinear field theory of large spin heisenberg antiferromagnets semiclassically quantized solitons of the one dimensional easy axis neel state,1983,2113166233,
Physics,10004,"kajita, t",2015,evidence for oscillation of atmospheric neutrinos,1998,2134803267,
Physics,10005,"mcdonald, ab",2015,direct evidence for neutrino flavor transformation from neutral current interactions in the sudbury neutrino observatory,2002,1983987483,
Physics,10005,"mcdonald, ab",2015,measurement of the rate of ve d p p e interactions produced by 8b solar neutrinos at the sudbury neutrino observatory,2001,2137229134,
Physics,10006,"akasaki, isamu",2014,p type conduction in mg doped gan treated with low energy electron beam irradiation leebi,1989,2069099261,
Physics,10007,"amano, hiroshi",2014,p type conduction in mg doped gan treated with low energy electron beam irradiation leebi,1989,2069099261,
Physics,10008,"nakamura, shuji",2014,candela class high brightness ingan algan double heterostructure blue light emitting diodes,1994,2054227182,
Physics,10009,"englert, f",2013,broken symmetry and the mass of gauge vector mesons,1964,2045120204,
Physics,10010,"higgs, pw",2013,broken symmetries and the masses of gauge bosons,1964,1996413343,
Physics,10010,"higgs, pw",2013,broken symmetries massless particles and gauge fields,1964,2223433365,
Physics,10011,"haroche, serge",2012,quantum rabi oscillation a direct test of field quantization in a cavity,1996,2025623691,
Physics,10011,"haroche, serge",2012,observing the progressive decoherence of the meter in a quantum measurement,1996,2091261194,
Physics,10012,"wineland, david",2012,demonstration of a fundamental quantum logic gate,1995,1966533239,
Physics,10012,"wineland, david",2012,generation of nonclassical motional states of a trapped atom,1996,2040136860,
Physics,10012,"wineland, david",2012,a schrodinger cat superposition state of an atom,1996,2081210383,
Physics,10013,"perlmutter, s",2011,discovery of a supernova explosion at half the age of the universe,1998,2289091855,
Physics,10014,"schmidt, bp",2011,observational evidence from supernovae for an accelerating universe and a cosmological constant,1998,2073832139,
Physics,10015,"riess, adam g.",2011,observational evidence from supernovae for an accelerating universe and a cosmological constant,1998,2073832139,
Physics,10016,"novoselov, kostya s.",2010,electric field effect in atomically thin carbon films,2004,2058122340,
Physics,10017,"geim, andre k.",2010,electric field effect in atomically thin carbon films,2004,2058122340,
Physics,10018,"kao, kc",2009,dielectric fibre surface waveguides for optical frequencies,1966,2159795626,
Physics,10019,"boyle, ws",2009,charge coupled semiconductor devices,1970,2113742150,
Physics,10020,"smith, ge",2009,charge coupled semiconductor devices,1970,2113742150,
Physics,10021,"nambu, yoichiro",2008,quasi particles and gauge invariance in the theory of superconductivity,1960,1965850850,
Physics,10021,"nambu, yoichiro",2008,dynamical model of elementary particles based on an analogy with superconductivity ii,1961,1998909324,
Physics,10021,"nambu, yoichiro",2008,axial vector current conservation in weak interactions,1960,2085522314,
Physics,10022,"kobayash, m",2008,cp violation in the renormalizable theory of weak interaction,1973,2169090745,
Physics,10023,"maskawa, t",2008,cp violation in the renormalizable theory of weak interaction,1973,2169090745,
Physics,10024,"fert, a",2007,giant magnetoresistance of 001 fe 001 cr magnetic superlattices,1988,1965245884,
Physics,10025,"grunberg, p",2007,layered magnetic structures evidence for antiferromagnetic coupling of fe layers across cr interlayers,1986,2024347200,
Physics,10026,"mather, jc",2006,a preliminary measurement of the cosmic microwave background spectrum by the cosmic background explorer cobe satellite,1990,2079724444,
Physics,10027,"smoot, gf",2006,cobe differential microwave radiometers preliminary systematic error analysis,1992,1986563620,
Physics,10028,"glauber, rj",2005,coherent and incoherent states of the radiation field,1963,2228259595,
Physics,10028,"glauber, rj",2005,the quantum theory of optical coherence,1963,2592799394,
Physics,10029,"hall, jl",2005,direct link between microwave and optical frequencies with a 300 thz femtosecond laser comb,2000,2003141184,
