license_issue_date,license_number,animals_name,species,primary_breed,secondary_breed,zip_code
November 16 2018,8002756,Wall-E,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98108
November 11 2018,S124529,Andre,Dog,"Terrier, Jack Russell","Dachshund, Standard Wire Haired",98117
November 21 2018,903793,Mac,Dog,"Retriever, Labrador",NA,98136
November 23 2018,824666,Melb,Cat,Domestic Shorthair,NA,98117
December 30 2018,S119138,Gingersnap,Cat,Domestic Shorthair,Mix,98144
December 16 2018,S138529,Cody,Dog,"Retriever, Labrador",NA,98103
October 04 2017,580652,Millie,Dog,"Terrier, Boston",NA,98115
August 09 2018,S142558,Sebastian,Cat,Domestic Shorthair,Mix,98122
August 20 2018,S142546,Madeline,Cat,Domestic Shorthair,Mix,98105
December 08 2018,S123830,Cleo,Cat,Domestic Shorthair,NA,98199
December 23 2018,961052,Sabre,Dog,Terrier,NA,98126
December 07 2018,S125461,Thomas,Dog,"Chihuahua, Short Coat",Mix,98177
October 20 2018,S149153,Glitch,Cat,Siamese,Domestic Medium Hair,98122
November 07 2018,8002543,Lulu,Dog,"Vizsla, Smooth Haired",Mix,98105
November 24 2018,817137,Candy,Cat,Domestic Shorthair,NA,98126
December 15 2018,S138838,Milo,Dog,Boxer,"Retriever, Labrador",98109
December 07 2018,895346,Cinnamon,Cat,Domestic Shorthair,NA,98144
November 27 2018,S123980,Anubis,Dog,"Poodle, Standard",NA,98112
October 31 2018,S123360,Sydney2,Cat,Domestic Medium Hair,NA,98101
October 25 2018,830506,Skylar,Dog,Border Collie,"Terrier, Airedale",98144
October 23 2018,S137719,Cleo,Dog,Bernese Mountain Dog,Spaniel,98107
November 07 2018,905090,Petey,Dog,Pomeranian,Shih Tzu,98119
December 24 2018,S152290,Kaia,Dog,Karelian Bear Dog,NA,98117
October 23 2018,S122244,Calvin,Cat,American Shorthair,NA,98119
December 27 2018,8004142,Maya,Dog,"Chihuahua, Short Coat",NA,98126
November 15 2018,8002730,Mochi,Cat,Domestic Medium Hair,Mix,98105
November 27 2018,S125276,dmh,Cat,Domestic Medium Hair,Mix,98117
December 20 2018,952291,Justin,Cat,Domestic Medium Hair,NA,98122
November 18 2018,835221,Shirley,Dog,Australian Shepherd,"Retriever, Golden",98144
October 18 2018,S101544,Diesel,Dog,Shepherd,Mix,98118
December 21 2018,S150217,Dash,Cat,Domestic Shorthair,NA,98117
November 30 2018,904438,Jacob,Dog,German Shepherd,Rottweiler,98199
December 10 2018,8003722,Buster,Cat,Domestic Shorthair,Mix,98115
November 06 2018,8002506,Linkin,Dog,"Vizsla, Smooth Haired",NA,98105
October 21 2018,S136705,Monk,Cat,Domestic Medium Hair,Mix,98122
December 02 2018,829922,Gracie,Dog,"Terrier, Fox, Smooth",NA,98118
October 29 2018,S137285,Mari,Cat,Domestic Shorthair,NA,98144
November 19 2018,S124303,Peko,Cat,Domestic Medium Hair,NA,98117
November 07 2018,896862,Sajah,Cat,Domestic Medium Hair,NA,98112
November 08 2018,S138040,Chobo,Dog,"Poodle, Toy",NA,98115
November 12 2018,896813,Nami,Cat,Domestic Shorthair,NA,98107
December 10 2018,952135,John,Cat,Domestic Shorthair,NA,98118
December 14 2016,S125841,Lola,Dog,"Chihuahua, Short Coat","Dachshund, Miniature Smooth Haired",98102
December 11 2018,899919,Macy,Dog,Border Collie,NA,98133
November 01 2018,S118041,Billy,Dog,"Dachshund, Standard Long Haired",Mix,98146
November 23 2018,S149220,Harley Davidson,Cat,Domestic Shorthair,Mix,98102
November 09 2018,S116017,Morris,Dog,"Retriever, Labrador","Poodle, Miniature",98122
November 03 2018,359291,Channing,Dog,"Retriever, Labrador","Terrier, American Pit Bull",98122
December 29 2018,S151195,Duke,Dog,Basset Hound,NA,98103
November 08 2018,8002583,Daisy Mae,Dog,"Terrier, Tibetan",Mix,98144
November 06 2018,899399,Millie,Dog,Australian Cattle Dog,Mix,98102
October 19 2018,8002022,Harper,Dog,Pomeranian,"Chihuahua, Short Coat",98102
December 16 2018,8003889,Plucky,Dog,"Spaniel, American Cocker","Poodle, Toy",98116
November 14 2018,708366,Big Boy,Cat,Domestic Medium Hair,NA,98117
December 26 2018,956809,Ulu,Dog,Australian Shepherd,Mix,98118
December 11 2018,951547,Angel,Dog,"Poodle, Miniature",Bichon Frise,98106
December 11 2018,8003727,Fenway,Dog,"Retriever, Golden",NA,98126
December 07 2018,8003595,ALASTOR,Cat,Domestic Shorthair,Mix,98122
December 05 2018,901022,Zoe,Dog,"Retriever, Golden",NA,98177
October 24 2018,S146795,Trooper,Dog,"Terrier, Yorkshire","Poodle, Miniature",98117
December 15 2018,8003848,Thom,Dog,"Poodle, Toy",NA,98108
December 20 2018,S138281,Tikka,Dog,Retriever,Siberian Husky,98122
November 30 2018,8003378,Kidalee Divey,Dog,"Retriever, Labrador",Rhodesian Ridgeback,98106
October 24 2018,8002180,Hermes,Dog,Coton de Tulear,NA,98109
August 02 2018,S142568,Dodger,Cat,Domestic Shorthair,Mix,98117
December 21 2018,S138875,Jean Paul,Dog,"Poodle, Standard",NA,98117
November 06 2018,S121644,Oliver,Dog,Rhodesian Ridgeback,NA,98118
December 05 2018,S151160,Patsy,Dog,"Terrier, Border","Schnauzer, Miniature",98106
December 26 2018,904550,Ruby,Dog,"Welsh Corgi, Cardigan",Shepherd,98117
December 16 2018,8003870,Ella,Dog,"Retriever, Labrador",NA,98133
November 06 2018,S123192,Duffy,Cat,Domestic Shorthair,Mix,98178
November 24 2018,896415,NA,Cat,Domestic Medium Hair,NA,98136
October 28 2018,825985,Roxy,Dog,Terrier,Mix,98116
December 27 2018,901602,Rocket,Dog,"Retriever, Labrador",NA,98119
December 11 2018,8003740,Milli,Dog,"Retriever, Labrador",Mix,98102
November 06 2018,S124519,Gabby,Dog,"Retriever, Labrador",Hound,98115
December 01 2018,8003426,Barry,Cat,American Shorthair,American Shorthair,98106
October 27 2018,S146767,Willow,Dog,"Retriever, Golden",NA,98107
November 01 2018,8002373,Georgie,Dog,"Retriever, Golden","Retriever, Golden",98101
December 19 2018,S109717,Louisa,Cat,Toyger,NA,98133
December 18 2018,8003956,Hoover,Dog,Siberian Husky,Retriever,98102
December 20 2018,8004011,Ro Ro,Dog,Siberian Husky,NA,98103
November 06 2018,8002507,Lolly,Cat,Domestic Medium Hair,NA,98199
October 29 2018,S122591,Lexi Aine,Dog,Terrier,Mix,98199
November 28 2018,443413,Eve,Dog,Beagle,NA,98119
December 02 2018,824485,Koko,Cat,Siamese,Snowshoe,98118
November 30 2018,900776,Izzy,Dog,"Chihuahua, Short Coat",NA,98133
December 11 2018,8003742,Mushu,Dog,"Terrier, Yorkshire",Maltese,98116
December 08 2018,8003638,Porter,Dog,"Retriever, Labrador",NA,98103
November 20 2018,S152232,Sue,Dog,"Dachshund, Miniature Long Haired",Pug,98133
November 01 2018,833319,Emma,Cat,Domestic Shorthair,NA,98119
December 26 2018,8004132,Mala,Dog,"Retriever, Labrador","Terrier, American Pit Bull",98103
December 10 2018,905647,Hobbes,Cat,Domestic Medium Hair,NA,98199
October 19 2018,586531,Sophie,Cat,Siamese,NA,98122
November 16 2018,716226,Herbie,Cat,Siamese,NA,98109
November 25 2018,S120480,Charlie,Dog,"Retriever, Labrador","Pointer, German Shorthaired",98107
December 16 2018,824760,Polo,Cat,Domestic Shorthair,NA,98119
December 31 2018,S138905,Whisky,Dog,"Terrier, Jack Russell","Chihuahua, Short Coat",98136
November 17 2018,8002774,Bowie,Dog,Siberian Husky,Alaskan Malamute,98136
November 01 2018,8002366,Coco Bella,Dog,"Poodle, Miniature",Bichon Frise,98115
October 25 2018,823544,Antny,Cat,Domestic Medium Hair,Mix,98118
October 23 2018,S121839,Middie,Cat,Domestic Medium Hair,NA,98112
October 13 2018,S142631,Morticia,Cat,Domestic Shorthair,Mix,98107
December 01 2018,S150148,Kiki,Dog,Terrier,Mix,98136
December 06 2018,S127069,Buddy,Dog,"Terrier, Jack Russell",NA,98122
October 22 2018,S152153,Lola,Cat,Domestic Shorthair,Mix,NA
November 05 2018,S152196,Smokey,Cat,Domestic Shorthair,Mix,98116
November 18 2018,8002861,Corky,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98125
November 08 2018,S123205,Sasha,Cat,Domestic Medium Hair,NA,98177
December 21 2018,S139101,Cocoa,Dog,Lhasa Apso,NA,98146
October 22 2018,S136962,Gretel,Dog,"Griffon, Brussels",NA,98122
October 24 2018,S121931,Archie,Dog,"Setter, Irish",NA,98118
November 17 2018,824224,Shadow,Cat,Domestic Shorthair,NA,98108
November 12 2018,8002666,King,Dog,Shepherd,Mix,98105
September 22 2018,S142603,Ori,Cat,Domestic Shorthair,Mix,98103
December 19 2018,964368,Jerri,Dog,Terrier,Mix,98122
December 18 2018,8003951,Nellie,Dog,"Retriever, Labrador",NA,98199
December 23 2018,8004089,Oliver,Cat,American Shorthair,NA,98106
November 30 2018,S148180,Nigel,Dog,"Spaniel, Cavalier King Charles","Poodle, Miniature",98144
October 27 2018,8002241,Roxy,Dog,Australian Shepherd,Mix,98112
December 01 2018,8003434,Chewie,Cat,Domestic Shorthair,Mix,98126
November 05 2018,8002460,Andre,Dog,"Bulldog, French",NA,98115
November 17 2018,835009,Bruno,Dog,"Retriever, Labrador",Border Collie,98146
October 21 2018,8002105,Grace,Dog,Brittany,NA,98122
December 12 2018,8003760,Otis,Dog,"Welsh Corgi, Cardigan",Mix,98115
October 31 2018,730648,Louie,Dog,"Chihuahua, Long Coat",Schipperke,98108
December 18 2018,8003954,Phantom,Cat,Siberian,Siberian,98116
December 23 2018,953725,Periclaws,Cat,Domestic Longhair,Russian Blue,98125
December 05 2018,8003514,Quinn,Dog,"Coonhound, Redbone","Retriever, Labrador",98102
November 03 2018,829563,Max,Dog,"Retriever, Labrador",Mix,98117
November 20 2018,S111397,Impact,Dog,"Terrier, American Pit Bull",NA,98126
December 28 2018,S108739,Gus,Dog,"Chihuahua, Short Coat","Dachshund, Standard Smooth Haired",98178
November 01 2018,8002382,Rocky,Dog,"Terrier, Jack Russell","Chihuahua, Short Coat",98199
November 28 2018,S124210,Garrett,Dog,"Retriever, Labrador",Mix,98109
December 29 2018,S138493,Olive,Dog,"Terrier, Cairn",Terrier,98106
November 21 2018,8003098,Spud,Dog,Pomeranian,Mix,98108
November 18 2018,829609,Treva,Dog,"Retriever, Golden",NA,98112
December 01 2018,8003421,Suzie,Dog,"Retriever, Labrador",NA,98115
October 22 2018,S119705,Eddie,Cat,Domestic Shorthair,Mix,98115
December 05 2018,S135827,Smella,Cat,Mix,NA,98133
October 27 2018,S146769,Radish,Cat,Domestic Shorthair,Mix,98119
November 30 2018,S150131,Cameo,Dog,"Retriever, Golden",NA,98177
October 29 2018,732106,Lily,Cat,Domestic Shorthair,Siamese,98117
November 25 2018,8003215,Desmond,Dog,"Dachshund, Standard Smooth Haired","Terrier, Jack Russell",98106
November 15 2018,904458,Dingle Jr.,Dog,Xoloitzcuintli,NA,98126
December 30 2018,8004225,Diego,Dog,"Australian Shepherd, Miniature",NA,98103
December 10 2018,953274,Oscar,Cat,Domestic Shorthair,Mix,98117
November 07 2018,905186,Scout,Dog,Shepherd,Mix,98119
November 25 2018,895808,Max,Cat,Domestic Shorthair,NA,98103
December 15 2018,S108802,Ashley,Dog,Shih Tzu,NA,98104
December 26 2018,954093,Casey,Cat,Domestic Shorthair,NA,98119
November 06 2018,S119103,Olivia,Cat,Domestic Shorthair,Mix,98133
November 24 2018,8003164,Abby,Dog,Greyhound,NA,98116
November 01 2018,824428,Pantalaimon,Cat,Domestic Longhair,NA,98118
November 27 2018,S151131,Lulu,Dog,Terrier,Bulldog,98116
December 06 2018,960597,Rocky,Dog,Siberian Husky,German Shepherd,98103
December 12 2018,S138878,Sammy,Dog,Basenji,NA,98106
November 17 2018,8002838,Jezzabelle,Cat,American Shorthair,NA,98103
December 07 2018,960466,Tito,Dog,Havanese,Shih Tzu,98116
December 12 2018,S152275,Minky,Cat,Siamese,Domestic Longhair,98106
November 20 2018,902024,Mylo,Dog,"Terrier, Boston",NA,98116
November 10 2018,8002621,SAM Howdy,Dog,Australian Cattle Dog,NA,98133
December 10 2018,8003682,Ava,Dog,"Terrier, American Pit Bull",Mix,98107
December 16 2018,S138540,Eliott,Dog,"Terrier, American Pit Bull",Boxer,98106
November 16 2018,137419,D'Artagnan,Dog,Belgian Sheepdog,NA,98103
December 12 2018,8003773,Theodore Shadow Box,Dog,Terrier,Mix,98122
December 18 2018,8003950,Herdy,Cat,Domestic Shorthair,Mix,98106
December 13 2018,955156,Otis,Dog,"Terrier, Airedale",NA,98103
