state,variable,year,raw,inf_adj,inf_adj_perchild
Alabama,PK12ed,1997,3271969,4665308.5,3.9294486045837402
Alaska,PK12ed,1997,1042311,1486170,7.548493385314941
Arizona,PK12ed,1997,3388165,4830985.5,3.706679344177246
Arkansas,PK12ed,1997,1960613,2795523,3.891274929046631
California,PK12ed,1997,28708364,40933568,4.28232479095459
Colorado,PK12ed,1997,3332994,4752320.5,4.380313396453857
Connecticut,PK12ed,1997,4014870,5724567.5,6.697437286376953
Delaware,PK12ed,1997,776825,1107629.125,5.625309944152832
District of Columbia,PK12ed,1997,544051,775730.375,6.105132579803467
Florida,PK12ed,1997,11498394,16394885,4.453577995300293
Georgia,PK12ed,1997,6933391,9885915,4.609365940093994
Hawaii,PK12ed,1997,735256,1048358.3125,3.2316641807556152
Idaho,PK12ed,1997,1063605,1516531.875,3.9910099506378174
Illinois,PK12ed,1997,10559474,15056134,4.440081596374512
Indiana,PK12ed,1997,5196692,7409658,4.550327777862549
Iowa,PK12ed,1997,2509352,3577937.5,4.616663932800293
Kansas,PK12ed,1997,2463463,3512507.25,4.727243423461914
Kentucky,PK12ed,1997,3002740,4281430.5,4.037386417388916
Louisiana,PK12ed,1997,3660006,5218587.5,3.979902505874634
Maine,PK12ed,1997,1338428,1908385.875,5.921900749206543
Maryland,PK12ed,1997,4922369,7018517,5.070797920227051
Massachusetts,PK12ed,1997,6019704,8583142,5.516707420349121
Michigan,PK12ed,1997,10803966,15404740,5.657581329345703
Minnesota,PK12ed,1997,5207057,7424436.5,5.569093227386475
Mississippi,PK12ed,1997,1961623,2796963,3.406456470489502
Missouri,PK12ed,1997,4544251,6479380.5,4.324664115905762
Montana,PK12ed,1997,851762,1214477.375,4.923669815063477
Nebraska,PK12ed,1997,1569105,2237294.75,4.706665992736816
Nevada,PK12ed,1997,1379417,1966829.625,4.231916427612305
New Hampshire,PK12ed,1997,1130228,1611525.75,5.062437534332275
New Jersey,PK12ed,1997,10777218,15366602,7.223886966705322
New Mexico,PK12ed,1997,1502830,2142797,3.9565441608428955
New York,PK12ed,1997,24293108,34638116,7.048431873321533
North Carolina,PK12ed,1997,5818521,8296287.5,4.222504138946533
North Dakota,PK12ed,1997,524949,748493.9375,4.205683708190918
Ohio,PK12ed,1997,10213866,14563352,4.764308452606201
Oklahoma,PK12ed,1997,2760518,3936060.5,4.168169021606445
Oregon,PK12ed,1997,3122900,4452759.5,5.079017639160156
Pennsylvania,PK12ed,1997,11456526,16335187,5.257626056671143
Rhode Island,PK12ed,1997,1090165,1554402.25,6.058276176452637
South Carolina,PK12ed,1997,3114033,4440116.5,4.192855358123779
South Dakota,PK12ed,1997,610507,870486.0625,3.9917736053466797
Tennessee,PK12ed,1997,3880074,5532369.5,3.8519999980926514
Texas,PK12ed,1997,18119762,25835904,4.341945648193359
Utah,PK12ed,1997,1783323,2542735.5,3.4133288860321045
Vermont,PK12ed,1997,625118,891319.0625,5.629537582397461
Virginia,PK12ed,1997,6188464,8823767,4.975489616394043
Washington,PK12ed,1997,5335341,7607349.5,4.903529167175293
West Virginia,PK12ed,1997,1740686,2481942,5.570375442504883
Wisconsin,PK12ed,1997,5834077,8318467.5,5.789639949798584
Wyoming,PK12ed,1997,580453,827633.8125,5.809872627258301
Alabama,highered,1997,956505,1363824.25,1.1487079858779907
Alaska,highered,1997,209433,298618.21875,1.5167293548583984
Arizona,highered,1997,847032,1207733.125,0.9266596436500549
Arkansas,highered,1997,457171,651853.25,0.9073579907417297
California,highered,1997,6858657,9779356,1.0230815410614014
Colorado,highered,1997,861733,1228694.5,1.1325135231018066
Connecticut,highered,1997,502177,716024.6875,0.8377104997634888
Delaware,highered,1997,185114,263943.1875,1.340486764907837
District of Columbia,highered,1997,56693,80835.21875,0.6361871957778931
Florida,highered,1997,2039186,2907555.5,0.7898210287094116
Georgia,highered,1997,1317266,1878212.25,0.8757275342941284
Hawaii,highered,1997,394349,562279.0625,1.7332786321640015
Idaho,highered,1997,249477,355714.59375,0.9361230731010437
Illinois,highered,1997,1856127,2646542.5,0.7804701924324036
Indiana,highered,1997,1100773,1569527.5,0.9638588428497314
Iowa,highered,1997,792302,1129696.875,1.4576640129089355
Kansas,highered,1997,649445,926005.5,1.2462475299835205
Kentucky,highered,1997,650923,928112.875,0.8752099275588989
