age_group,type,injury_mechanism,number_est,rate_est
0-17,Emergency Department Visit,Motor Vehicle Crashes,47138,64.1
0-17,Emergency Department Visit,Unintentional Falls,397190,539.8
0-17,Emergency Department Visit,Unintentionally struck by or against an object,229236,311.6
0-17,Emergency Department Visit,"Other unintentional injury, mechanism unspecified",55785,75.8
0-17,Emergency Department Visit,Intentional self-harm,NA,NA
0-17,Emergency Department Visit,Assault,24360,33.1
0-17,Emergency Department Visit,Other or no mechanism specified,57983,78.8
0-4,Emergency Department Visit,Motor Vehicle Crashes,5464,27.5
0-4,Emergency Department Visit,Unintentional Falls,230776,1161
0-4,Emergency Department Visit,Unintentionally struck by or against an object,53436,268.8
0-4,Emergency Department Visit,"Other unintentional injury, mechanism unspecified",12007,60.4
0-4,Emergency Department Visit,Intentional self-harm,NA,NA
0-4,Emergency Department Visit,Assault,674,3.4
0-4,Emergency Department Visit,Other or no mechanism specified,19360,97.4
5-14,Emergency Department Visit,Motor Vehicle Crashes,19785,48
5-14,Emergency Department Visit,Unintentional Falls,133084,323.1
5-14,Emergency Department Visit,Unintentionally struck by or against an object,120839,293.4
5-14,Emergency Department Visit,"Other unintentional injury, mechanism unspecified",30656,74.4
5-14,Emergency Department Visit,Intentional self-harm,NA,NA
5-14,Emergency Department Visit,Assault,9690,23.5
5-14,Emergency Department Visit,Other or no mechanism specified,26022,63.2
15-24,Emergency Department Visit,Motor Vehicle Crashes,103892,236.4
15-24,Emergency Department Visit,Unintentional Falls,96568,219.7
15-24,Emergency Department Visit,Unintentionally struck by or against an object,106679,242.7
15-24,Emergency Department Visit,"Other unintentional injury, mechanism unspecified",37118,84.5
15-24,Emergency Department Visit,Intentional self-harm,870,2
15-24,Emergency Department Visit,Assault,65399,148.8
15-24,Emergency Department Visit,Other or no mechanism specified,33395,76
25-34,Emergency Department Visit,Motor Vehicle Crashes,71641,164.8
25-34,Emergency Department Visit,Unintentional Falls,70210,161.6
25-34,Emergency Department Visit,Unintentionally struck by or against an object,44404,102.2
25-34,Emergency Department Visit,"Other unintentional injury, mechanism unspecified",22360,51.5
25-34,Emergency Department Visit,Intentional self-harm,650,1.5
25-34,Emergency Department Visit,Assault,57213,131.6
25-34,Emergency Department Visit,Other or no mechanism specified,20974,48.3
35-44,Emergency Department Visit,Motor Vehicle Crashes,44108,109.1
35-44,Emergency Department Visit,Unintentional Falls,68830,170.2
35-44,Emergency Department Visit,Unintentionally struck by or against an object,32479,80.3
35-44,Emergency Department Visit,"Other unintentional injury, mechanism unspecified",17541,43.4
35-44,Emergency Department Visit,Intentional self-harm,421,1
35-44,Emergency Department Visit,Assault,34100,84.3
35-44,Emergency Department Visit,Other or no mechanism specified,16503,40.8
45-54,Emergency Department Visit,Motor Vehicle Crashes,40020,92.2
45-54,Emergency Department Visit,Unintentional Falls,95127,219.2
45-54,Emergency Department Visit,Unintentionally struck by or against an object,30495,70.3
45-54,Emergency Department Visit,"Other unintentional injury, mechanism unspecified",17808,41
45-54,Emergency Department Visit,Intentional self-harm,247,0.6
45-54,Emergency Department Visit,Assault,27682,63.8
45-54,Emergency Department Visit,Other or no mechanism specified,15962,36.8
55-64,Emergency Department Visit,Motor Vehicle Crashes,27193,67.9
55-64,Emergency Department Visit,Unintentional Falls,112460,280.9
55-64,Emergency Department Visit,Unintentionally struck by or against an object,20408,51
55-64,Emergency Department Visit,"Other unintentional injury, mechanism unspecified",12928,32.3
55-64,Emergency Department Visit,Intentional self-harm,105,0.3
55-64,Emergency Department Visit,Assault,11538,28.8
55-64,Emergency Department Visit,Other or no mechanism specified,13387,33.4
65-74,Emergency Department Visit,Motor Vehicle Crashes,13829,52.4
65-74,Emergency Department Visit,Unintentional Falls,120327,456.1
65-74,Emergency Department Visit,Unintentionally struck by or against an object,11937,45.2
65-74,Emergency Department Visit,"Other unintentional injury, mechanism unspecified",7077,26.8
65-74,Emergency Department Visit,Intentional self-harm,NA,NA
65-74,Emergency Department Visit,Assault,2893,11
65-74,Emergency Department Visit,Other or no mechanism specified,10051,38.1
75+,Emergency Department Visit,Motor Vehicle Crashes,8176,41.2
75+,Emergency Department Visit,Unintentional Falls,286031,1442.5
75+,Emergency Department Visit,Unintentionally struck by or against an object,13270,66.9
75+,Emergency Department Visit,"Other unintentional injury, mechanism unspecified",7440,37.5
75+,Emergency Department Visit,Intentional self-harm,NA,NA
75+,Emergency Department Visit,Assault,1260,6.4
75+,Emergency Department Visit,Other or no mechanism specified,17318,87.3
Total,Emergency Department Visit,Motor Vehicle Crashes,334109,104.9
Total,Emergency Department Visit,Unintentional Falls,1213412,380.9
Total,Emergency Department Visit,Unintentionally struck by or against an object,433947,136.2
Total,Emergency Department Visit,"Other unintentional injury, mechanism unspecified",164935,51.8
Total,Emergency Department Visit,Intentional self-harm,2567,0.8
Total,Emergency Department Visit,Assault,210450,66.1
Total,Emergency Department Visit,Other or no mechanism specified,172974,54.3
0-17,Hospitalizations,Motor Vehicle Crashes,5830,7.9
0-17,Hospitalizations,Unintentional Falls,7935,10.8
0-17,Hospitalizations,Unintentionally struck by or against an object,1985,2.7
0-17,Hospitalizations,"Other unintentional injury, mechanism unspecified",3135,4.3
0-17,Hospitalizations,Intentional self-harm,NA,NA
0-17,Hospitalizations,Assault,1535,2.1
0-17,Hospitalizations,Other or no mechanism specified,2595,3.5
0-4,Hospitalizations,Motor Vehicle Crashes,870,4.4
0-4,Hospitalizations,Unintentional Falls,4700,23.6
0-4,Hospitalizations,Unintentionally struck by or against an object,510,2.6
0-4,Hospitalizations,"Other unintentional injury, mechanism unspecified",785,3.9
0-4,Hospitalizations,Intentional self-harm,NA,NA
0-4,Hospitalizations,Assault,960,4.8
0-4,Hospitalizations,Other or no mechanism specified,1140,5.7
5-14,Hospitalizations,Motor Vehicle Crashes,2395,5.8
5-14,Hospitalizations,Unintentional Falls,2270,5.5
5-14,Hospitalizations,Unintentionally struck by or against an object,980,2.4
5-14,Hospitalizations,"Other unintentional injury, mechanism unspecified",1435,3.5
5-14,Hospitalizations,Intentional self-harm,NA,NA
5-14,Hospitalizations,Assault,195,0.5
5-14,Hospitalizations,Other or no mechanism specified,955,2.3
15-24,Hospitalizations,Motor Vehicle Crashes,12925,29.4
15-24,Hospitalizations,Unintentional Falls,3910,8.9
15-24,Hospitalizations,Unintentionally struck by or against an object,1070,2.4
15-24,Hospitalizations,"Other unintentional injury, mechanism unspecified",3060,7
15-24,Hospitalizations,Intentional self-harm,280,0.6
15-24,Hospitalizations,Assault,3125,7.1
15-24,Hospitalizations,Other or no mechanism specified,2050,4.7
25-34,Hospitalizations,Motor Vehicle Crashes,11050,25.4
25-34,Hospitalizations,Unintentional Falls,4470,10.3
25-34,Hospitalizations,Unintentionally struck by or against an object,635,1.5
25-34,Hospitalizations,"Other unintentional injury, mechanism unspecified",2600,6
