"id","name","uni_id","uni_name","notability","link","image_link"
"F2","Monica Geller","F","Friends",79.7,"https://openpsychometrics.org/tests/characters/stats/F/2","https://openpsychometrics.org/tests/characters/test-resources/pics/F/2.jpg"
"F1","Rachel Green","F","Friends",76.7,"https://openpsychometrics.org/tests/characters/stats/F/1","https://openpsychometrics.org/tests/characters/test-resources/pics/F/1.jpg"
"F5","Chandler Bing","F","Friends",74.4,"https://openpsychometrics.org/tests/characters/stats/F/5","https://openpsychometrics.org/tests/characters/test-resources/pics/F/5.jpg"
"F4","Joey Tribbiani","F","Friends",74.3,"https://openpsychometrics.org/tests/characters/stats/F/4","https://openpsychometrics.org/tests/characters/test-resources/pics/F/4.jpg"
"F3","Phoebe Buffay","F","Friends",72.6,"https://openpsychometrics.org/tests/characters/stats/F/3","https://openpsychometrics.org/tests/characters/test-resources/pics/F/3.jpg"
"F6","Ross Geller","F","Friends",51.6,"https://openpsychometrics.org/tests/characters/stats/F/6","https://openpsychometrics.org/tests/characters/test-resources/pics/F/6.jpg"
"EU1","Rue Bennett","EU","Euphoria",86.5,"https://openpsychometrics.org/tests/characters/stats/EU/1","https://openpsychometrics.org/tests/characters/test-resources/pics/EU/1.jpg"
"EU2","Jules Vaughn","EU","Euphoria",84.2,"https://openpsychometrics.org/tests/characters/stats/EU/2","https://openpsychometrics.org/tests/characters/test-resources/pics/EU/2.jpg"
"EU6","Maddy Perez","EU","Euphoria",82.6,"https://openpsychometrics.org/tests/characters/stats/EU/6","https://openpsychometrics.org/tests/characters/test-resources/pics/EU/6.jpg"
"EU3","Cassie Howard","EU","Euphoria",65.6,"https://openpsychometrics.org/tests/characters/stats/EU/3","https://openpsychometrics.org/tests/characters/test-resources/pics/EU/3.jpg"
"EU4","Nate Jacobs","EU","Euphoria",55.3,"https://openpsychometrics.org/tests/characters/stats/EU/4","https://openpsychometrics.org/tests/characters/test-resources/pics/EU/4.jpg"
"EU5","Lexi Howard","EU","Euphoria",50.7,"https://openpsychometrics.org/tests/characters/stats/EU/5","https://openpsychometrics.org/tests/characters/test-resources/pics/EU/5.jpg"
"HIMYM4","Barney Stinson","HIMYM","How I Met Your Mother",76,"https://openpsychometrics.org/tests/characters/stats/HIMYM/4","https://openpsychometrics.org/tests/characters/test-resources/pics/HIMYM/4.jpg"
"HIMYM3","Robin Scherbatsky","HIMYM","How I Met Your Mother",74.2,"https://openpsychometrics.org/tests/characters/stats/HIMYM/3","https://openpsychometrics.org/tests/characters/test-resources/pics/HIMYM/3.jpg"
"HIMYM5","Lily Aldrin","HIMYM","How I Met Your Mother",74.1,"https://openpsychometrics.org/tests/characters/stats/HIMYM/5","https://openpsychometrics.org/tests/characters/test-resources/pics/HIMYM/5.jpg"
"HIMYM2","Marshall Eriksen","HIMYM","How I Met Your Mother",71,"https://openpsychometrics.org/tests/characters/stats/HIMYM/2","https://openpsychometrics.org/tests/characters/test-resources/pics/HIMYM/2.jpg"
