"char_id","char_name","uni_id","uni_name","myers_briggs","avg_match_perc","number_users"
"F2","Monica Geller","F","Friends","ESTJ",66.8,547
"F2","Monica Geller","F","Friends","ISTJ",63.3,1475
"F2","Monica Geller","F","Friends","ENTJ",63.1,2286
"F2","Monica Geller","F","Friends","ESFJ",62.8,592
"F2","Monica Geller","F","Friends","ENFJ",61,3842
"F2","Monica Geller","F","Friends","ISFJ",60.7,1602
"F2","Monica Geller","F","Friends","INTJ",60.7,8827
"F2","Monica Geller","F","Friends","INFJ",58.2,12519
"F2","Monica Geller","F","Friends","ESTP",53.8,765
"F2","Monica Geller","F","Friends","ESFP",52.7,1202
"F2","Monica Geller","F","Friends","ENTP",52.2,5934
"F2","Monica Geller","F","Friends","ENFP",51.5,10817
"F2","Monica Geller","F","Friends","ISTP",51,1950
"F2","Monica Geller","F","Friends","INTP",51,11992
"F2","Monica Geller","F","Friends","ISFP",50.1,1998
"F2","Monica Geller","F","Friends","INFP",49.4,23344
"F1","Rachel Green","F","Friends","ESFP",64.6,1202
"F1","Rachel Green","F","Friends","ENFP",63.8,10817
"F1","Rachel Green","F","Friends","ESTP",60.8,765
"F1","Rachel Green","F","Friends","ENFJ",60.8,3842
"F1","Rachel Green","F","Friends","ENTP",60.1,5934
"F1","Rachel Green","F","Friends","ESFJ",59.3,592
"F1","Rachel Green","F","Friends","ENTJ",57.7,2286
"F1","Rachel Green","F","Friends","ESTJ",55.7,547
"F1","Rachel Green","F","Friends","INFP",54.1,23344
"F1","Rachel Green","F","Friends","ISFP",54,1998
"F1","Rachel Green","F","Friends","INFJ",51.1,12519
"F1","Rachel Green","F","Friends","ISFJ",49,1602
"F1","Rachel Green","F","Friends","ISTP",48.9,1950
"F1","Rachel Green","F","Friends","INTP",48.6,11992
"F1","Rachel Green","F","Friends","INTJ",46.4,8827
"F1","Rachel Green","F","Friends","ISTJ",44.7,1475
"F5","Chandler Bing","F","Friends","INFP",63.6,23344
"F5","Chandler Bing","F","Friends","ENFP",63.4,10817
"F5","Chandler Bing","F","Friends","ISFP",63.1,1998
"F5","Chandler Bing","F","Friends","ESFP",62.8,1202
"F5","Chandler Bing","F","Friends","ISFJ",61.6,1602
"F5","Chandler Bing","F","Friends","ESFJ",61.2,592
"F5","Chandler Bing","F","Friends","INFJ",60.9,12519
