22,"t","Honey Bee Colonies: Released August 1, 2018, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
22,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2018 and April-June 2018"
22,"h","","","","","","","",""
22,"h","","April 1","April-June","April-June","April-June","April-June","April-June","April-June"
22,"h","State","","","","","","",""
22,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
22,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
22,"h","","","","","","","",""
22,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
22,"d","Alabama",7500,8500,810,10,1300,710,8
22,"d","Arizona",18500,19500,2600,13,12000,2100,11
22,"d","Arkansas",11500,11500,1500,13,14000,1900,17
22,"d","California",1140000,1190000,70000,6,176000,254000,21
22,"d","Colorado",16500,26000,2300,9,9500,4570,18
22,"d","Connecticut",3600,3600,120,3,340,170,5
22,"d","Florida",270000,280000,48000,17,54000,69000,25
22,"d","Georgia",134000,134000,16000,12,34000,16000,12
22,"d","Hawaii",14500,14500,280,2,300,3100,21
22,"d","Idaho",60000,95000,4800,5,17000,29000,31
22,"d","",,,,,,,
22,"d","Illinois",10000,10500,2100,20,4700,2800,27
22,"d","Indiana",8000,9000,1800,20,4000,730,8
22,"d","Iowa",45000,47000,4300,9,15500,4800,10
22,"d","Kansas",3900,3900,170,4,1800,2100,54
22,"d","Kentucky",4800,6000,450,8,1400,560,9
22,"d","Louisiana",48000,48000,970,2,7000,4000,8
22,"d","Maine",2200,17000,1100,6,430,880,5
22,"d","Maryland",7000,8000,370,5,2400,1200,15
22,"d","Massachusetts",3600,7500,260,3,910,350,5
22,"d","Michigan",36000,69000,6000,9,18000,8000,12
22,"d","",,,,,,,
22,"d","Minnesota",69000,108000,6500,6,46000,24000,22
22,"d","Mississippi",53000,54000,5000,9,3900,6500,12
22,"d","Missouri",7000,7000,390,6,1800,800,11
22,"d","Montana",50000,171000,4800,3,26000,20000,12
22,"d","Nebraska",10500,40000,2700,7,3100,700,2
22,"d","New Jersey",4400,15000,270,2,1200,170,1
22,"d","New Mexico",1900,4300,50,1,290,450,10
22,"d","New York",20000,36000,3300,9,8000,2300,6
22,"d","North Carolina",16000,17500,1200,7,3600,800,5
22,"d","North Dakota",72000,430000,11000,3,30000,46000,11
22,"d","",,,,,,,
22,"d","Ohio",11000,13000,1100,8,9000,1800,14
22,"d","Oklahoma",15500,15500,1600,10,9000,6500,42
22,"d","Oregon",41000,106000,3400,3,23000,24000,23
22,"d","Pennsylvania",15500,19500,1100,6,6000,1600,8
22,"d","South Carolina",14000,14000,1300,9,2400,4000,29
22,"d","South Dakota",10500,161000,12000,7,21000,65000,40
22,"d","Tennessee",8000,8000,1200,15,3200,1300,16
22,"d","Texas",305000,310000,31000,10,100000,69000,22
22,"d","Utah",14500,26000,1700,7,10000,4100,16
22,"d","Vermont",5500,6500,520,8,2600,140,2
22,"d","",,,,,,,
22,"d","Virginia",5000,5500,490,9,2400,700,13
22,"d","Washington",55000,122000,6500,5,19000,18900,15
22,"d","West Virginia",7000,7000,490,7,2100,550,8
22,"d","Wisconsin",24000,50000,6000,12,12500,6600,13
22,"d","Wyoming",8500,22000,2200,10,3100,2300,10
22,"d","",,,,,,,
22,"d","Other States 5/",4260,7660,260,3,1880,930,12
22,"d","",,,,,,,
22,"d","United States",2692660,"(X)",270000,10,725650,715110,27
22,"c",""
22,"f","(X)  Not applicable."
22,"f","1/ April 1 number of colonies plus all colonies moved into that state during the quarter."
22,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 number of colonies."
22,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
22,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 number of colonies."
22,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
