8,"t","Honey Bee Colonies: Released August 1, 2018, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
8,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: October 1, 2017 and October-December 2017"
8,"h","","","","","","","",""
8,"h","","October 1","October-December","October-December","October-December","October-December","October-December","October-December"
8,"h","State","","","","","","",""
8,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
8,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
8,"h","","","","","","","",""
8,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
8,"d","Alabama",7500,7500,990,13,550,500,7
8,"d","Arizona",27000,30000,6500,22,1300,1100,4
8,"d","Arkansas",25000,25000,7500,30,2500,440,2
8,"d","California",680000,1200000,155000,13,90000,104000,9
8,"d","Colorado",34000,34000,7000,21,1500,4000,12
8,"d","Connecticut",4000,4000,330,8,190,110,3
8,"d","Florida",180000,240000,50000,21,55000,36000,15
8,"d","Georgia",125000,145000,21000,14,4300,2200,2
8,"d","Hawaii",15000,15000,130,1,970,290,2
8,"d","Idaho",113000,164000,9000,5,10000,5000,3
8,"d","",,,,,,,
8,"d","Illinois",13500,13500,1800,13,140,460,3
8,"d","Indiana",11500,11500,1700,15,320,100,1
8,"d","Iowa",45000,45000,6500,14,250,3400,8
8,"d","Kansas",6500,6500,830,13,140,40,1
8,"d","Kentucky",7500,7500,870,12,50,120,2
8,"d","Louisiana",58000,60000,2700,5,390,1900,3
8,"d","Maine",5500,6000,60,1,220,110,2
8,"d","Maryland",8000,10500,1300,12,20,410,4
8,"d","Massachusetts",6000,6000,1100,18,120,550,9
8,"d","Michigan",88000,88000,11500,13,990,1900,2
8,"d","",,,,,,,
8,"d","Minnesota",98000,98000,7000,7,1900,450,"(Z)"
8,"d","Mississippi",14000,22000,3400,15,280,830,4
8,"d","Missouri",9500,9500,820,9,100,230,2
8,"d","Montana",115000,121000,13000,11,5500,2900,2
8,"d","Nebraska",42000,42000,7500,18,80,50,"(Z)"
8,"d","New Jersey",15500,15500,1200,8,330,270,2
8,"d","New Mexico",8000,8000,1900,24,1700,-,-
8,"d","New York",51000,51000,3900,8,820,460,1
8,"d","North Carolina",23000,23000,5000,22,60,290,1
8,"d","North Dakota",410000,410000,26000,6,10000,2900,1
8,"d","",,,,,,,
8,"d","Ohio",18500,18500,2800,15,510,960,5
8,"d","Oklahoma",3700,46000,100,"(Z)",40,-,-
8,"d","Oregon",94000,94000,10000,11,70,18500,20
8,"d","Pennsylvania",24000,24000,5500,23,2500,1100,5
8,"d","South Carolina",12500,15000,2000,13,1300,750,5
8,"d","South Dakota",111000,111000,6500,6,-,-,-
8,"d","Tennessee",8500,10500,1300,12,230,320,3
8,"d","Texas",127000,285000,20000,7,3200,1900,1
8,"d","Utah",29000,29000,2000,7,480,70,"(Z)"
8,"d","Vermont",6500,6500,470,7,10,10,"(Z)"
8,"d","",,,,,,,
8,"d","Virginia",9500,9500,1100,12,300,210,2
8,"d","Washington",66000,72000,4000,6,2900,14000,19
8,"d","West Virginia",8500,8500,1200,14,70,1600,19
8,"d","Wisconsin",51000,55000,8500,15,530,3000,5
8,"d","Wyoming",28000,29000,3500,12,2500,320,1
8,"d","",,,,,,,
8,"d","Other States 5/",6070,6970,360,5,150,240,3
8,"d","",,,,,,,
8,"d","United States",2849770,"(X)",424860,15,204510,213990,8
8,"c",""
8,"f","-  Represents zero."
8,"f","(X)  Not applicable."
8,"f","(Z)  Less than half of the unit shown."
8,"f","1/ October 1 number of colonies plus all colonies moved into that state during the quarter."
8,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the October 1 number of colonies."
8,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
8,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the October 1 number of colonies."
8,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
