5,"t","Honey Bee Colonies: Released August 1, 2018, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2017 and January-March 2017"
5,"h","","","","","","","",""
5,"h","","January 1","January-March","January-March","January-March","January-March","January-March","January-March"
5,"h","State","","","","","","",""
5,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
5,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
5,"h","","","","","","","",""
5,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
5,"d","Alabama",7000,7000,1600,23,570,740,11
5,"d","Arizona",31000,32000,6000,19,2900,-,-
5,"d","Arkansas",18000,20000,3500,18,430,230,1
5,"d","California",1170000,1470000,195000,13,137000,93000,6
5,"d","Colorado",9500,21000,1100,5,100,-,-
5,"d","Connecticut",3100,3100,380,12,100,110,4
5,"d","Florida",260000,265000,30000,11,78000,34000,13
5,"d","Georgia",123000,125000,14000,11,25000,21000,17
5,"d","Hawaii",13000,13000,190,1,510,50,"(Z)"
5,"d","Idaho",95000,99000,8500,9,2000,280,"(Z)"
5,"d","",,,,,,,
5,"d","Illinois",11000,11000,2900,26,3100,150,1
5,"d","Indiana",7000,7500,1900,25,1700,70,1
5,"d","Iowa",10000,15500,3000,19,70,-,-
5,"d","Kansas",3800,3800,1000,26,930,380,10
5,"d","Kentucky",6500,7000,1300,19,950,430,6
5,"d","Louisiana",44000,47000,2700,6,11000,1900,4
5,"d","Maine",2700,3100,1000,32,100,-,-
5,"d","Maryland",9000,9000,2100,23,770,260,3
5,"d","Massachusetts",3300,3300,1500,45,120,110,3
5,"d","Michigan",29000,59000,5000,8,600,130,"(Z)"
5,"d","",,,,,,,
5,"d","Minnesota",27000,41000,3500,9,3300,-,-
5,"d","Mississippi",31000,68000,2600,4,23000,7000,10
5,"d","Missouri",7000,7500,1200,16,400,10,"(Z)"
