34,"t","Honey Bee Colonies: Released August 1, 2018, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
34,"t","Number of Colonies, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Inventory of Less than Five Colonies – United States: First of Quarter and Quarterly 2016 and 2017"
34,"h","","","","","","",""
34,"h","","Colonies on first","Lost","Percent","Added","Renovated","Percent"
34,"h","Quarter","of the quarter 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
34,"h","","","","","","",""
34,"u","","(number)","(number)","(percent)","(number)","(number)","(percent)"
34,"d","2016",,,,,,
34,"d","   January-March",44000,11500,26,7500,2900,7
34,"d","   April-June",41000,4900,12,13000,4000,10
34,"d","   July-September",49000,6500,13,2000,1200,2
34,"d","   October-December",45000,6500,14,800,450,1
34,"d","",,,,,,
34,"d","2017",,,,,,
34,"d","   January-March",40000,13500,34,8500,4200,11
34,"d","   April-June",35000,4200,12,12500,4400,13
34,"d","   July-September",43000,6000,14,2100,2200,5
34,"d","   October-December",39000,7000,18,960,1100,3
34,"c",""
34,"f","1/ Number of colonies on January 1, April 1, July 1, and October 1."
34,"f","2/ Percent lost is the number of lost colonies divided by the first of quarter number of colonies."
34,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
34,"f","4/ Percent renovated is the number of renovated colonies divided by the first of quarter number of colonies."
