7,"t","Honey Bee Colonies: Released August 1, 2018, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
7,"t","Number of Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: July 1, 2017 and July-September 2017"
7,"h","","","","","","","",""
7,"h","","July 1","July-September","July-September","July-September","July-September","July-September","July-September"
7,"h","State","","","","","","",""
7,"h","","number of","Maximum","Lost","Percent","Added","Renovated","Percent"
7,"h","","colonies","colonies 1/","colonies","lost 2/","colonies","colonies 3/","Renovated 4/"
7,"h","","","","","","","",""
7,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
7,"d","Alabama",7000,9500,900,9,690,530,6
7,"d","Arizona",26000,26000,4100,16,5000,3200,12
7,"d","Arkansas",29000,29000,6000,21,4400,410,1
7,"d","California",590000,670000,67000,10,73000,74000,11
7,"d","Colorado",35000,42000,4300,10,2900,6410,15
7,"d","Connecticut",3500,3500,130,4,50,20,1
7,"d","Florida",176000,180000,39000,22,39000,42000,23
7,"d","Georgia",121000,122000,15500,13,19000,23000,19
7,"d","Hawaii",15000,15000,1100,7,430,20,"(Z)"
7,"d","Idaho",89000,116000,12000,10,9000,16500,14
7,"d","",,,,,,,
7,"d","Illinois",13000,13000,1100,8,710,1200,9
7,"d","Indiana",13000,13000,930,7,420,740,6
7,"d","Iowa",40000,43000,2200,5,2100,4000,9
7,"d","Kansas",7000,7000,1700,24,1400,1000,14
7,"d","Kentucky",9000,9000,1600,18,450,700,8
7,"d","Louisiana",64000,64000,13500,21,14500,34000,53
7,"d","Maine",5500,6000,400,7,210,290,5
7,"d","Maryland",8500,8500,1600,19,1300,600,7
7,"d","Massachusetts",9000,9000,760,8,790,460,5
7,"d","Michigan",103000,109000,17500,16,4300,11500,11
7,"d","",,,,,,,
7,"d","Minnesota",136000,136000,20000,15,1900,2200,2
7,"d","Mississippi",24000,24000,2900,12,250,230,1
7,"d","Missouri",9000,9000,580,6,320,310,3
7,"d","Montana",154000,161000,18500,11,3100,23000,14
7,"d","Nebraska",46000,47000,3700,8,880,13500,29
7,"d","New Jersey",16000,16000,420,3,280,110,1
7,"d","New Mexico",8500,8500,2500,29,1800,200,2
7,"d","New York",59000,59000,6500,11,3100,9000,15
7,"d","North Carolina",26000,27000,3300,12,4100,2900,11
7,"d","North Dakota",470000,490000,48000,10,24000,100000,20
7,"d","",,,,,,,
7,"d","Ohio",23000,23000,1800,8,1100,1800,8
7,"d","Oklahoma",4400,4400,510,12,80,270,6
7,"d","Oregon",94000,101000,13500,13,7500,28000,28
7,"d","Pennsylvania",18500,18500,1500,8,6000,1600,9
7,"d","South Carolina",14500,14500,1700,12,640,440,3
7,"d","South Dakota",152000,159000,16500,10,6000,7500,5
7,"d","Tennessee",10000,10000,1700,17,800,960,10
7,"d","Texas",104000,115000,15000,13,21000,7500,7
7,"d","Utah",35000,35000,6500,19,5500,3200,9
7,"d","Vermont",7500,7500,180,2,520,270,4
7,"d","",,,,,,,
7,"d","Virginia",11500,11500,1200,10,430,430,4
7,"d","Washington",82000,92000,17000,18,5500,10500,11
7,"d","West Virginia",9000,9000,930,10,440,1900,21
7,"d","Wisconsin",74000,75000,12500,17,6000,9000,12
7,"d","Wyoming",35000,36000,5500,15,3100,3500,10
7,"d","",,,,,,,
7,"d","Other States 5/",8100,10000,1070,11,380,650,7
7,"d","",,,,,,,
7,"d","United States",2994500,"(X)",394810,13,284370,449550,15
7,"c",""
7,"f","(X)  Not applicable."
7,"f","(Z)  Less than half of the unit shown."
7,"f","1/ July 1 number of colonies plus all colonies moved into that state during the quarter."
7,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the July 1 number of colonies."
7,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
7,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the July 1 number of colonies."
7,"f","5/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations."
