name,sex,event,equipment,age,age_class,division,bodyweight_kg,weight_class_kg,best3squat_kg,best3bench_kg,best3deadlift_kg,place,date,federation,meet_name
Hiroyuki Isagawa,M,SBD,Single-ply,NA,NA,NA,67.5,67.5,205,140,225,1,1985-08-03,IPF,World Games
David Mannering,M,SBD,Single-ply,24,24-34,NA,67.5,67.5,225,132.5,235,2,1985-08-03,IPF,World Games
Eddy Pengelly,M,SBD,Single-ply,35.5,35-39,NA,67.5,67.5,245,157.5,270,3,1985-08-03,IPF,World Games
Nanda Talambanua,M,SBD,Single-ply,19.5,20-23,NA,67.5,67.5,195,110,240,4,1985-08-03,IPF,World Games
Göran Henrysson,M,SBD,Single-ply,NA,NA,NA,67.5,67.5,240,140,215,5,1985-08-03,IPF,World Games
PJ Joseph,M,SBD,Single-ply,NA,NA,NA,67.5,67.5,200,100,230,6,1985-08-03,IPF,World Games
Wilfried Dörner,M,SBD,Single-ply,32.5,24-34,NA,67.5,67.5,220,140,235,7,1985-08-03,IPF,World Games
Claudio Ardini,M,SBD,Single-ply,31.5,24-34,NA,90,90,295,215,335,1,1985-08-03,IPF,World Games
Eric Copping,M,SBD,Single-ply,NA,NA,NA,90,90,282.5,162.5,310,2,1985-08-03,IPF,World Games
Glen Waszkiel,M,SBD,Single-ply,NA,NA,NA,90,90,285,167.5,295,2,1985-08-03,IPF,World Games
Jarmo Virtanen,M,SBD,Single-ply,NA,NA,NA,90,90,295,175,315,3,1985-08-03,IPF,World Games
Mike Duffy,M,SBD,Single-ply,NA,NA,NA,90,90,285,185,290,4,1985-08-03,IPF,World Games
Tokiharu Maeda,M,SBD,Single-ply,40.5,40-44,NA,90,90,320,170,300,5,1985-08-03,IPF,World Games
Tony Stevens,M,SBD,Single-ply,NA,NA,NA,NA,90+,355,225,350,1,1985-08-03,IPF,World Games
Dave Caldwell,M,SBD,Single-ply,36.5,35-39,NA,NA,90+,350,212.5,300,2,1985-08-03,IPF,World Games
John Neighbour,M,SBD,Single-ply,31,24-34,NA,NA,90+,355,230,315,3,1985-08-03,IPF,World Games
Terry Young,M,SBD,Single-ply,30.5,24-34,NA,NA,90+,322.5,175,322.5,4,1985-08-03,IPF,World Games
Andrzej Stanaszek,M,B,Raw,21.5,20-23,NA,51,52,NA,157.5,NA,1,1993-12-12,IPF,World Bench Press Championships
Christian Klein,M,B,Single-ply,22.5,20-23,NA,51.6,52,NA,125,NA,2,1993-12-12,IPF,World Bench Press Championships
Štefan Koľšovský,M,B,Single-ply,31.5,24-34,NA,51.2,52,NA,115,NA,3,1993-12-12,IPF,World Bench Press Championships
Svein Walstad,M,B,Single-ply,25.5,24-34,NA,49.1,52,NA,102.5,NA,4,1993-12-12,IPF,World Bench Press Championships
Dušan Skirkanič,M,B,Single-ply,31.5,24-34,NA,51.9,52,NA,102.5,NA,5,1993-12-12,IPF,World Bench Press Championships
Serge Minquoy,M,B,Single-ply,49.5,45-49,NA,51,52,NA,97.5,NA,6,1993-12-12,IPF,World Bench Press Championships
Shinjun Oshiro,M,B,Single-ply,49.5,45-49,NA,51.3,52,NA,NA,NA,DQ,1993-12-12,IPF,World Bench Press Championships
Markus Schick,M,B,Single-ply,17,16-17,NA,54.5,56,NA,147.5,NA,1,1993-12-12,IPF,World Bench Press Championships
Syoichi Katase,M,B,Single-ply,23.5,24-34,NA,55.1,56,NA,147.5,NA,2,1993-12-12,IPF,World Bench Press Championships
Robert Allen,M,B,Single-ply,31.5,24-34,NA,54.7,56,NA,140,NA,3,1993-12-12,IPF,World Bench Press Championships
Kari Ylijoki,M,B,Single-ply,30.5,24-34,NA,53.8,56,NA,137.5,NA,4,1993-12-12,IPF,World Bench Press Championships
Chiu-Kuei Kuo,M,B,Single-ply,37.5,35-39,NA,55.7,56,NA,132.5,NA,5,1993-12-12,IPF,World Bench Press Championships
Sergiy Vatyuk,M,B,Single-ply,30.5,24-34,NA,56,56,NA,125,NA,6,1993-12-12,IPF,World Bench Press Championships
Czeslaw Kedziora,M,B,Single-ply,41.5,40-44,NA,55.8,56,NA,115,NA,7,1993-12-12,IPF,World Bench Press Championships
Istvan Magos,M,B,Single-ply,18.5,18-19,NA,54.3,56,NA,115,NA,8,1993-12-12,IPF,World Bench Press Championships
San-Lung Chen,M,B,Single-ply,33.5,24-34,NA,54.8,56,NA,115,NA,9,1993-12-12,IPF,World Bench Press Championships
Takeshi Shirakawa,M,B,Single-ply,44.5,40-44,NA,58.9,60,NA,157.5,NA,1,1993-12-12,IPF,World Bench Press Championships
James Lawrence,M,B,Single-ply,33.5,24-34,NA,59,60,NA,157.5,NA,2,1993-12-12,IPF,World Bench Press Championships
Valeriy Bogdanov,M,B,Single-ply,22.5,20-23,NA,59.7,60,NA,157.5,NA,3,1993-12-12,IPF,World Bench Press Championships
Vladimir Ryazanov,M,B,Single-ply,30.5,24-34,NA,59.6,60,NA,155,NA,4,1993-12-12,IPF,World Bench Press Championships
Marek Siedlecki,M,B,Single-ply,35.5,35-39,NA,59.8,60,NA,155,NA,5,1993-12-12,IPF,World Bench Press Championships
Matthias Fröhlich,M,B,Single-ply,32.5,24-34,NA,58.7,60,NA,152.5,NA,6,1993-12-12,IPF,World Bench Press Championships
Yung-Chang Lee,M,B,Single-ply,32.5,24-34,NA,59.6,60,NA,145,NA,7,1993-12-12,IPF,World Bench Press Championships
Ari Oksanen,M,B,Single-ply,28.5,24-34,NA,59.7,60,NA,142.5,NA,8,1993-12-12,IPF,World Bench Press Championships
Shinpei Miyashiro,M,B,Single-ply,50.5,50-54,NA,59.1,60,NA,135,NA,9,1993-12-12,IPF,World Bench Press Championships
Vilmar Oliveira,M,B,Single-ply,32,24-34,NA,57.9,60,NA,110,NA,10,1993-12-12,IPF,World Bench Press Championships
