Entity,Code,Year,Commodity Balances - Livestock and Fish Primary Equivalent - Pelagic Fish - 2763 - Production - 5510 - tonnes,Commodity Balances - Livestock and Fish Primary Equivalent - Crustaceans - 2765 - Production - 5510 - tonnes,Commodity Balances - Livestock and Fish Primary Equivalent - Cephalopods - 2766 - Production - 5510 - tonnes,Commodity Balances - Livestock and Fish Primary Equivalent - Demersal Fish - 2762 - Production - 5510 - tonnes,Commodity Balances - Livestock and Fish Primary Equivalent - Freshwater Fish - 2761 - Production - 5510 - tonnes,"Commodity Balances - Livestock and Fish Primary Equivalent - Molluscs, Other - 2767 - Production - 5510 - tonnes","Commodity Balances - Livestock and Fish Primary Equivalent - Marine Fish, Other - 2764 - Production - 5510 - tonnes"
Afghanistan,AFG,1961,,,,,300,,
Afghanistan,AFG,1962,,,,,300,,
Afghanistan,AFG,1963,,,,,300,,
Afghanistan,AFG,1964,,,,,300,,
Afghanistan,AFG,1965,,,,,300,,
Afghanistan,AFG,1966,,,,,300,,
Afghanistan,AFG,1967,,,,,400,,
Afghanistan,AFG,1968,,,,,400,,
Afghanistan,AFG,1969,,,,,460,,
Afghanistan,AFG,1970,,,,,460,,
Afghanistan,AFG,1971,,,,,560,,
Afghanistan,AFG,1972,,,,,560,,
Afghanistan,AFG,1973,,,,,560,,
Afghanistan,AFG,1974,,,,,560,,
Afghanistan,AFG,1975,,,,,660,,
Afghanistan,AFG,1976,,,,,770,,
Afghanistan,AFG,1977,,,,,770,,
Afghanistan,AFG,1978,,,,,770,,
Afghanistan,AFG,1979,,,,,770,,
Afghanistan,AFG,1980,,,,,870,,
Afghanistan,AFG,1981,,,,,870,,
Afghanistan,AFG,1982,,,,,870,,
Afghanistan,AFG,1983,,,,,970,,
Afghanistan,AFG,1984,,,,,970,,
Afghanistan,AFG,1985,,,,,970,,
Afghanistan,AFG,1986,,,,,970,,
Afghanistan,AFG,1987,,,,,1170,,
Afghanistan,AFG,1988,,,,,1170,,
Afghanistan,AFG,1989,,,,,1170,,
Afghanistan,AFG,1990,,,,,1400,,
Afghanistan,AFG,1991,,,,,1400,,
Afghanistan,AFG,1992,,,,,1500,,
Afghanistan,AFG,1993,,,,,1500,,
Afghanistan,AFG,1994,,,,,1600,,
Afghanistan,AFG,1995,,,,,1600,,
Afghanistan,AFG,1996,,,,,1600,,
Afghanistan,AFG,1997,,,,,1550,,
Afghanistan,AFG,1998,,,,,1500,,
Afghanistan,AFG,1999,,,,,1500,,
Afghanistan,AFG,2000,,,,,1300,,
Afghanistan,AFG,2001,,,,,1250,,
Afghanistan,AFG,2002,,,,,1350,,
Afghanistan,AFG,2003,,,,,1350,,
Afghanistan,AFG,2004,,,,,1450,,
Afghanistan,AFG,2005,,,,,1450,,
Afghanistan,AFG,2006,,,,,1450,,
Afghanistan,AFG,2007,,,,,2050,,
Afghanistan,AFG,2008,,,,,2050,,
Afghanistan,AFG,2009,,,,,2050,,
Afghanistan,AFG,2010,,,,,2050,,
Afghanistan,AFG,2011,,,,,2050,,
Afghanistan,AFG,2012,,,,,2050,,
Afghanistan,AFG,2013,,,,,2050,,
Africa,,1961,1377396,30700,3300,234075,532120,1700,157110
Africa,,1962,1446058,32800,3000,245821,570990,2100,201070
Africa,,1963,1547355,29500,3600,269567,612730,3300,180027
Africa,,1964,1763692,36200,3800,278615,673400,3900,202181
Africa,,1965,1788798,35100,4700,303363,690779,5100,180434
Africa,,1966,1916327,34800,4300,349413,734570,5004,220082
Africa,,1967,2242150,30600,3600,308895,769180,4110,223037
Africa,,1968,2599434,33500,5400,317777,827797,3916,240590
Africa,,1969,2553530,29700,9800,304061,870093,2922,228800
Africa,,1970,1929486,32849,6950,354083,968144,2917,208334
Africa,,1971,1923000,35568,6310,397951,991834,3320,226798
Africa,,1972,2203459,40313,6627,435963,995199,3643,276243
Africa,,1973,2352617,41167,9069,493182,1041126,3737,256044
Africa,,1974,2308131,47942,27854,454840,1050270,5246,270349
Africa,,1975,2045962,43503,28557,446713,1097265,5328,241342
Africa,,1976,1809754,46662,31534,492375,1117912,5033,174893
Africa,,1977,1642432,45309,33485,530071,1213039,7181,171027
Africa,,1978,1692398,47482,37102,574303,1160535,6070,153563
Africa,,1979,1624504,46208,22389,594367,1144164,9534,160441
Africa,,1980,1495231,51650,30364,536094,1190035,13698,198308
Africa,,1981,1631978,50668,50923,539407,1165141,11868,225777
Africa,,1982,1530332,52866,68855,558293,1224883,8366,218015
Africa,,1983,1747980,52948,110108,513019,1245074,9744,295690
Africa,,1984,1478217,55015,112497,564519,1327160,7277,297999
