Entity,Code,Year,Capture fisheries production (metric tons)
Afghanistan,AFG,1960,200
Afghanistan,AFG,1961,300
Afghanistan,AFG,1962,300
Afghanistan,AFG,1963,300
Afghanistan,AFG,1964,300
Afghanistan,AFG,1965,300
Afghanistan,AFG,1966,300
Afghanistan,AFG,1967,400
Afghanistan,AFG,1968,400
Afghanistan,AFG,1969,400
Afghanistan,AFG,1970,400
Afghanistan,AFG,1971,500
Afghanistan,AFG,1972,500
Afghanistan,AFG,1973,500
Afghanistan,AFG,1974,500
Afghanistan,AFG,1975,600
Afghanistan,AFG,1976,600
Afghanistan,AFG,1977,600
Afghanistan,AFG,1978,600
Afghanistan,AFG,1979,600
Afghanistan,AFG,1980,700
Afghanistan,AFG,1981,700
Afghanistan,AFG,1982,700
Afghanistan,AFG,1983,800
Afghanistan,AFG,1984,800
Afghanistan,AFG,1985,800
Afghanistan,AFG,1986,800
Afghanistan,AFG,1987,1000
Afghanistan,AFG,1988,1000
Afghanistan,AFG,1989,1000
Afghanistan,AFG,1990,1100
Afghanistan,AFG,1991,1100
Afghanistan,AFG,1992,1200
Afghanistan,AFG,1993,1200
Afghanistan,AFG,1994,1300
Afghanistan,AFG,1995,1300
Afghanistan,AFG,1996,1300
Afghanistan,AFG,1997,1250
Afghanistan,AFG,1998,1200
Afghanistan,AFG,1999,1200
Afghanistan,AFG,2000,1000
Afghanistan,AFG,2001,800
Afghanistan,AFG,2002,900
Afghanistan,AFG,2003,900
Afghanistan,AFG,2004,1000
Afghanistan,AFG,2005,1000
Afghanistan,AFG,2006,1000
Afghanistan,AFG,2007,1000
Afghanistan,AFG,2008,1000
Afghanistan,AFG,2009,1000
Afghanistan,AFG,2010,1000
Afghanistan,AFG,2011,1150
Afghanistan,AFG,2012,1300
Afghanistan,AFG,2013,1450
Afghanistan,AFG,2014,1600
Afghanistan,AFG,2015,1750
Afghanistan,AFG,2016,1900
Afghanistan,AFG,2017,2000
Afghanistan,AFG,2018,2050
Africa Eastern and Southern,,1960,1485740
Africa Eastern and Southern,,1961,1632169
Africa Eastern and Southern,,1962,1735664
Africa Eastern and Southern,,1963,1848486
Africa Eastern and Southern,,1964,2164132
Africa Eastern and Southern,,1965,2174850
Africa Eastern and Southern,,1966,2275269
Africa Eastern and Southern,,1967,2633940
Africa Eastern and Southern,,1968,3159759
Africa Eastern and Southern,,1969,3078461
Africa Eastern and Southern,,1970,2483310
Africa Eastern and Southern,,1971,2361343
Africa Eastern and Southern,,1972,2629211
Africa Eastern and Southern,,1973,2784031
Africa Eastern and Southern,,1974,2735580
Africa Eastern and Southern,,1975,2487936
Africa Eastern and Southern,,1976,2204942
Africa Eastern and Southern,,1977,2161409
Africa Eastern and Southern,,1978,2124728
Africa Eastern and Southern,,1979,2022710
Africa Eastern and Southern,,1980,1877374
Africa Eastern and Southern,,1981,1935167
Africa Eastern and Southern,,1982,1947033
Africa Eastern and Southern,,1983,2056780
Africa Eastern and Southern,,1984,1970145
Africa Eastern and Southern,,1985,2026207
Africa Eastern and Southern,,1986,2107686
Africa Eastern and Southern,,1987,2873441
Africa Eastern and Southern,,1988,2835836.3125
Africa Eastern and Southern,,1989,2396259.03125
Africa Eastern and Southern,,1990,2446784.1875
Africa Eastern and Southern,,1991,2217643.75
Africa Eastern and Southern,,1992,2929005.3125
Africa Eastern and Southern,,1993,2989707.34375
Africa Eastern and Southern,,1994,2736549.0625
Africa Eastern and Southern,,1995,2732716.75
Africa Eastern and Southern,,1996,2472751.13125
Africa Eastern and Southern,,1997,2658550.84375
Africa Eastern and Southern,,1998,2809141.38439941
Africa Eastern and Southern,,1999,2923595.94042969
Africa Eastern and Southern,,2000,3167627.90625
Africa Eastern and Southern,,2001,3224259.578125
Africa Eastern and Southern,,2002,3312222.828125
Africa Eastern and Southern,,2003,3416786.25
Africa Eastern and Southern,,2004,3607347.265625
Africa Eastern and Southern,,2005,3569886.5
Africa Eastern and Southern,,2006,3324574.5
Africa Eastern and Southern,,2007,3438811.5
Africa Eastern and Southern,,2008,3296608.5
Africa Eastern and Southern,,2009,3209702
Africa Eastern and Southern,,2010,3471017
Africa Eastern and Southern,,2011,3495980
Africa Eastern and Southern,,2012,3816873
Africa Eastern and Southern,,2013,3686125
Africa Eastern and Southern,,2014,3914931
Africa Eastern and Southern,,2015,4017684.25
Africa Eastern and Southern,,2016,4169121
Africa Eastern and Southern,,2017,4192887
Africa Eastern and Southern,,2018,4115035
Africa Western and Central,,1960,488505
Africa Western and Central,,1961,513837
Africa Western and Central,,1962,560769
Africa Western and Central,,1963,582503
Africa Western and Central,,1964,646740
Africa Western and Central,,1965,680876
Africa Western and Central,,1966,740412
Africa Western and Central,,1967,790821
Africa Western and Central,,1968,782152
Africa Western and Central,,1969,850772
Africa Western and Central,,1970,961442
Africa Western and Central,,1971,1133279
Africa Western and Central,,1972,1201189
Africa Western and Central,,1973,1197244
Africa Western and Central,,1974,1237129
Africa Western and Central,,1975,1275029
Africa Western and Central,,1976,1262313
Africa Western and Central,,1977,1294795
Africa Western and Central,,1978,1307225
Africa Western and Central,,1979,1296502
Africa Western and Central,,1980,1276821
Africa Western and Central,,1981,1313217
Africa Western and Central,,1982,1303150
Africa Western and Central,,1983,1367361
Africa Western and Central,,1984,1339388
Africa Western and Central,,1985,1357186
Africa Western and Central,,1986,1475547
Africa Western and Central,,1987,1551202
Africa Western and Central,,1988,1524068
Africa Western and Central,,1989,1604224
Africa Western and Central,,1990,1682408.04003906
Africa Western and Central,,1991,1596435.10009766
Africa Western and Central,,1992,1767671
Africa Western and Central,,1993,1672261
Africa Western and Central,,1994,1637856
Africa Western and Central,,1995,1862651
Africa Western and Central,,1996,2067303
Africa Western and Central,,1997,2114588
Africa Western and Central,,1998,2144828
Africa Western and Central,,1999,2253588
Africa Western and Central,,2000,2247133
Africa Western and Central,,2001,2290269
Africa Western and Central,,2002,2231496
Africa Western and Central,,2003,2433204
Africa Western and Central,,2004,2501277
Africa Western and Central,,2005,2537499
Africa Western and Central,,2006,2391540
Africa Western and Central,,2007,2383542
Africa Western and Central,,2008,2554257
Africa Western and Central,,2009,2637165
Africa Western and Central,,2010,2732985
Africa Western and Central,,2011,2980555
Africa Western and Central,,2012,3121053
Africa Western and Central,,2013,3180280
Africa Western and Central,,2014,3179511
