Entity,Code,Year,Artisanal (small-scale commercial),Discards,Industrial (large-scale commercial),Recreational,Subsistence
World,OWID_WRL,1950,7526795,5874170,14566338,268260,2677833
World,OWID_WRL,1951,8278304,6278225,15417937,284319,2704471
World,OWID_WRL,1952,8272109,7230311,16463942,293558,2728141
World,OWID_WRL,1953,8469284,7172937,17163789,292070,2753098
World,OWID_WRL,1954,9226926,8012930,18340199,304398,2895153
World,OWID_WRL,1955,9545554,8340179,18728089,313420,3012167
World,OWID_WRL,1956,10303408,8692551,19902604,319333,3058523
World,OWID_WRL,1957,10425695,8998732,20030089,339291,3112506
World,OWID_WRL,1958,10172920,9255992,20520801,353633,3187292
World,OWID_WRL,1959,10385711,9908003,23422702,355360,3296620
World,OWID_WRL,1960,10703245,10896146,25853941,360842,3479410
World,OWID_WRL,1961,10846177,11712961,30521101,364629,3532629
World,OWID_WRL,1962,11015370,11485645,33658918,383464,3692738
World,OWID_WRL,1963,11005246,12332187,36093501,392172,3826997
World,OWID_WRL,1964,11303832,12931938,41475194,394958,3870677
World,OWID_WRL,1965,11653978,13595692,40475260,405857,3873765
World,OWID_WRL,1966,12084658,13355898,44826863,432286,3877243
World,OWID_WRL,1967,12386026,13549800,49828456,440399,3903718
World,OWID_WRL,1968,12303383,13871018,55617156,460158,3916270
World,OWID_WRL,1969,12211407,12761884,52626777,445673,3889378
World,OWID_WRL,1970,12365128,12754841,58881353,480642,3937638
World,OWID_WRL,1971,12398298,12685805,58293316,508341,3976718
World,OWID_WRL,1972,12753562,12357980,51789011,522985,3983958
World,OWID_WRL,1973,13688372,12031176,51308375,548785,3957258
World,OWID_WRL,1974,13309012,11416434,56720856,583018,3866687
World,OWID_WRL,1975,13432664,11313080,55854975,594247,3808464
World,OWID_WRL,1976,13761132,11095856,59084000,632334,3911536
World,OWID_WRL,1977,13892726,10889729,59241222,653480,4062986
World,OWID_WRL,1978,14360786,10872136,62623483,689377,4029281
World,OWID_WRL,1979,14616134,10707877,60252600,723286,3985743
World,OWID_WRL,1980,14688464,10500231,60489781,762688,3918334
World,OWID_WRL,1981,15279447,10984462,62459956,761247,3986858
World,OWID_WRL,1982,15220824,12497442,67545097,820815,4080200
World,OWID_WRL,1983,15300068,12388473,65689361,849021,4200135
World,OWID_WRL,1984,16074619,13926837,70609012,789467,4138484
World,OWID_WRL,1985,16380243,14706334,73506569,810942,4173602
World,OWID_WRL,1986,16227297,15091641,78606140,848975,4226487
World,OWID_WRL,1987,17449809,15669889,79755589,778434,4216780
World,OWID_WRL,1988,17418253,16079227,83223979,774315,4100400
World,OWID_WRL,1989,17620239,16962727,84135075,763732,4103211
World,OWID_WRL,1990,17734811,16698879,80593708,733903,4075507
World,OWID_WRL,1991,17773521,16441591,79511569,753923,4099117
World,OWID_WRL,1992,18417117,15717869,81793283,744304,4108368
World,OWID_WRL,1993,18031035,15118768,82746056,747610,4072844
World,OWID_WRL,1994,18723265,14457538,88495889,754426,4139764
World,OWID_WRL,1995,19665232,14406022,87743321,752382,4124233
World,OWID_WRL,1996,20787945,14689195,90068159,748967,4081801
World,OWID_WRL,1997,20401848,14321828,88205198,774972,4044958
World,OWID_WRL,1998,20332081,13154260,79574228,744742,4025919
World,OWID_WRL,1999,20588769,12426124,84833508,731511,4057334
World,OWID_WRL,2000,19735866,11986132,87493439,765919,4094731
World,OWID_WRL,2001,20046446,11506452,84201719,769491,3955601
World,OWID_WRL,2002,19742034,10791660,84367375,758863,3879482
World,OWID_WRL,2003,20568530,10782853,80954017,771767,3865552
World,OWID_WRL,2004,21076208,10387939,85760977,771531,3808617
World,OWID_WRL,2005,20966689,10014530,83779026,745431,3718690
World,OWID_WRL,2006,21417851,9530758,78480816,790270,3792749
World,OWID_WRL,2007,21097388,9725492,78861788,804477,3623797
World,OWID_WRL,2008,21111836,9568906,76840638,826843,3629819
World,OWID_WRL,2009,21828623,9369530,75728150,805632,3630156
World,OWID_WRL,2010,21586606,9638888,73326274,808357,3627383
