gutenberg_id,title,gutenberg_author_id
46,A Christmas Carol in Prose; Being a Ghost Story of Christmas,37
1902,The Old Peabody Pew: A Christmas Romance of a Country Church,266
2731,The Christmas Books of Mr. M.A. Titmarsh,313
4384,The Lost Word: A Christmas Legend of Long Ago,362
8694,"The Abbot's Ghost, or Maurice Treherne's Temptation: A Christmas Story",102
10707,A Christmas Mystery: The Story of Three Wise Men,1324
10813,A Versailles Christmas-Tide,3695
12881,Mrs. Budlong's Christmas Presents,2334
14534,Christmas with Grandma Elsie,2044
14606,And Thus He Came: A Christmas Fantasy,5591
14835,The Burglar and the Blizzard: A Christmas Story,3939
15552,Christmas Outside of Eden,2497
15709,The Christmas Angel,5282
15826,Uncle Noah's Christmas Inspiration,6328
16134,The First Christmas Tree: A Story of the Forest,362
16454,The Upas Tree: A Christmas Story for all the Year,1253
17006,Two Christmas Celebrations,7088
17456,The Romance of a Christmas Card,266
17510,When the Yule Log Burns: A Christmas Story,6328
17743,Rosemary: A Christmas story,3522
17743,Rosemary: A Christmas story,3796
17937,The Thin Santa Claus: The Chicken Yard That Was a Christmas Stocking,585
18770,"A Christmas Story
Man in His Element: or, A New Way to Keep House",8241
19337,A Christmas Carol,37
19384,On Christmas Day In The Evening,2216
20018,"Evenings at Donaldson Manor; Or, The Christmas Guest",9034
20180,Mr. Kris Kringle: A Christmas Tale,357
20210,Shakespeare's Christmas Gift to Queen Bess,9154
20251,"Christmas Comes but Once a Year
Showing What Mr. Brown Did, Thought, and Intended to Do, During That Festive Season.",9186
20453,The Christmas Child,2440
20516,Christmas: A Story,3531
22665,"Christian Gellert's Last Christmas
From ""German Tales"" Published by the American Publishers' Corporation",8194
22696,Colonel Crockett's Co-operative Christmas,2334
23569,"Christmas Holidays at Merryvale
The Merryvale Boys",7166
32455,Christmas Eve and Christmas Day: Ten Christmas stories,650
37547,The Fairies and the Christmas Child,38912
38983,"The Camp Fire Girls Solve a Mystery; Or, The Christmas Adventure at Carver House",2241
42919,Angel Unawares: A Story of Christmas Eve,3522
42919,Angel Unawares: A Story of Christmas Eve,3796
42923,The Doctor's Christmas Eve,869
44796,The Prodigal Village: A Christmas Tale,4001
52935,Mr. Blake's Walking-Stick: A Christmas Story for Boys and Girls,3293
