state,race,type,all_workers_n,artists_n,artists_share,location_quotient
Alabama,Hispanic,Architects,88165,45,5.104066239437419e-4,0.875351830553428
Alaska,Hispanic,Architects,26875,15,5.581395348837209e-4,0.957214190892936
Arizona,Hispanic,Architects,1033370,270,2.612810513175339e-4,0.44809929148751937
Arkansas,Hispanic,Architects,101405,NA,NA,NA
California,Hispanic,Architects,7470730,3870,5.180216658880726e-4,0.8884116941856948
Colorado,Hispanic,Architects,594525,200,3.3640301080694674e-4,0.5769341099813051
Connecticut,Hispanic,Architects,288845,150,5.193096643528536e-4,0.8906206228339648
Delaware,Hispanic,Architects,41365,0,NA,NA
District of Columbia,Hispanic,Architects,44885,185,0.00412164420184917,7.068655906347059
Florida,Hispanic,Architects,2752995,2900,0.0010533982081333238,1.8065871533298148
Georgia,Hispanic,Architects,467240,370,7.918842564848899e-4,1.358088435734902
Hawaii,Hispanic,Architects,69470,40,5.75788109975529e-4,0.9874816517536648
Idaho,Hispanic,Architects,101285,0,NA,NA
Illinois,Hispanic,Architects,1100445,700,6.361063024503724e-4,1.0909278801559588
Indiana,Hispanic,Architects,212120,75,3.535734489911371e-4,0.6063815618576197
Iowa,Hispanic,Architects,90730,NA,NA,NA
Kansas,Hispanic,Architects,167495,25,1.492581868115466e-4,0.2559790976869723
Kentucky,Hispanic,Architects,76325,NA,NA,NA
Louisiana,Hispanic,Architects,113925,65,5.705508009655475e-4,0.978499620929616
Maine,Hispanic,Architects,10935,NA,NA,NA
Maryland,Hispanic,Architects,321570,205,6.374972789750287e-4,1.0933134170788672
Massachusetts,Hispanic,Architects,401715,375,9.334976289160226e-4,1.600956609800957
Michigan,Hispanic,Architects,236520,105,4.439370877727042e-4,0.7613559938344899
Minnesota,Hispanic,Architects,149745,75,5.008514474606832e-4,0.8589646191942187
Mississippi,Hispanic,Architects,38780,0,NA,NA
Missouri,Hispanic,Architects,121550,75,6.170300287947347e-4,1.0582119037535027
Montana,Hispanic,Architects,19215,NA,NA,NA
Nebraska,Hispanic,Architects,99485,0,NA,NA
Nevada,Hispanic,Architects,430565,NA,NA,NA
New Hampshire,Hispanic,Architects,25860,NA,NA,NA
New Jersey,Hispanic,Architects,928940,735,7.912244063125714e-4,1.3569567869099568
New Mexico,Hispanic,Architects,459615,130,2.82845424975251e-4,0.4850823811860209
New York,Hispanic,Architects,1819490,1830,0.0010057763439205493,1.7249152391000857
North Carolina,Hispanic,Architects,451040,70,1.551968783256474e-4,0.26616400564877263
North Dakota,Hispanic,Architects,14510,0,NA,NA
Ohio,Hispanic,Architects,204545,225,0.0011000024444498763,1.8865138268044432
Oklahoma,Hispanic,Architects,187725,110,5.859635104541217e-4,1.00493255269756
Oregon,Hispanic,Architects,266060,85,3.194768097421634e-4,0.5479055269039692
Pennsylvania,Hispanic,Architects,423215,185,4.37130063915504e-4,0.7496818882988262
Rhode Island,Hispanic,Architects,78695,NA,NA,NA
