location,exported,imported,total,inUS
Texas,635,NA,566,TRUE
Alabama,268,2,1428,TRUE
North Carolina,158,14,2627,TRUE
South Carolina,139,12,1618,TRUE
Georgia,137,19,3479,TRUE
Puerto Rico,131,NA,NA,FALSE
California,130,3,1664,TRUE
South Korea,76,NA,NA,FALSE
Tennessee,66,20,1769,TRUE
Kentucky,57,4,1123,TRUE
Mississippi,55,NA,510,TRUE
Mexico,54,NA,NA,FALSE
Louisiana,53,NA,912,TRUE
West Virginia,50,NA,565,TRUE
Florida,49,32,2659,TRUE
Arkansas,47,1,695,TRUE
China,28,NA,NA,FALSE
New Mexico,27,NA,636,TRUE
Thailand,20,NA,NA,FALSE
Virginia,20,183,3058,TRUE
India,18,NA,NA,FALSE
Taiwan,18,NA,NA,FALSE
New York,17,390,4002,TRUE
Egypt,15,NA,NA,FALSE
Arizona,14,14,2248,TRUE
Bahamas,13,NA,NA,FALSE
Indiana,10,20,1877,TRUE
Missouri,9,4,920,TRUE
Ohio,9,33,2670,TRUE
Oklahoma,9,5,1636,TRUE
Pennsylvania,9,228,2821,TRUE
Spain,8,NA,NA,FALSE
Haiti,7,NA,NA,FALSE
New Jersey,7,270,3022,TRUE
Oman,7,NA,NA,FALSE
Illinois,6,8,1114,TRUE
Kuwait,5,NA,NA,FALSE
Maryland,4,123,1493,TRUE
Nebraska,4,NA,120,TRUE
Qatar,4,NA,NA,FALSE
Utah,4,56,485,TRUE
Connecticut,3,51,1422,TRUE
Costa Rica,3,NA,NA,FALSE
Greece,3,NA,NA,FALSE
Idaho,3,NA,49,TRUE
Kansas,3,1,470,TRUE
Russia,3,NA,NA,FALSE
Wisconsin,3,74,542,TRUE
Afghanistan,2,NA,NA,FALSE
Colorado,2,71,1773,TRUE
England,2,NA,NA,FALSE
Hawaii,2,NA,69,TRUE
Iowa,2,14,485,TRUE
Massachusetts,2,77,946,TRUE
North Dakota,2,NA,64,TRUE
South Dakota,2,NA,24,TRUE
Washington,2,334,1277,TRUE
Aruba,1,NA,NA,FALSE
Azerbaijan,1,NA,NA,FALSE
Bahrain,1,NA,NA,FALSE
Bosnia,1,NA,NA,FALSE
British Virgin Islands,1,NA,NA,FALSE
Canada,1,NA,NA,FALSE
Cayman Islands,1,NA,NA,FALSE
Finland,1,NA,NA,FALSE
Honduras,1,NA,NA,FALSE
Indianapolis,1,NA,NA,FALSE
Iran,1,NA,NA,FALSE
Ireland,1,NA,NA,FALSE
Maine,1,87,545,TRUE
Nevada,1,10,857,TRUE
Nevis,1,NA,NA,FALSE
Oregon,1,16,91,TRUE
Saudi Arabia,1,NA,NA,FALSE
St. Croix,1,NA,NA,FALSE
St. Maarten,1,NA,NA,FALSE
St. Simon,1,NA,NA,FALSE
St. Thomas,1,NA,NA,FALSE
Turkey,1,NA,NA,FALSE
United Arab Emirates,1,NA,NA,FALSE
Wyoming,1,NA,52,TRUE
Rhode Island,NA,87,607,TRUE
Minnesota,NA,67,958,TRUE
Vermont,NA,45,510,TRUE
New Hampshire,NA,33,335,TRUE
Delaware,NA,29,296,TRUE
Michigan,NA,12,673,TRUE
Washington DC,NA,11,336,TRUE
Montana,NA,NA,18,TRUE
Alaska,NA,NA,15,TRUE
