vegetable,variety,brand,eggplant_item_number,price,price_with_tax
beans,Bush Bush Slender,Renee's Garden,2156,2.79,3.0097125000000005
beans,Chinese Red Noodle,Baker Creek,2138,3,3.23625
beans,Classic Slenderette,Renee's Garden,2157,2.99,3.2254625000000003
beets,Gourmet Golden,Renee's Garden,1018,3.19,3.4412125000000002
beets,Sweet Merlin,Renee's Garden,2114,2.99,3.2254625000000003
broccoli,Yod Fah,Baker Creek,37097,3,3.23625
broccoli,Main Crop Bravado,Renee's Garden,7163,3.19,3.4412125000000002
brussels sprouts,Long Island,Seed Savers,3296,3.25,3.5059375000000004
carrots,Bolero,Renee's Garden,2160,2.99,3.2254625000000003
carrots,Dragon,Seed Savers,1581,3.25,3.5059375000000004
carrots,King Midas,Renee's Garden,2337,2.79,3.0097125000000005
corn,Golden Bantam,Seed Savers,1364,3.25,3.5059375000000004
corn,Dorinny Sweet,Baker Creek,6134,3.5,3.7756250000000002
cucumbers,pickling,Renee's Garden,2169,2.79,3.0097125000000005
edamame,edamame,Renee's Garden,1012,3.19,3.4412125000000002
kale,Heirloom Lacinto,Renee's Garden,1058,2.79,3.0097125000000005
kohlrabi,Crispy Colors Duo,Renee's Garden,1059,3.29,3.5490875
lettuce,Farmer's Market Blend,Renee's Garden,1067,2.79,3.0097125000000005
lettuce,Tatsoi,Seed Savers,3334,3.25,3.5059375000000004
nasturtium,Alaska Mix,Renee's Garden,1080,2.79,3.0097125000000005
onions,Long Keeping Rainbow,Renee's Garden,6599,3.29,3.5490875
onions,Delicious Duo,Renee's Garden,2185,2.99,3.2254625000000003
peas,Magnolia Blossom,Renee's Garden,6601,2.99,3.2254625000000003
peas,Super Sugar Snap,Renee's Garden,1090,2.79,3.0097125000000005
pumpkins,Big Max,Baker Creek,7396,3,3.23625
pumpkins,Cinderella's Carraige,Renee's Garden,2193,2.99,3.2254625000000003
pumpkins,New England Sugar,Baker Creek,6244,2.5,2.6968750000000004
radish,Garden Party Mix,Renee's Garden,2083,2.99,3.2254625000000003
rutabaga,Improved Helenor,Renee's Garden,6604,2.99,3.2254625000000003
spinach,Catalina,Renee's Garden,1102,2.99,3.2254625000000003
squash,Red Kuri,Baker Creek,1106,3.5,3.7756250000000002
squash,Waltham Butternut,Seed Savers,1421,3.25,3.5059375000000004
sunflower,Autumn Beauty,Baker Creek,37067,2.5,2.6968750000000004
sunflower,Giant Titan,Renee's Garden,1111,2.99,3.2254625000000003
swiss chard,Neon Glow,Renee's Garden,1037,2.99,3.2254625000000003
watermelon,Doll Babies,Renee's Garden,5224,3.99,4.3042125
zucchini,Romanesco,Renee's Garden,2204,2.99,3.2254625000000003
dirt,Seed Starter,NA,3980,11.99,12.934212500000001
cilantro,cilantro,Seed Savers,NA,3.25,3.5059375000000004
dill,Grandma Einck's,Seed Savers,NA,3.25,3.5059375000000004
basil,Isle of Naxos,Seed Savers,NA,3.25,3.5059375000000004
enriched topsoil,1yd,Kern,NA,50,53.93750000000001
raised garden blend,1yd,Kern,NA,78,84.14250000000001
tomatoes,Mortgage Lifter,farmer's market,NA,3.0901393652853746,3.333487840301598
tomatoes,Old German,farmer's market,NA,1.544998068752414,1.6666666666666667
tomatoes,Better Boy,farmer's market,NA,3.089996137504828,3.3333333333333335
tomatoes,Amish Paste,farmer's market,NA,3.089996137504828,3.3333333333333335
tomatoes,Cherokee Purple,farmer's market,NA,1.544998068752414,1.6666666666666667
tomatoes,Brandywine,farmer's market,NA,1.544998068752414,1.6666666666666667
tomatoes,Bonny Best,farmer's market,NA,1.544998068752414,1.6666666666666667
tomatoes,Big Beef,farmer's market,NA,1.544998068752414,1.6666666666666667
tomatoes,Black Krim,farmer's market,NA,1.544998068752414,1.6666666666666667
tomatoes,Jet Star,farmer's market,NA,1.544998068752414,1.6666666666666667
tomatoes,grape,farmer's market,NA,1.544998068752414,1.6666666666666667
lettuce,Lettuce Mixture,Seed Savers,NA,3.25,3.5059375000000004
jalapeño,giant,farmer's market,NA,1.544998068752414,1.6666666666666667
jalapeño,giant,farmer's market,NA,1.544998068752414,1.6666666666666667
jalapeño,giant,farmer's market,NA,1.544998068752414,1.6666666666666667
peppers,green,Naomi,NA,0,0
peppers,variety,Naomi,NA,0,0
hot peppers,variety,Adrienne,NA,0,0
peppers,thai,farmer's market,NA,1.544998068752414,1.6666666666666667
potatoes,purple,mine,NA,0,0
potatoes,yellow,leftover,NA,0,0
potatoes,red,leftover,NA,0,0
