vegetable,variety,date,weight,units
lettuce,reseed,2020-06-06,20,grams
radish,Garden Party Mix,2020-06-06,36,grams
lettuce,reseed,2020-06-08,15,grams
lettuce,reseed,2020-06-09,10,grams
radish,Garden Party Mix,2020-06-11,67,grams
lettuce,Farmer's Market Blend,2020-06-11,12,grams
spinach,Catalina,2020-06-11,9,grams
beets,leaves,2020-06-11,8,grams
radish,Garden Party Mix,2020-06-13,53,grams
lettuce,Farmer's Market Blend,2020-06-13,19,grams
spinach,Catalina,2020-06-13,14,grams
kale,Heirloom Lacinto,2020-06-13,10,grams
lettuce,Farmer's Market Blend,2020-06-17,48,grams
spinach,Catalina,2020-06-17,58,grams
peas,Magnolia Blossom,2020-06-17,8,grams
peas,Super Sugar Snap,2020-06-17,121,grams
chives,perrenial,2020-06-17,8,grams
strawberries,perrenial,2020-06-18,40,grams
lettuce,Farmer's Market Blend,2020-06-18,47,grams
spinach,Catalina,2020-06-18,59,grams
beets,leaves,2020-06-18,25,grams
spinach,Catalina,2020-06-19,58,grams
lettuce,Farmer's Market Blend,2020-06-19,39,grams
beets,leaves,2020-06-19,11,grams
lettuce,Farmer's Market Blend,2020-06-19,38,grams
lettuce,Farmer's Market Blend,2020-06-20,22,grams
spinach,Catalina,2020-06-20,25,grams
lettuce,Tatsoi,2020-06-20,18,grams
radish,Garden Party Mix,2020-06-20,16,grams
peas,Magnolia Blossom,2020-06-20,71,grams
peas,Super Sugar Snap,2020-06-20,148,grams
asparagus,asparagus,2020-06-20,20,grams
radish,Garden Party Mix,2020-06-21,37,grams
Swiss chard,Neon Glow,2020-06-21,19,grams
spinach,Catalina,2020-06-21,71,grams
lettuce,Farmer's Market Blend,2020-06-21,95,grams
spinach,Catalina,2020-06-21,51,grams
Swiss chard,Neon Glow,2020-06-21,13,grams
beets,leaves,2020-06-21,57,grams
kale,Heirloom Lacinto,2020-06-21,60,grams
spinach,Catalina,2020-06-22,37,grams
lettuce,Farmer's Market Blend,2020-06-22,52,grams
peas,Super Sugar Snap,2020-06-22,40,grams
peas,Magnolia Blossom,2020-06-22,19,grams
strawberries,perrenial,2020-06-22,19,grams
lettuce,Farmer's Market Blend,2020-06-22,18,grams
peas,Magnolia Blossom,2020-06-23,40,grams
peas,Super Sugar Snap,2020-06-23,165,grams
spinach,Catalina,2020-06-23,41,grams
cilantro,cilantro,2020-06-23,2,grams
basil,Isle of Naxos,2020-06-23,5,grams
peas,Super Sugar Snap,2020-06-24,34,grams
lettuce,Farmer's Market Blend,2020-06-24,122,grams
spinach,Catalina,2020-06-25,22,grams
lettuce,Farmer's Market Blend,2020-06-25,30,grams
