vegetable,variety,brand,price,price_with_tax
cabbage,early jersey wakefield,Seed Savers,2.99,3.2254625000000003
kale,heirloom lacinto,Renee's Garden,2.79,3.0097125000000005
basil,emily,Baker Creek,3,3.23625
basil,genovese,Seed Savers,3.25,3.5059375000000004
swiss chard,neon glow,Renee's Garden,2.99,3.2254625000000003
lettuce,romaine jericho,Renee's Garden,3.79,4.0884625
onion,red wethersfield,Seed Savers,3.25,3.5059375000000004
carrots,bolero nantes,Renee's Garden,2.99,3.2254625000000003
carrots,starica,Renee's Garden,3.99,4.3042125
beets,gourmet golden,Renee's Garden,3.19,3.4412125000000002
oregano,common,Botanical Interests,2.29,2.4703375000000003
rosemary,common,Seed Savers,3.25,3.5059375000000004
spearmint,common,Seed Savers,3.25,3.5059375000000004
potting soil,NA,NA,10,10.787500000000001
straw,NA,NA,20,21.575000000000003
dill,Boquet,NA,3,3.23625
spinach,Red Malabar,NA,3,3.23625
lettuce,Lettuce Mixture,NA,3,3.23625
