vegetable,variety,date,weight,units
asparagus,perennial,2021-05-10,32,grams
lettuce,volunteer,2021-05-10,19,grams
lettuce,volunteer,2021-05-19,91,grams
lettuce,volunteer,2021-05-19,125,grams
lettuce,volunteer,2021-05-20,79,grams
lettuce,volunteer,2021-05-20,74,grams
lettuce,volunteer,2021-05-21,18,grams
lettuce,volunteer,2021-05-21,65,grams
lettuce,volunteer,2021-05-22,61,grams
lettuce,volunteer,2021-05-23,82,grams
lettuce,volunteer,2021-05-24,77,grams
asparagus,perennial,2021-05-24,15,grams
basil,Emily,2021-05-24,11,grams
lettuce,volunteer,2021-05-25,48,grams
basil,Emily,2021-05-26,4,grams
lettuce,volunteer,2021-05-26,78,grams
lettuce,volunteer,2021-05-28,60,grams
lettuce,volunteer,2021-05-29,64,grams
asparagus,perennial,2021-05-30,5,grams
lettuce,volunteer,2021-05-30,15,grams
lettuce,volunteer,2021-05-31,131,grams
lettuce,volunteer,2021-06-02,40,grams
strawberries,perennial,2021-06-02,26,grams
lettuce,volunteer,2021-06-02,86,grams
strawberries,perennial,2021-06-03,26,grams
lettuce,volunteer,2021-06-03,41,grams
strawberries,perennial,2021-06-03,17,grams
lettuce,volunteer,2021-06-04,80,grams
lettuce,volunteer,2021-06-04,40,grams
strawberries,perennial,2021-06-05,18,grams
lettuce,volunteer,2021-06-05,54,grams
peas,Magnolia Blossom,2021-06-05,32,grams
strawberries,perennial,2021-06-06,48,grams
peas,Magnolia Blossom,2021-06-06,12,grams
lettuce,volunteer,2021-06-06,87,grams
lettuce,volunteer,2021-06-06,7,grams
basil,Emily,2021-06-06,6,grams
lettuce,volunteer,2021-06-07,68,grams
lettuce,volunteer,2021-06-07,11,grams
strawberries,perennial,2021-06-08,28,grams
peas,Magnolia Blossom,2021-06-08,40,grams
lettuce,volunteer,2021-06-08,103,grams
lettuce,volunteer,2021-06-08,15,grams
basil,Emily,2021-06-08,15,grams
garlic,scapes,2021-06-09,109,grams
lettuce,volunteer,2021-06-09,64,grams
lettuce,volunteer,2021-06-09,16,grams
strawberries,perennial,2021-06-10,61,grams
strawberries,perennial,2021-06-11,26,grams
peas,Magnolia Blossom,2021-06-11,115,grams
basil,Emily,2021-06-11,40,grams
strawberries,perennial,2021-06-12,99,grams
peas,Magnolia Blossom,2021-06-12,17,grams
lettuce,volunteer,2021-06-12,136,grams
lettuce,volunteer,2021-06-13,186,grams
strawberries,perennial,2021-06-14,88,grams
strawberries,perennial,2021-06-16,62,grams
peas,Magnolia Blossom,2021-06-16,87,grams
lettuce,volunteer,2021-06-16,150,grams
basil,Emily,2021-06-17,28,grams
asparagus,perennial,2021-06-17,28,grams
peas,Magnolia Blossom,2021-06-17,16,grams
lettuce,volunteer,2021-06-17,75,grams
strawberries,perennial,2021-06-22,29,grams
lettuce,volunteer,2021-06-23,42,grams
lettuce,volunteer,2021-06-24,59,grams
strawberries,perennial,2021-06-25,20,grams
raspberries,perennial,2021-06-25,72,grams
basil,Emily,2021-06-25,21,grams
spinach,Catalina,2021-06-25,31,grams
peas,Magnolia Blossom,2021-06-25,91,grams
peas,Super Sugar Snap,2021-06-25,226,grams
basil,Emily,2021-06-25,104,grams
peppers,Banana,2021-06-26,29,grams
lettuce,volunteer,2021-06-26,60,grams
peas,Magnolia Blossom,2021-06-27,27,grams
peas,Super Sugar Snap,2021-06-27,14,grams
raspberries,perennial,2021-06-29,163,grams
raspberries,perennial,2021-06-30,160,grams
raspberries,perennial,2021-07-01,254,grams
lettuce,mizuna,2021-07-01,7,grams
lettuce,volunteer,2021-07-01,31,grams
peppers,Banana,2021-07-01,17,grams
radish,Garden Party,2021-07-01,92,grams
lettuce,Jericho Romaine,2021-07-02,11,grams
lettuce,volunteer,2021-07-02,27,grams
peas,Magnolia Blossom,2021-07-02,301,grams
peas,Super Sugar Snap,2021-07-02,340,grams
basil,Emily,2021-07-02,41,grams
kale,Heirloom Lacinto,2021-07-02,46,grams
peppers,Banana,2021-07-02,31,grams
raspberries,perennial,2021-07-02,113,grams
mint,perennial,2021-07-02,38,grams
raspberries,perennial,2021-07-04,260,grams
raspberries,perennial,2021-07-05,139,grams
beans,Rolande,2021-07-05,25,grams
basil,Emily,2021-07-05,178,grams
lettuce,Jericho Romaine,2021-07-06,9,grams
raspberries,perennial,2021-07-07,226,grams
