Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country
1,2017-07-01,14,Düsseldorf,Düsseldorf,Individual time trial,Geraint Thomas,GBR
2,2017-07-02,203.5,Düsseldorf,Liège,Flat stage,Marcel Kittel,GER
3,2017-07-03,212.5,Verviers,Longwy,Medium mountain stage,Peter Sagan,SVK
4,2017-07-04,207.5,Mondorf-les-Bains,Vittel,Flat stage,Arnaud Démare,FRA
5,2017-07-05,160.5,Vittel,La Planche des Belles Filles,Medium mountain stage,Fabio Aru,ITA
6,2017-07-06,216,Vesoul,Troyes,Flat stage,Marcel Kittel,GER
7,2017-07-07,213.5,Troyes,Nuits-Saint-Georges,Flat stage,Marcel Kittel,GER
8,2017-07-08,187.5,Dole,Station des Rousses,Medium mountain stage,Lilian Calmejane,FRA
9,2017-07-09,181.5,Nantua,Chambéry,High mountain stage,Rigoberto Urán,COL
10,2017-07-11,178,Périgueux,Bergerac,Flat stage,Marcel Kittel,GER
11,2017-07-12,203.5,Eymet,Pau,Flat stage,Marcel Kittel,GER
12,2017-07-13,214.5,Pau,Peyragudes,High mountain stage,Romain Bardet,FRA
13,2017-07-14,101,Saint-Girons,Foix,High mountain stage,Warren Barguil,FRA
14,2017-07-15,181.5,Blagnac,Rodez,Medium mountain stage,Michael Matthews,AUS
15,2017-07-16,189.5,Laissac-Sévérac-l'Église,Le Puy-en-Velay,Medium mountain stage,Bauke Mollema,NED
16,2017-07-18,165,Le Puy-en-Velay,Romans-sur-Isère,Medium mountain stage,Michael Matthews,AUS
17,2017-07-19,183,La Mure,Serre Chevalier,High mountain stage,Primož Roglič,SLO
18,2017-07-20,179.5,Briançon,Col d'Izoard,High mountain stage,Warren Barguil,FRA
19,2017-07-21,222.5,Embrun,Salon-de-Provence,Flat stage,Edvald Boasson Hagen,NOR
20,2017-07-22,22.5,Marseille,Marseille,Individual time trial,Maciej Bodnar,POL
21,2017-07-23,103,Montgeron,Paris,Flat stage,Dylan Groenewegen,NED
1,2016-07-02,188,Mont Saint-Michel,Utah Beach,Flat stage,Mark Cavendish,GBR
2,2016-07-03,183,Saint-Lô,Cherbourg-en-Cotentin,Flat stage,Peter Sagan,SVK
3,2016-07-04,223.5,Granville,Angers,Flat stage,Mark Cavendish,GBR
4,2016-07-05,237.5,Saumur,Limoges,Flat stage,Marcel Kittel,GER
5,2016-07-06,216,Limoges,Le Lioran,Medium mountain stage,Greg Van Avermaet,BEL
6,2016-07-07,190.5,Arpajon-sur-Cère,Montauban,Flat stage,Mark Cavendish,GBR
7,2016-07-08,162.5,L'Isle-Jourdain,Lac de Payolle,Medium mountain stage,Steve Cummings,GBR
8,2016-07-09,184,Pau,Bagnères-de-Luchon,High mountain stage,Chris Froome,GBR
9,2016-07-10,184.5,Vielha Val d'Aran,Andorra-Arcalis,High mountain stage,Tom Dumoulin,NED
10,2016-07-12,197,Escaldes-Engordany,Revel,Medium mountain stage,Michael Matthews,AUS
11,2016-07-13,162.5,Carcassonne,Montpellier,Flat stage,Peter Sagan,SVK
