country_name,iso3_code,year,indicator_code,financing_scheme,value,unit
Afghanistan,AFG,2002,hf1_che,Government schemes and compulsory contributory health care financing schemes,0.8914237426046598,% of current health expenditure
Afghanistan,AFG,2002,hf1_usd2023,Government schemes and compulsory contributory health care financing schemes,5906208.529917443,constant 2023 US$
Afghanistan,AFG,2002,hf2_che,Voluntary health care payment schemes,13.732970513946459,% of current health expenditure
Afghanistan,AFG,2002,hf2_usd2023,Voluntary health care payment schemes,90989036.65453179,constant 2023 US$
Afghanistan,AFG,2002,hf3_che,Household out-of-pocket payments (OOPS),85.37560574344886,% of current health expenditure
Afghanistan,AFG,2002,hf3_usd2023,Household out-of-pocket payments (OOPS),565663787.9258909,constant 2023 US$
Afghanistan,AFG,2002,hfnec_che,Unspecified financing schemes (n.e.c.),0.0,% of current health expenditure
Afghanistan,AFG,2002,hfnec_usd2023,Unspecified financing schemes (n.e.c.),0.0,constant 2023 US$
Afghanistan,AFG,2003,hf1_che,Government schemes and compulsory contributory health care financing schemes,7.28044455130474,% of current health expenditure
Afghanistan,AFG,2003,hf1_usd2023,Government schemes and compulsory contributory health care financing schemes,49642107.346171364,constant 2023 US$
Afghanistan,AFG,2003,hf2_che,Voluntary health care payment schemes,6.650363683890631,% of current health expenditure
Afghanistan,AFG,2003,hf2_usd2023,Voluntary health care payment schemes,45345866.66519063,constant 2023 US$
Afghanistan,AFG,2003,hf3_che,Household out-of-pocket payments (OOPS),86.06919176480461,% of current health expenditure
Afghanistan,AFG,2003,hf3_usd2023,Household out-of-pocket payments (OOPS),586867467.5945343,constant 2023 US$
Afghanistan,AFG,2003,hfnec_che,Unspecified financing schemes (n.e.c.),0.0,% of current health expenditure
Afghanistan,AFG,2003,hfnec_usd2023,Unspecified financing schemes (n.e.c.),0.0,constant 2023 US$
Afghanistan,AFG,2004,hf1_che,Government schemes and compulsory contributory health care financing schemes,5.535271682396709,% of current health expenditure
Afghanistan,AFG,2004,hf1_usd2023,Government schemes and compulsory contributory health care financing schemes,41680927.16268574,constant 2023 US$
Afghanistan,AFG,2004,hf2_che,Voluntary health care payment schemes,9.937137313880653,% of current health expenditure
Afghanistan,AFG,2004,hf2_usd2023,Voluntary health care payment schemes,74827238.9054853,constant 2023 US$
