country_name,iso3_code,year,indicator_code,expenditure_type,value,unit
Afghanistan,AFG,2002,che_usd2023,Current Health Expenditure (CHE),662559021.8417602,constant 2023 US$
Afghanistan,AFG,2002,ext_che,External Health Expenditure (EXT),13.73297024,% of current health expenditure
Afghanistan,AFG,2002,ext_usd2023,External Health Expenditure (EXT),90989036.65453179,constant 2023 US$
Afghanistan,AFG,2002,gghed_che,Domestic General Government Health Expenditure (GGHE-D),0.89142376,% of current health expenditure
Afghanistan,AFG,2002,gghed_usd2023,Domestic General Government Health Expenditure (GGHE-D),5906208.529917443,constant 2023 US$
Afghanistan,AFG,2002,pvtd_che,Domestic Private Health Expenditure (PVT-D),85.37560271999999,% of current health expenditure
Afghanistan,AFG,2002,pvtd_usd2023,Domestic Private Health Expenditure (PVT-D),565663777.735107,constant 2023 US$
Afghanistan,AFG,2003,che_usd2023,Current Health Expenditure (CHE),681855459.6956484,constant 2023 US$
Afghanistan,AFG,2003,ext_che,External Health Expenditure (EXT),6.650363920000001,% of current health expenditure
Afghanistan,AFG,2003,ext_usd2023,External Health Expenditure (EXT),45345866.66519063,constant 2023 US$
Afghanistan,AFG,2003,gghed_che,Domestic General Government Health Expenditure (GGHE-D),7.28044462,% of current health expenditure
Afghanistan,AFG,2003,gghed_usd2023,Domestic General Government Health Expenditure (GGHE-D),49642107.346171364,constant 2023 US$
Afghanistan,AFG,2003,pvtd_che,Domestic Private Health Expenditure (PVT-D),86.06919097999999,% of current health expenditure
Afghanistan,AFG,2003,pvtd_usd2023,Domestic Private Health Expenditure (PVT-D),586867486.2364415,constant 2023 US$
Afghanistan,AFG,2004,che_usd2023,Current Health Expenditure (CHE),753005970.228775,constant 2023 US$
Afghanistan,AFG,2004,ext_che,External Health Expenditure (EXT),9.9371376,% of current health expenditure
Afghanistan,AFG,2004,ext_usd2023,External Health Expenditure (EXT),74827238.9054853,constant 2023 US$
Afghanistan,AFG,2004,gghed_che,Domestic General Government Health Expenditure (GGHE-D),5.5352716399999995,% of current health expenditure
Afghanistan,AFG,2004,gghed_usd2023,Domestic General Government Health Expenditure (GGHE-D),41680927.16268574,constant 2023 US$
Afghanistan,AFG,2004,pvtd_che,Domestic Private Health Expenditure (PVT-D),84.52758789000002,% of current health expenditure
Afghanistan,AFG,2004,pvtd_usd2023,Domestic Private Health Expenditure (PVT-D),636497817.4964454,constant 2023 US$
Afghanistan,AFG,2005,che_usd2023,Current Health Expenditure (CHE),854078594.4274879,constant 2023 US$
Afghanistan,AFG,2005,ext_che,External Health Expenditure (EXT),15.710565569999996,% of current health expenditure
Afghanistan,AFG,2005,ext_usd2023,External Health Expenditure (EXT),134180576.2008305,constant 2023 US$
Afghanistan,AFG,2005,gghed_che,Domestic General Government Health Expenditure (GGHE-D),5.319347860000001,% of current health expenditure
Afghanistan,AFG,2005,gghed_usd2023,Domestic General Government Health Expenditure (GGHE-D),45431411.33130106,constant 2023 US$
Afghanistan,AFG,2005,pvtd_che,Domestic Private Health Expenditure (PVT-D),78.97008514000001,% of current health expenditure
Afghanistan,AFG,2005,pvtd_usd2023,Domestic Private Health Expenditure (PVT-D),674466582.7445909,constant 2023 US$
Afghanistan,AFG,2006,che_usd2023,Current Health Expenditure (CHE),960875458.6594522,constant 2023 US$
Afghanistan,AFG,2006,ext_che,External Health Expenditure (EXT),18.48848534,% of current health expenditure
Afghanistan,AFG,2006,ext_usd2023,External Health Expenditure (EXT),177651325.82731026,constant 2023 US$
Afghanistan,AFG,2006,gghed_che,Domestic General Government Health Expenditure (GGHE-D),4.6865387,% of current health expenditure
Afghanistan,AFG,2006,gghed_usd2023,Domestic General Government Health Expenditure (GGHE-D),45031801.34393557,constant 2023 US$
Afghanistan,AFG,2006,pvtd_che,Domestic Private Health Expenditure (PVT-D),76.82497406,% of current health expenditure
Afghanistan,AFG,2006,pvtd_usd2023,Domestic Private Health Expenditure (PVT-D),738192320.4806765,constant 2023 US$
Afghanistan,AFG,2007,che_usd2023,Current Health Expenditure (CHE),1015440764.9568846,constant 2023 US$
Afghanistan,AFG,2007,ext_che,External Health Expenditure (EXT),16.17664719,% of current health expenditure
Afghanistan,AFG,2007,ext_usd2023,External Health Expenditure (EXT),164264262.92873597,constant 2023 US$
Afghanistan,AFG,2007,gghed_che,Domestic General Government Health Expenditure (GGHE-D),5.653366570000001,% of current health expenditure
Afghanistan,AFG,2007,gghed_usd2023,Domestic General Government Health Expenditure (GGHE-D),57406585.97394505,constant 2023 US$
Afghanistan,AFG,2007,pvtd_che,Domestic Private Health Expenditure (PVT-D),78.16999054,% of current health expenditure
Afghanistan,AFG,2007,pvtd_usd2023,Domestic Private Health Expenditure (PVT-D),793769909.8227502,constant 2023 US$
Afghanistan,AFG,2008,che_usd2023,Current Health Expenditure (CHE),1092133838.3395822,constant 2023 US$
Afghanistan,AFG,2008,ext_che,External Health Expenditure (EXT),18.475614550000003,% of current health expenditure
Afghanistan,AFG,2008,ext_usd2023,External Health Expenditure (EXT),201778439.78159568,constant 2023 US$
