state,name,lat,lon,eclipse_1,eclipse_2,eclipse_3,eclipse_4,eclipse_5
AL,Abanda,33.091627,-85.527029,15:41:20,16:23:30,17:11:10,18:00:00,18:45:10
AL,Abbeville,31.564706,-85.259121,15:42:30,16:25:50,17:13:50,18:03:10,18:49:30
AL,Adamsville,33.602315,-86.971527,15:38:20,16:20:50,17:07:50,17:56:30,18:42:10
AL,Addison,34.202681,-87.178004,15:37:50,16:19:50,17:06:50,17:55:10,18:40:30
AL,Akron,32.879066,-87.740899,15:37:20,16:20:40,17:07:30,17:56:00,18:42:50
AL,Alabaster,33.214355,-86.82308,15:38:50,16:21:30,17:08:40,17:57:20,18:43:20
AL,Albertville,34.26313,-86.21066,15:39:40,16:21:20,17:08:30,17:57:00,18:41:40
AL,Alexander City,32.916719,-85.940589,15:40:40,16:23:10,17:10:40,17:59:30,18:45:10
AL,Alexandria,33.760819,-85.872008,15:40:30,16:22:20,17:09:40,17:58:20,18:43:10
AL,Aliceville,33.123706,-88.159344,15:36:20,16:19:40,17:06:30,17:54:50,18:41:50
AL,Allgood,33.907623,-86.516109,15:39:10,16:21:10,17:08:20,17:57:00,18:42:10
AL,Altoona,34.040014,-86.305179,15:39:40,16:21:20,17:08:30,17:57:10,18:42:00
AL,Andalusia,31.309436,-86.478031,15:40:20,16:24:30,17:12:00,18:01:00,18:48:30
AL,Anderson,34.915675,-87.274274,15:37:30,16:19:00,17:05:50,17:54:00,18:38:40
AL,Anniston,33.673469,-85.810891,15:40:40,16:22:30,17:09:50,17:58:40,18:43:30
AL,Arab,34.332387,-86.501167,15:39:10,16:20:40,17:07:50,17:56:20,18:41:00
AL,Ardmore,34.987838000000004,-86.829022,15:38:20,16:19:30,17:06:20,17:54:40,18:39:00
AL,Argo,33.691018,-86.505281,15:39:20,16:21:30,17:08:40,17:57:20,18:42:40
AL,Ariton,31.597772,-85.713061,15:41:30,16:25:10,17:13:00,18:02:10,18:48:40
AL,Arley,34.076234,-87.217831,15:37:50,16:20:00,17:06:50,17:55:20,18:40:50
AL,Ashford,31.185284,-85.236236,15:42:40,16:26:30,17:14:30,18:03:50,18:50:30
AL,Ashland,33.269892,-85.833706,15:40:40,16:22:50,17:10:20,17:59:10,18:44:30
AL,Ashville,33.835197,-86.270015,15:39:40,16:21:40,17:08:50,17:57:30,18:42:30
AL,Athens,34.779021,-86.950799,15:38:10,16:19:40,17:06:30,17:54:50,18:39:30
AL,Atmore,31.124067,-87.457798,15:38:30,16:23:20,17:10:30,17:59:10,18:47:30
AL,Attalla,33.986189,-86.121037,15:40:00,16:21:40,17:09:00,17:57:30,18:42:20
AL,Auburn,32.607806,-85.494746,15:41:30,16:24:10,17:11:50,18:01:00,18:46:30
AL,Autaugaville,32.432563,-86.658752,15:39:30,16:22:40,17:10:00,17:58:50,18:45:30
AL,Avon,31.179727,-85.279211,15:42:40,16:26:20,17:14:20,18:03:40,18:50:20
AL,Axis,30.922171,-88.02262,15:37:40,16:22:50,17:09:50,17:58:10,18:47:10
AL,Babbie,31.302083,-86.319437,15:40:30,16:24:40,17:12:20,18:01:20,18:48:40
AL,Baileyton,34.260858,-86.608788,15:39:00,16:20:40,17:07:40,17:56:10,18:41:10
AL,Bakerhill,31.776923,-85.295408,15:42:20,16:25:30,17:13:30,18:02:40,18:48:50
AL,Ballplay,34.023047,-85.801478,15:40:30,16:22:10,17:09:20,17:58:10,18:42:40
AL,Banks,31.813264,-85.836434,15:41:10,16:24:40,17:12:30,18:01:30,18:48:10
AL,Bay Minette,30.894436,-87.791306,15:38:10,16:23:10,17:10:10,17:58:50,18:47:30
AL,Bayou La Batre,30.407586,-88.263271,15:37:30,16:23:20,17:10:10,17:58:30,18:48:10
AL,Bear Creek,34.255481,-87.713399,15:36:50,16:19:00,17:05:50,17:54:10,18:39:40
AL,Beatrice,31.733309,-87.209046,15:38:40,16:22:50,17:10:00,17:58:50,18:46:20
AL,Beaverton,33.935411,-88.021778,15:36:30,16:19:00,17:05:40,17:54:00,18:40:00
AL,Belgreen,34.47454,-87.861678,15:36:30,16:18:40,17:05:20,17:53:30,18:39:00
AL,Belk,33.651641,-87.92861,15:36:40,16:19:30,17:06:10,17:54:30,18:40:50
AL,Bellamy,32.463658,-88.131481,15:36:40,16:20:40,17:07:30,17:55:50,18:43:20
AL,Belle Fontaine,30.489492,-88.10594,15:37:50,16:23:20,17:10:20,17:58:50,18:48:10
AL,Benton,32.307931,-86.817546,15:39:10,16:22:40,17:10:00,17:58:40,18:45:30
AL,Berlin,34.185005,-86.748955,15:38:40,16:20:30,17:07:30,17:56:00,18:41:10
AL,Berry,33.666702,-87.609311,15:37:10,16:19:50,17:06:40,17:55:10,18:41:10
AL,Bessemer,33.370858,-86.971522,15:38:30,16:21:00,17:08:10,17:56:50,18:42:40
AL,Billingsley,32.664711,-86.706713,15:39:10,16:22:20,17:09:40,17:58:20,18:44:50
AL,Birmingham,33.527174,-86.797036,15:38:40,16:21:10,17:08:20,17:57:00,18:42:40
AL,Black,31.00977,-85.74442,15:41:50,16:25:50,17:13:50,18:03:00,18:50:10
AL,Blountsville,34.075838,-86.583918,15:39:00,16:20:50,17:08:00,17:56:30,18:41:30
AL,Blue Ridge,32.4989,-86.182436,15:40:20,16:23:20,17:10:50,17:59:40,18:45:50
AL,Blue Springs,31.663516,-85.503526,15:42:00,16:25:20,17:13:20,18:02:30,18:48:50
AL,Boaz,34.19902,-86.155151,15:39:50,16:21:20,17:08:30,17:57:10,18:41:50
AL,Boligee,32.768081,-88.02859,15:36:50,16:20:20,17:07:10,17:55:30,18:42:50
AL,Bon Air,33.25937,-86.327148,15:39:40,16:22:10,17:09:30,17:58:20,18:43:50
AL,Bon Secour,30.318246,-87.72439,15:38:30,16:24:10,17:11:10,17:59:50,18:49:10
AL,Boykin,32.068375,-87.294343,15:38:20,16:22:20,17:09:30,17:58:10,18:45:30
AL,Brantley,31.581992,-86.256784,15:40:40,16:24:20,17:12:00,18:01:10,18:48:10
AL,Brantleyville,33.219303,-86.882522,15:38:40,16:21:20,17:08:30,17:57:10,18:43:20
AL,Brent,32.944893,-87.172088,15:38:20,16:21:20,17:08:30,17:57:10,18:43:30
AL,Brewton,31.109175,-87.076583,15:39:20,16:23:50,17:11:10,18:00:00,18:48:10
AL,Bridgeport,34.949312,-85.723765,15:40:30,16:21:20,17:08:20,17:56:50,18:40:30
AL,Brighton,33.439551,-86.945404,15:38:30,16:21:10,17:08:10,17:56:50,18:42:40
AL,Brilliant,34.025671,-87.769047,15:36:50,16:19:10,17:06:00,17:54:20,18:40:10
AL,Bristow Cove,34.109216,-86.240993,15:39:40,16:21:20,17:08:30,17:57:10,18:41:50
AL,Brook Highland,33.438035,-86.685262,15:39:00,16:21:30,17:08:40,17:57:20,18:43:00
AL,Brookside,33.634617,-86.906314,15:38:30,16:20:50,17:08:00,17:56:30,18:42:10
AL,Brookwood,33.239842,-87.331488,15:37:50,16:20:40,17:07:50,17:56:20,18:42:30
AL,Broomtown,34.365728,-85.532112,15:41:00,16:22:10,17:09:20,17:58:00,18:42:10
AL,Brundidge,31.717639,-85.81755,15:41:20,16:24:50,17:12:40,18:01:50,18:48:20
AL,Bucks,31.016881,-88.026385,15:37:40,16:22:40,17:09:40,17:58:10,18:47:00
AL,Butler,32.096479,-88.210781,15:36:40,16:21:00,17:07:50,17:56:10,18:44:10
AL,Calera,33.122319,-86.745644,15:39:00,16:21:50,17:09:00,17:57:40,18:43:40
AL,Calvert,31.149898,-88.021549,15:37:40,16:22:30,17:09:30,17:58:00,18:46:40
AL,Camden,31.998493,-87.28895,15:38:30,16:22:20,17:09:30,17:58:10,18:45:40
AL,Camp Hill,32.797327,-85.655833,15:41:10,16:23:40,17:11:20,18:00:20,18:45:50
AL,Carbon Hill,33.894991,-87.522078,15:37:20,16:19:40,17:06:40,17:55:00,18:40:50
AL,Cardiff,33.64729,-86.930637,15:38:30,16:20:50,17:08:00,17:56:30,18:42:10
AL,Carlisle-Rockledge,34.114451,-86.124073,15:39:50,16:21:30,17:08:40,17:57:20,18:42:00
AL,Carlton,31.348571,-87.835666,15:37:50,16:22:30,17:09:30,17:58:00,18:46:30
AL,Carolina,31.23415,-86.521001,15:40:20,16:24:30,17:12:00,18:01:10,18:48:40
AL,Carrollton,33.261903,-88.095071,15:36:30,16:19:40,17:06:30,17:54:50,18:41:30
AL,Castleberry,31.299678,-87.029129,15:39:10,16:23:40,17:11:00,17:59:50,18:47:40
AL,Catherine,32.18617,-87.469978,15:38:00,16:21:50,17:09:00,17:57:30,18:45:00
AL,Cedar Bluff,34.221422,-85.588565,15:40:50,16:22:20,17:09:30,17:58:10,18:42:30
AL,Center Point,33.643903,-86.684567,15:39:00,16:21:10,17:08:20,17:57:00,18:42:30
AL,Centre,34.153059,-85.671683,15:40:40,16:22:10,17:09:30,17:58:10,18:42:30
AL,Centreville,32.958967,-87.132043,15:38:20,16:21:20,17:08:30,17:57:10,18:43:40
AL,Chatom,31.469145,-88.246019,15:37:00,16:21:40,17:08:30,17:57:00,18:45:30
AL,Chelsea,33.309007,-86.635139,15:39:10,16:21:40,17:09:00,17:57:40,18:43:20
AL,Cherokee,34.7577,-87.965589,15:36:20,16:18:10,17:04:50,17:52:50,18:38:20
AL,Chickasaw,30.77145,-88.079697,15:37:40,16:23:00,17:09:50,17:58:20,18:47:30
AL,Childersburg,33.292549,-86.340844,15:39:40,16:22:10,17:09:30,17:58:10,18:43:50
AL,Choccolocco,33.667728,-85.707191,15:40:50,16:22:40,17:10:00,17:58:50,18:43:40
AL,Chunchula,30.927194,-88.2082,15:37:20,16:22:40,17:09:30,17:57:50,18:47:00
AL,Citronelle,31.097269,-88.249843,15:37:10,16:22:20,17:09:10,17:57:30,18:46:30
AL,Clanton,32.845572,-86.619494,15:39:20,16:22:10,17:09:30,17:58:20,18:44:30
AL,Clay,33.696583,-86.608182,15:39:10,16:21:20,17:08:30,17:57:10,18:42:30
AL,Clayhatchee,31.236925,-85.721478,15:41:50,16:25:40,17:13:30,18:02:50,18:49:40
AL,Clayton,31.882277,-85.460454,15:42:00,16:25:10,17:13:00,18:02:10,18:48:20
AL,Cleveland,34.002179,-86.561352,15:39:10,16:21:00,17:08:10,17:56:40,18:41:50
AL,Clio,31.708516,-85.611039,15:41:40,16:25:10,17:13:00,18:02:10,18:48:40
AL,Coaling,33.169901,-87.349887,15:37:50,16:20:50,17:07:50,17:56:20,18:42:50
AL,Coats Bend,34.073273,-85.874602,15:40:20,16:22:00,17:09:10,17:57:50,18:42:30
AL,Coffee Springs,31.165836,-85.910898,15:41:30,16:25:30,17:13:20,18:02:30,18:49:30
AL,Coffeeville,31.766564,-88.086049,15:37:10,16:21:40,17:08:30,17:57:00,18:45:10
AL,Coker,33.243752,-87.681329,15:37:10,16:20:10,17:07:10,17:55:30,18:42:10
