state,name,lat,lon,eclipse_1,eclipse_2,eclipse_3,eclipse_4,eclipse_5,eclipse_6
AZ,Chilchinbito,36.492002,-110.049213,15:10:50,15:56:20,16:30:29,16:33:31,17:09:40,18:02:10
AZ,Chinle,36.151148,-109.578682,15:11:10,15:56:50,16:31:21,16:34:06,17:10:30,18:03:20
AZ,Del Muerto,36.187393,-109.435935,15:11:20,15:57:00,16:31:13,16:34:31,17:10:40,18:03:30
AZ,Dennehotso,36.828998,-109.875694,15:10:50,15:56:20,16:29:50,16:34:07,17:09:40,18:02:00
AZ,Fort Defiance,35.747502,-109.068018,15:11:40,15:57:40,16:32:28,16:34:35,17:11:30,18:04:30
AZ,Kayenta,36.717169,-110.260459,15:10:40,15:56:00,16:29:54,16:33:21,17:09:10,18:01:30
AZ,Lukachukai,36.411233,-109.225538,15:11:20,15:57:10,16:30:50,16:35:05,17:10:50,18:03:30
AZ,Many Farms,36.342893,-109.637623,15:11:10,15:56:50,16:30:50,16:34:16,17:10:20,18:03:00
AZ,Nazlini,35.911225,-109.474672,15:11:20,15:57:10,16:32:24,16:33:30,17:10:50,18:03:40
AZ,Oljato-Monument Valley,36.987248,-110.209642,15:10:40,15:56:00,16:29:25,16:33:38,17:09:10,18:01:30
AZ,Red Mesa,36.971111,-109.36982,15:11:10,15:56:40,16:30:08,16:34:49,17:10:10,18:02:40
AZ,Red Rock,36.601117,-109.064539,15:11:30,15:57:10,16:30:42,16:35:21,17:11:00,18:03:40
AZ,Rock Point,36.696848,-109.619491,15:11:00,15:56:40,16:30:11,16:34:30,17:10:00,18:02:40
AZ,Rough Rock,36.409489,-109.868403,15:11:00,15:56:30,16:30:41,16:33:49,17:10:00,18:02:30
AZ,Round Rock,36.504256,-109.463156,15:11:10,15:56:50,16:30:33,16:34:43,17:10:30,18:03:10
AZ,St. Michaels,35.660559,-109.096174,15:11:40,15:57:40,16:33:09,16:33:52,17:11:30,18:04:40
AZ,Sawmill,35.886227,-109.158016,15:11:30,15:57:30,16:32:01,16:34:42,17:11:20,18:04:20
AZ,Sehili,36.280772,-109.185521,15:11:20,15:57:10,16:31:03,16:35:07,17:11:00,18:03:50
AZ,Shonto,36.587043,-110.662477,15:10:30,15:55:40,16:30:57,16:31:23,17:08:40,18:01:00
AZ,Teec Nos Pos,36.933289,-109.064115,15:11:20,15:57:00,16:30:31,16:35:07,17:10:40,18:03:20
AZ,Tsaile,36.302418,-109.218666,15:11:20,15:57:10,16:31:00,16:35:04,17:10:50,18:03:40
AZ,Window Rock,35.670505,-109.063037,15:11:40,15:57:40,16:32:58,16:34:14,17:11:40,18:04:40
