package,n_total,n_unique
A3,37,20
AATtools,170,99
abbreviate,1,1
abbyyR,22,12
abc,24,17
ABC.RAP,12,7
abcADM,17,16
ABCanalysis,24,11
ABCoptim,9,8
abcrf,30,25
abcrlda,11,7
abd,1,1
abdiv,112,73
abe,36,15
abess,152,98
abglasso,1,1
ABHgenotypeR,5,5
abind,6,6
abjutils,50,33
abmR,3,3
abn,111,77
abnormality,4,4
abodOutlier,1,1
ABPS,2,2
abstr,5,5
abtest,87,34
Ac3net,8,7
ACA,19,10
acc,54,31
acca,10,9
accelerometry,51,28
accelmissing,7,5
accept,13,7
AcceptanceSampling,22,15
accessrmd,27,13
accrual,22,11
accrualPlot,30,18
accucor,11,4
ACDC,57,24
acdcR,9,8
ACDm,93,47
ace2fastq,10,6
acebayes,131,63
aceEditor,5,4
acepack,1,1
ACEsearch,4,4
acfMPeriod,23,11
acid,58,11
acled.api,2,2
ACNE,14,11
acnr,6,5
acopula,667,102
AcousticNDLCodeR,13,8
acp,10,9
acroname,8,5
AcrossTic,5,5
acrt,29,18
acs,7,5
acss,18,12
ACSWR,13,6
act,120,53
ACTCD,17,5
ActCR,19,11
actel,437,176
ActFrag,1,1
activatr,17,15
ActiveDriver,19,11
activegp,89,59
ActivePathways,30,19
activity,62,24
activityCounts,4,3
activityGCMM,158,39
ActivityIndex,8,7
activPAL,26,12
actogrammr,2,2
actuaryr,36,25
AcuityView,4,3
acumos,31,20
ACV,30,10
ACWR,6,3
ada,74,11
adabag,17,13
adace,42,18
adaHuber,26,24
adamethods,114,63
adana,159,136
AdapSamp,44,22
adapt4pv,59,24
adaptalint,4,4
adaptDiag,7,5
AdaptFitOS,62,22
AdaptGauss,48,26
adaptiveGPCA,45,22
AdaptiveSparsity,25,21
adaptMCMC,5,3
adaptMT,112,42
adaptr,54,38
adaptTest,3,2
AdaSampling,9,7
addhaz,28,15
addhazard,22,11
addinslist,13,5
addinsOutline,74,33
additive,5,5
additiveDEA,1,1
additivityTests,5,3
addreg,183,47
addScales,31,13
ADDT,111,38
ade4TkGUI,281,63
adea,55,21
adepro,29,17
adept,31,12
AdequacyModel,24,10
adfExplorer,95,16
ADGofTest,5,3
adheRenceRX,7,7
AdhereR,79,29
adimpro,128,65
adjSURVCI,31,21
adjustedcranlogs,1,1
adklakedata,8,7
adlift,42,17
admiraldev,76,69
admix,366,88
admixr,67,45
ADMM,41,25
admmDensestSubmatrix,3,3
ADMMnet,35,17
ADMMsigma,13,10
ADMUR,66,35
adnuts,93,22
adoptr,43,23
ADP,4,4
ADPclust,24,14
ADPF,6,2
adpss,5,2
adsDataHubR,7,7
AdvancedBasketballStats,30,30
AdvBinomApps,74,24
AdvDif4,2,2
ADVICE,11,8
adwave,11,4
adwordsR,22,19
AEDForecasting,6,5
AEenrich,12,7
AER,62,39
AeRobiology,33,13
AeroSampleR,12,10
AF,23,17
afc,18,14
afdx,16,14
affinity,26,25
affinitymatrix,19,10
affluenceIndex,27,9
AFheritability,15,7
AFM,206,108
afmToolkit,57,13
afpt,158,49
aftgee,307,70
afthd,48,12
afttest,4,4
ag5Tools,8,8
AGD,21,15
AggregateR,4,3
aggregation,6,4
AGHmatrix,16,9
aghq,313,98
aglm,32,15
agop,86,76
AGPRIS,66,17
agRee,28,18
