type,year,race,wealth_family
Average,1963,Non-White,19503.83729619763
Average,1963,White,140632.66040256922
Average,1963,Black,NA
Average,1963,Hispanic,NA
Average,1983,Non-White,73233.61573571592
Average,1983,White,324057.6
Average,1983,Black,67269.6
Average,1983,Hispanic,62562.48
Average,1989,Non-White,NA
Average,1989,White,424082.4
Average,1989,Black,78092.2
Average,1989,Hispanic,84397.75
Average,1992,Non-White,NA
Average,1992,White,373825.9
Average,1992,Black,80779.48
Average,1992,Hispanic,90751.79
Average,1995,Non-White,NA
Average,1995,White,394522.3
Average,1995,Black,68908.64
Average,1995,Hispanic,96487.67
Average,1998,Non-White,NA
Average,1998,White,497581.1
Average,1998,Black,94972.45
Average,1998,Hispanic,128518.9
Average,2001,Non-White,NA
Average,2001,White,662337.1
Average,2001,Black,97930.09
Average,2001,Hispanic,119857.1
Average,2004,Non-White,NA
Average,2004,White,715453.3
Average,2004,Black,146127.9
Average,2004,Hispanic,158725.1
Average,2007,Non-White,NA
Average,2007,White,802519.8
Average,2007,Black,156285.1
Average,2007,Hispanic,215534
Average,2010,Non-White,NA
Average,2010,White,715067.3
Average,2010,Black,110569.1
Average,2010,Hispanic,128038.7
Average,2013,Non-White,NA
Average,2013,White,717069.1
Average,2013,Black,102106
Average,2013,Hispanic,111160.1
Average,2016,Non-White,NA
Average,2016,White,919336.1
Average,2016,Black,139523.1
Average,2016,Hispanic,191727.3
Median,1963,Non-White,2467.40266450944
Median,1963,White,47654.94016475136
Median,1963,Black,NA
Median,1963,Hispanic,NA
Median,1983,Non-White,13324.170541700874
Median,1983,White,105369.1
Median,1983,Black,13324.17
Median,1983,Hispanic,9644.209
Median,1989,Non-White,NA
Median,1989,White,134677.8
Median,1989,Black,8023.198
Median,1989,Hispanic,9329.301
Median,1992,Non-White,NA
Median,1992,White,116891.7
Median,1992,Black,16602.98
Median,1992,Hispanic,11387.3
Median,1995,Non-White,NA
Median,1995,White,120269.1
Median,1995,Black,17100.77
Median,1995,Hispanic,19575.05
Median,1998,Non-White,NA
Median,1998,White,141614.4
Median,1998,Black,22869.59
Median,1998,Hispanic,14503.75
Median,2001,Non-White,NA
Median,2001,White,166511.2
Median,2001,Black,26148.63
Median,2001,Hispanic,15851.76
Median,2004,Non-White,NA
Median,2004,White,179283.1
Median,2004,Black,25944.35
Median,2004,Hispanic,19509.14
Median,2007,Non-White,NA
Median,2007,White,198622.7
Median,2007,Black,24318.31
Median,2007,Hispanic,24434.12
Median,2010,Non-White,NA
Median,2010,White,143416.4
Median,2010,Black,17574.73
Median,2010,Hispanic,18293.19
Median,2013,Non-White,NA
Median,2013,White,146313.8
Median,2013,Black,13486.85
Median,2013,Hispanic,14229.24
Median,2016,Non-White,NA
Median,2016,White,171000
Median,2016,Black,17409
Median,2016,Hispanic,20920
