year,race,dollar_type,number,income_quintile,income_dollars
2019,All Races,Current Dollars,128451000,Lowest,28084
2019,All Races,Current Dollars,128451000,Second,53503
2019,All Races,Current Dollars,128451000,Third,86488
2019,All Races,Current Dollars,128451000,Fourth,142501
2019,All Races,Current Dollars,128451000,Top 5%,270002
2018,All Races,Current Dollars,128579000,Lowest,25600
2018,All Races,Current Dollars,128579000,Second,50000
2018,All Races,Current Dollars,128579000,Third,79542
2018,All Races,Current Dollars,128579000,Fourth,130000
2018,All Races,Current Dollars,128579000,Top 5%,248728
2017,All Races,Current Dollars,127586000,Lowest,24638
2017,All Races,Current Dollars,127586000,Second,47110
2017,All Races,Current Dollars,127586000,Third,77552
2017,All Races,Current Dollars,127586000,Fourth,126855
2017,All Races,Current Dollars,127586000,Top 5%,237034
2016,All Races,Current Dollars,126224000,Lowest,24002
2016,All Races,Current Dollars,126224000,Second,45600
2016,All Races,Current Dollars,126224000,Third,74869
2016,All Races,Current Dollars,126224000,Fourth,121018
2016,All Races,Current Dollars,126224000,Top 5%,225251
2015,All Races,Current Dollars,125819000,Lowest,22800
2015,All Races,Current Dollars,125819000,Second,43511
2015,All Races,Current Dollars,125819000,Third,72001
2015,All Races,Current Dollars,125819000,Fourth,117002
2015,All Races,Current Dollars,125819000,Top 5%,214462
2014,All Races,Current Dollars,124587000,Lowest,21432
2014,All Races,Current Dollars,124587000,Second,41186
2014,All Races,Current Dollars,124587000,Third,68212
2014,All Races,Current Dollars,124587000,Fourth,112262
2014,All Races,Current Dollars,124587000,Top 5%,206568
2013,All Races,Current Dollars,123931000,Lowest,21000
2013,All Races,Current Dollars,123931000,Second,41035
2013,All Races,Current Dollars,123931000,Third,67200
2013,All Races,Current Dollars,123931000,Fourth,110232
2013,All Races,Current Dollars,123931000,Top 5%,205128
2012,All Races,Current Dollars,122459000,Lowest,20599
2012,All Races,Current Dollars,122459000,Second,39764
2012,All Races,Current Dollars,122459000,Third,64582
2012,All Races,Current Dollars,122459000,Fourth,104096
2012,All Races,Current Dollars,122459000,Top 5%,191156
2011,All Races,Current Dollars,121084000,Lowest,20262
2011,All Races,Current Dollars,121084000,Second,38520
2011,All Races,Current Dollars,121084000,Third,62434
2011,All Races,Current Dollars,121084000,Fourth,101582
2011,All Races,Current Dollars,121084000,Top 5%,186000
2010,All Races,Current Dollars,119927000,Lowest,20000
2010,All Races,Current Dollars,119927000,Second,38000
2010,All Races,Current Dollars,119927000,Third,61500
2010,All Races,Current Dollars,119927000,Fourth,100029
2010,All Races,Current Dollars,119927000,Top 5%,180485
2009,All Races,Current Dollars,117538000,Lowest,20453
2009,All Races,Current Dollars,117538000,Second,38550
2009,All Races,Current Dollars,117538000,Third,61801
2009,All Races,Current Dollars,117538000,Fourth,100000
2009,All Races,Current Dollars,117538000,Top 5%,180001
2008,All Races,Current Dollars,117181000,Lowest,20712
2008,All Races,Current Dollars,117181000,Second,39000
2008,All Races,Current Dollars,117181000,Third,62725
2008,All Races,Current Dollars,117181000,Fourth,100240
2008,All Races,Current Dollars,117181000,Top 5%,180000
2007,All Races,Current Dollars,116783000,Lowest,20291
2007,All Races,Current Dollars,116783000,Second,39100
2007,All Races,Current Dollars,116783000,Third,62000
2007,All Races,Current Dollars,116783000,Fourth,100000
