year,race,retirement
1989,White,32649.43
1989,Black,5954.398
1989,Hispanic,7121.722
1992,White,36637.76
1992,Black,7798.197
1992,Hispanic,5248.894
1995,White,47702.19
1995,Black,9930.388
1995,Hispanic,19817.64
1998,White,64303.56
1998,Black,16252.23
1998,Hispanic,14610.48
2001,White,91828.2
2001,Black,17565.83
2001,Hispanic,17314.47
2004,White,98172.39
2004,Black,25085.81
2004,Hispanic,12732.21
2007,White,114264.6
2007,Black,29364.69
2007,Hispanic,23178.79
2010,White,124496.6
2010,Black,19290.86
2010,Hispanic,20058.13
2013,White,138557.5
2013,Black,20440.14
2013,Hispanic,10264.48
2016,White,157884.2
2016,Black,25211.85
2016,Hispanic,28581.12
