year,race,number,income_quintile,income_share
2019,All Races,128451000,Lowest,3.1
2019,All Races,128451000,Second,8.3
2019,All Races,128451000,Third,14.1
2019,All Races,128451000,Fourth,22.7
2019,All Races,128451000,Highest,51.9
2019,All Races,128451000,Top 5%,23
2018,All Races,128579000,Lowest,3.1
2018,All Races,128579000,Second,8.3
2018,All Races,128579000,Third,14.1
2018,All Races,128579000,Fourth,22.6
2018,All Races,128579000,Highest,52
2018,All Races,128579000,Top 5%,23.1
2017,All Races,127586000,Lowest,3.1
2017,All Races,127586000,Second,8.2
2017,All Races,127586000,Third,14.3
2017,All Races,127586000,Fourth,23
2017,All Races,127586000,Highest,51.5
2017,All Races,127586000,Top 5%,22.3
2016,All Races,126224000,Lowest,3.1
2016,All Races,126224000,Second,8.3
2016,All Races,126224000,Third,14.2
2016,All Races,126224000,Fourth,22.9
2016,All Races,126224000,Highest,51.5
2016,All Races,126224000,Top 5%,22.6
2015,All Races,125819000,Lowest,3.1
2015,All Races,125819000,Second,8.2
2015,All Races,125819000,Third,14.3
2015,All Races,125819000,Fourth,23.2
2015,All Races,125819000,Highest,51.1
2015,All Races,125819000,Top 5%,22.1
2014,All Races,124587000,Lowest,3.1
2014,All Races,124587000,Second,8.2
2014,All Races,124587000,Third,14.3
2014,All Races,124587000,Fourth,23.2
2014,All Races,124587000,Highest,51.2
2014,All Races,124587000,Top 5%,21.9
2013,All Races,123931000,Lowest,3.1
2013,All Races,123931000,Second,8.2
2013,All Races,123931000,Third,14.3
2013,All Races,123931000,Fourth,23
2013,All Races,123931000,Highest,51.4
2013,All Races,123931000,Top 5%,22.2
2012,All Races,122459000,Lowest,3.2
2012,All Races,122459000,Second,8.3
2012,All Races,122459000,Third,14.4
2012,All Races,122459000,Fourth,23
2012,All Races,122459000,Highest,51
2012,All Races,122459000,Top 5%,22.3
2011,All Races,121084000,Lowest,3.2
2011,All Races,121084000,Second,8.4
2011,All Races,121084000,Third,14.3
2011,All Races,121084000,Fourth,23
2011,All Races,121084000,Highest,51.1
2011,All Races,121084000,Top 5%,22.3
2010,All Races,119927000,Lowest,3.3
2010,All Races,119927000,Second,8.5
2010,All Races,119927000,Third,14.6
2010,All Races,119927000,Fourth,23.4
2010,All Races,119927000,Highest,50.3
2010,All Races,119927000,Top 5%,21.3
2009,All Races,117538000,Lowest,3.4
2009,All Races,117538000,Second,8.6
2009,All Races,117538000,Third,14.6
2009,All Races,117538000,Fourth,23.2
2009,All Races,117538000,Highest,50.3
2009,All Races,117538000,Top 5%,21.7
2008,All Races,117181000,Lowest,3.4
2008,All Races,117181000,Second,8.6
2008,All Races,117181000,Third,14.7
2008,All Races,117181000,Fourth,23.3
