species,date,geo_group,region,median,q1,q3
rainbowtrout,2020-01-01,area,4,0.63,0.34,1
rainbowtrout,2020-02-01,area,4,0.6,0.41,1.17
rainbowtrout,2020-03-01,area,4,0.74,0.4,1.64
rainbowtrout,2020-04-01,area,4,0.51,0.19,1.59
rainbowtrout,2020-05-01,area,4,0.49,0.25,1.56
rainbowtrout,2020-06-01,area,4,0.61,0.29,1.11
rainbowtrout,2020-07-01,area,4,0.65,0.34,0.9
rainbowtrout,2020-08-01,area,4,0.86,0.45,1.75
rainbowtrout,2020-09-01,area,4,1.18,0.39,2.06
rainbowtrout,2020-10-01,area,4,0.69,0.45,1.17
rainbowtrout,2020-11-01,area,4,0.59,0.33,0.92
rainbowtrout,2020-12-01,area,4,0.66,0.43,1.05
rainbowtrout,2021-01-01,area,4,0.85,0.54,1.27
rainbowtrout,2021-02-01,area,4,0.81,0.3,1.83
rainbowtrout,2021-03-01,area,4,0.93,0.45,1.49
rainbowtrout,2021-04-01,area,4,0.7,0.34,1.23
rainbowtrout,2021-05-01,area,4,0.7,0.39,1.46
rainbowtrout,2021-06-01,area,4,0.6,0.34,1.43
rainbowtrout,2021-07-01,area,4,0.85,0.38,1.73
rainbowtrout,2021-08-01,area,4,0.99,0.51,1.4
rainbowtrout,2021-09-01,area,4,0.81,0.48,2.21
rainbowtrout,2021-10-01,area,4,0.53,0.37,1.18
rainbowtrout,2021-11-01,area,4,0.55,0.33,1.21
rainbowtrout,2021-12-01,area,4,0.71,0.39,1.44
rainbowtrout,2022-01-01,area,4,0.76,0.37,1.3
rainbowtrout,2022-02-01,area,4,0.57,0.41,0.98
rainbowtrout,2022-03-01,area,4,0.61,0.44,0.94
rainbowtrout,2022-04-01,area,4,0.79,0.44,1.15
rainbowtrout,2022-05-01,area,4,0.67,0.4,1.24
rainbowtrout,2022-06-01,area,4,0.74,0.49,0.87
rainbowtrout,2022-07-01,area,4,0.83,0.59,1.06
rainbowtrout,2022-08-01,area,4,0.77,0.41,1.25
rainbowtrout,2022-09-01,area,4,1.07,0.46,1.68
rainbowtrout,2022-10-01,area,4,0.69,0.47,1.44
rainbowtrout,2022-11-01,area,4,0.72,0.37,1.06
rainbowtrout,2022-12-01,area,4,0.58,0.35,1.16
rainbowtrout,2023-01-01,area,4,0.51,0.3,1.68
rainbowtrout,2023-02-01,area,4,0.43,0.18,0.81
rainbowtrout,2023-03-01,area,4,0.51,0.27,0.94
rainbowtrout,2023-04-01,area,4,0.89,0.39,1.39
rainbowtrout,2023-05-01,area,4,0.49,0.21,0.98
rainbowtrout,2023-06-01,area,4,0.53,0.31,0.94
rainbowtrout,2023-07-01,area,4,0.56,0.39,0.99
rainbowtrout,2023-08-01,area,4,0.62,0.4,0.87
