movie_name,release_year,director,age_difference,couple_number,actor_1_name,actor_2_name,character_1_gender,character_2_gender,actor_1_birthdate,actor_2_birthdate,actor_1_age,actor_2_age
Harold and Maude,1971,Hal Ashby,52,1,Ruth Gordon,Bud Cort,woman,man,1896-10-30,1948-03-29,75,23
Venus,2006,Roger Michell,50,1,Peter O'Toole,Jodie Whittaker,man,woman,1932-08-02,1982-06-03,74,24
The Quiet American,2002,Phillip Noyce,49,1,Michael Caine,Do Thi Hai Yen,man,woman,1933-03-14,1982-10-01,69,20
The Big Lebowski,1998,Joel Coen,45,1,David Huddleston,Tara Reid,man,woman,1930-09-17,1975-11-08,68,23
Beginners,2010,Mike Mills,43,1,Christopher Plummer,Goran Visnjic,man,man,1929-12-13,1972-09-09,81,38
Poison Ivy,1992,Katt Shea,42,1,Tom Skerritt,Drew Barrymore,man,woman,1933-08-25,1975-02-22,59,17
Whatever Works,2009,Woody Allen,40,1,Larry David,Evan Rachel Wood,man,woman,1947-07-02,1987-09-07,62,22
Entrapment,1999,Jon Amiel,39,1,Sean Connery,Catherine Zeta-Jones,man,woman,1930-08-25,1969-09-25,69,30
Husbands and Wives,1992,Woody Allen,38,1,Woody Allen,Juliette Lewis,man,woman,1935-12-01,1973-06-21,57,19
Magnolia,1999,Paul Thomas Anderson,38,1,Jason Robards,Julianne Moore,man,woman,1922-07-26,1960-12-03,77,39
Indiana Jones and the Last Crusade,1989,Steven Spielberg,36,1,Sean Connery,Alison Doody,man,woman,1930-08-25,1966-03-09,59,23
Mr. Peabody and the Mermaid,1948,Irving Pichel,36,1,William Powell,Ann Blyth,man,woman,1892-06-29,1928-08-16,56,20
First Knight,1995,Jerry Zucker,35,1,Sean Connery,Julia Ormond,man,woman,1930-08-25,1965-01-04,65,30
Something's Gotta Give,2003,Nancy Meyers,35,1,Jack Nicholson,Amanda Peet,man,woman,1937-04-22,1972-01-11,66,31
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,34,1,Tom Wilkinson,Kirsten Dunst,man,woman,1948-02-05,1982-04-30,56,22
Lost in Translation,2003,Sofia Coppola,34,1,Bill Murray,Scarlett Johansson,man,woman,1950-09-21,1984-11-22,53,19
Shopgirl,2005,Anand Tucker,34,1,Steve Martin,Claire Danes,man,woman,1945-08-14,1979-04-12,60,26
