,Share of women among researchers with papers published* in 2011-16 in:,,,,
Country,Health sciences,Physical sciences,Engineering,"Computer science, maths",% of women inventores
Japan,0.24,0.11,0.11,0.11,0.08
Chile,0.43,0.23,0.22,0.16,0.19
United Kingdom,0.45,0.21,0.22,0.21,0.12
United States,0.46,0.2,0.22,0.22,0.14
Mexico,0.46,0.25,0.26,0.22,0.18
Denmark,0.47,0.22,0.23,0.18,0.13
EU28,0.48,0.25,0.25,0.22,0.12
France,0.48,0.24,0.25,0.22,0.17
Canada,0.49,0.21,0.22,0.22,0.13
Australia,0.5,0.23,0.25,0.24,0.12
Brazil,0.57,0.33,0.32,0.24,0.19
Portugal,0.57,0.37,0.36,0.27,0.26
,,,,,
Footnotes,,,,,
Papers published,Indexed in Scopus,,,,
Inventors,Who filed patent applications,,,,
,,,,,
"Sources: ""Gender in the Global Research Landscape"" by Elsevier; The Economist",,,,,
