source,report,title,available_globally,release_date,hours_viewed,runtime,views
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Back in Action,Yes,2025-01-17,313000000,1H 54M 0S,164700000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,STRAW,Yes,2025-06-06,185200000,1H 48M 0S,102900000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,The Life List,Yes,2025-03-28,198900000,2H 5M 0S,95500000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Exterritorial,Yes,2025-04-30,159000000,1H 49M 0S,87500000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Havoc,Yes,2025-04-25,154900000,1H 47M 0S,86900000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,The Secret Life of Pets 2,No,NA,106800000,1H 26M 0S,74500000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,The Electric State,Yes,2025-03-14,158200000,2H 8M 0S,74200000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Counterattack // Contraataque,Yes,2025-02-28,101000000,1H 25M 0S,71300000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Ad Vitam,Yes,2025-01-10,114000000,1H 38M 0S,69800000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Despicable Me 4,No,NA,109400000,1H 34M 0S,69800000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,The Secret Life of Pets,No,NA,95600000,1H 27M 0S,65900000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Kinda Pregnant,Yes,2025-02-05,98100000,1H 40M 0S,58900000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Nonnas,Yes,2025-05-09,109500000,1H 54M 0S,57600000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,iHostage,Yes,2025-04-18,97600000,1H 42M 0S,57400000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,La Dolce Villa,Yes,2025-02-13,91500000,1H 39M 0S,55500000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,The Boss Baby,No,NA,90100000,1H 38M 0S,55200000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Minions,No,NA,82100000,1H 31M 0S,54100000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Shrek,No,NA,80200000,1H 30M 0S,53500000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Plankton: The Movie,Yes,2025-03-07,74200000,1H 28M 0S,50600000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Despicable Me 3,No,NA,73600000,1H 30M 0S,49100000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Carry-On,Yes,2024-12-13,95400000,2H 0M 0S,47700000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Despicable Me 2,No,NA,75000000,1H 38M 0S,45900000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Shrek 2,No,NA,69000000,1H 33M 0S,44500000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Bad Influence // Mala influencia,Yes,2025-05-09,78600000,1H 47M 0S,44100000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,K.O.,Yes,2025-06-06,63100000,1H 27M 0S,43500000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,A Widow's Game // La viuda negra,Yes,2025-05-30,83900000,2H 2M 0S,41300000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Sing (2016),No,NA,73900000,1H 48M 0S,41100000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,Venom: The Last Dance,No,NA,71900000,1H 49M 0S,39600000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,The Super Mario Bros. Movie,No,NA,59700000,1H 32M 0S,38900000
1_What_We_Watched_A_Netflix_Engagement_Report_2025Jan-Jun,2025Jan-Jun,The Croods,No,NA,62400000,1H 38M 0S,38200000
