gutenberg_id,language,total_languages
1,en,1
2,en,1
3,en,1
4,en,1
5,en,1
6,en,1
7,en,1
8,en,1
9,en,1
10,en,1
11,en,1
12,en,1
13,en,1
14,en,1
15,en,1
16,en,1
17,en,1
18,en,1
19,en,1
20,en,1
21,en,1
22,en,1
23,en,1
24,en,1
25,en,1
26,en,1
27,en,1
28,en,1
29,en,1
30,en,1
31,en,1
32,en,1
33,en,1
34,en,1
35,en,1
36,en,1
37,en,1
38,en,1
39,en,1
40,en,1
41,en,1
42,en,1
43,en,1
44,en,1
45,en,1
46,en,1
47,en,1
48,en,1
49,en,1
50,en,1
51,en,1
52,en,1
53,en,1
54,en,1
55,en,1
56,en,1
57,en,1
58,en,1
59,en,1
60,en,1
61,en,1
62,en,1
63,en,1
64,en,1
65,en,1
66,en,1
67,en,1
68,en,1
69,en,1
70,en,1
71,en,1
72,en,1
73,en,1
74,en,1
75,en,1
76,en,1
77,en,1
78,en,1
79,en,1
80,en,1
81,en,1
82,en,1
83,en,1
84,en,1
85,en,1
86,en,1
87,en,1
88,en,1
89,en,1
90,en,1
91,en,1
92,en,1
93,en,1
94,en,1
95,en,1
96,en,1
97,en,1
98,en,1
99,en,1
100,en,1
101,en,1
102,en,1
103,en,1
104,en,1
105,en,1
106,en,1
107,en,1
108,en,1
109,en,1
110,en,1
111,en,1
112,en,1
113,en,1
114,en,1
115,en,1
116,en,1
117,en,1
118,en,1
119,en,1
120,en,1
121,en,1
122,en,1
123,en,1
124,en,1
125,en,1
126,en,1
127,en,1
128,en,1
129,en,1
130,en,1
131,en,1
132,en,1
133,en,1
134,en,1
135,en,1
136,en,1
137,en,1
138,en,1
139,en,1
140,en,1
141,en,1
142,en,1
143,en,1
144,en,1
145,en,1
146,en,1
147,en,1
148,en,1
149,en,1
150,en,1
151,en,1
152,en,1
153,en,1
154,en,1
155,en,1
156,en,1
157,en,1
158,en,1
159,en,1
160,en,1
161,en,1
162,en,1
163,en,1
164,en,1
165,en,1
166,en,1
167,en,1
168,en,1
169,en,1
170,en,1
171,en,1
172,en,1
173,en,1
174,en,1
175,en,1
176,en,1
177,en,1
178,en,1
179,en,1
180,en,1
181,en,1
200,en,1
201,en,1
202,en,1
203,en,1
204,en,1
205,en,1
206,en,1
207,en,1
208,en,1
209,en,1
210,en,1
211,en,1
212,en,1
213,en,1
214,en,1
215,en,1
216,en,1
217,en,1
218,la,1
