type,reason,band,percent,year
Academic,For employment,<4,0.004236575,2024-2025
Academic,For employment,4,0.009076371,2024-2025
Academic,For employment,4.5,0.024998597,2024-2025
Academic,For employment,5,0.063099714,2024-2025
Academic,For employment,5.5,0.125610235,2024-2025
Academic,For employment,6,0.183337074,2024-2025
Academic,For employment,6.5,0.198277313,2024-2025
Academic,For employment,7,0.177445149,2024-2025
Academic,For employment,7.5,0.128247573,2024-2025
Academic,For employment,8,0.068514674,2024-2025
Academic,For employment,8.5,0.016455306,2024-2025
Academic,For employment,9,7.0142e-4,2024-2025
Academic,For higher education extended course (three months or more),<4,0.004584951,2024-2025
Academic,For higher education extended course (three months or more),4,0.011374184,2024-2025
Academic,For higher education extended course (three months or more),4.5,0.035275088,2024-2025
Academic,For higher education extended course (three months or more),5,0.093558929,2024-2025
Academic,For higher education extended course (three months or more),5.5,0.183891833,2024-2025
Academic,For higher education extended course (three months or more),6,0.227921047,2024-2025
Academic,For higher education extended course (three months or more),6.5,0.180179834,2024-2025
Academic,For higher education extended course (three months or more),7,0.121667406,2024-2025
Academic,For higher education extended course (three months or more),7.5,0.083009101,2024-2025
Academic,For higher education extended course (three months or more),8,0.047133445,2024-2025
Academic,For higher education extended course (three months or more),8.5,0.011204393,2024-2025
Academic,For higher education extended course (three months or more),9,1.99789e-4,2024-2025
Academic,For higher education short course (three months or less),<4,0.008782,2024-2025
Academic,For higher education short course (three months or less),4,0.021754104,2024-2025
Academic,For higher education short course (three months or less),4.5,0.051170933,2024-2025
Academic,For higher education short course (three months or less),5,0.114739984,2024-2025
Academic,For higher education short course (three months or less),5.5,0.190161864,2024-2025
Academic,For higher education short course (three months or less),6,0.211887269,2024-2025
Academic,For higher education short course (three months or less),6.5,0.165767421,2024-2025
Academic,For higher education short course (three months or less),7,0.112673631,2024-2025
Academic,For higher education short course (three months or less),7.5,0.075594076,2024-2025
Academic,For higher education short course (three months or less),8,0.038256228,2024-2025
Academic,For higher education short course (three months or less),8.5,0.008896797,2024-2025
Academic,For higher education short course (three months or less),9,3.15693e-4,2024-2025
Academic,For immigration,<4,0.005733848,2024-2025
Academic,For immigration,4,0.011315918,2024-2025
Academic,For immigration,4.5,0.024065298,2024-2025
Academic,For immigration,5,0.05249844,2024-2025
Academic,For immigration,5.5,0.112113598,2024-2025
Academic,For immigration,6,0.172555104,2024-2025
Academic,For immigration,6.5,0.188289458,2024-2025
Academic,For immigration,7,0.172369597,2024-2025
Academic,For immigration,7.5,0.136516181,2024-2025
Academic,For immigration,8,0.089819046,2024-2025
Academic,For immigration,8.5,0.033323777,2024-2025
Academic,For immigration,9,0.001399734,2024-2025
Academic,For other education purposes,<4,0.005550671,2024-2025
Academic,For other education purposes,4,0.0123821,2024-2025
Academic,For other education purposes,4.5,0.0340117,2024-2025
Academic,For other education purposes,5,0.083674688,2024-2025
Academic,For other education purposes,5.5,0.161184375,2024-2025
Academic,For other education purposes,6,0.205055735,2024-2025
Academic,For other education purposes,6.5,0.18442469,2024-2025
Academic,For other education purposes,7,0.147888379,2024-2025
Academic,For other education purposes,7.5,0.104488077,2024-2025
Academic,For other education purposes,8,0.051783834,2024-2025
Academic,For other education purposes,8.5,0.009421163,2024-2025
Academic,For other education purposes,9,1.34588e-4,2024-2025
Academic,For personal reasons,<4,0.006015074,2024-2025
Academic,For personal reasons,4,0.01493013,2024-2025
Academic,For personal reasons,4.5,0.041866505,2024-2025
Academic,For personal reasons,5,0.105761723,2024-2025
Academic,For personal reasons,5.5,0.19040297,2024-2025
Academic,For personal reasons,6,0.225449736,2024-2025
Academic,For personal reasons,6.5,0.179137654,2024-2025
Academic,For personal reasons,7,0.124699246,2024-2025
Academic,For personal reasons,7.5,0.075415478,2024-2025
Academic,For personal reasons,8,0.03072866,2024-2025
