type,language,band,percent,year
Academic,Arabic,<4,0.021293445306636252,2024-2025
Academic,Arabic,4,0.037102483939789724,2024-2025
Academic,Arabic,4.5,0.08149190045329094,2024-2025
Academic,Arabic,5,0.13799074506373848,2024-2025
Academic,Arabic,5.5,0.17022936403340286,2024-2025
Academic,Arabic,6,0.15888822566442287,2024-2025
Academic,Arabic,6.5,0.13594591240315115,2024-2025
Academic,Arabic,7,0.11427423215351609,2024-2025
Academic,Arabic,7.5,0.08553428640659075,2024-2025
Academic,Arabic,8,0.04757486392406934,2024-2025
Academic,Arabic,8.5,0.009574071994657431,2024-2025
Academic,Arabic,9,1.0046865673405946e-4,2024-2025
Academic,Azeri,<4,5.400297016335898e-4,2024-2025
Academic,Azeri,4,0.0033751856352099365,2024-2025
Academic,Azeri,4.5,0.009720534629404616,2024-2025
Academic,Azeri,5,0.03874713109221007,2024-2025
Academic,Azeri,5.5,0.10881598487916834,2024-2025
Academic,Azeri,6,0.18739030646685567,2024-2025
Academic,Azeri,6.5,0.2183070068853787,2024-2025
Academic,Azeri,7,0.20494127176994734,2024-2025
Academic,Azeri,7.5,0.14729310112056163,2024-2025
Academic,Azeri,8,0.07168894289185905,2024-2025
Academic,Azeri,8.5,0.00904549750236263,2024-2025
Academic,Azeri,9,1.3500742540839745e-4,2024-2025
Academic,Bengali,<4,0.004276805395934208,2024-2025
Academic,Bengali,4,0.015176064962224692,2024-2025
Academic,Bengali,4.5,0.047242685155528756,2024-2025
Academic,Bengali,5,0.11858243683704807,2024-2025
Academic,Bengali,5.5,0.21193737400380577,2024-2025
Academic,Bengali,6,0.22984531906475497,2024-2025
Academic,Bengali,6.5,0.16552367315409686,2024-2025
Academic,Bengali,7,0.10285999585507848,2024-2025
Academic,Bengali,7.5,0.06451005143470806,2024-2025
Academic,Bengali,8,0.03289560449912391,2024-2025
Academic,Bengali,8.5,0.006980424666051208,2024-2025
Academic,Bengali,9,1.6956497164496862e-4,2024-2025
Academic,Burmese,<4,8.868617762574434e-4,2024-2025
Academic,Burmese,4,0.004814392499683264,2024-2025
Academic,Burmese,4.5,0.013429621183326999,2024-2025
Academic,Burmese,5,0.0459901178259217,2024-2025
Academic,Burmese,5.5,0.12073989611047764,2024-2025
Academic,Burmese,6,0.2001773723552515,2024-2025
Academic,Burmese,6.5,0.20144431774990498,2024-2025
Academic,Burmese,7,0.17623210439630055,2024-2025
Academic,Burmese,7.5,0.1382237425566958,2024-2025
Academic,Burmese,8,0.08298492334980363,2024-2025
Academic,Burmese,8.5,0.01469656657798049,2024-2025
Academic,Burmese,9,3.800836183960472e-4,2024-2025
Academic,Chinese,<4,0.005016950836365442,2024-2025
Academic,Chinese,4,0.013787301153650329,2024-2025
Academic,Chinese,4.5,0.044422988562842276,2024-2025
Academic,Chinese,5,0.11846854678141079,2024-2025
Academic,Chinese,5.5,0.22392385990620123,2024-2025
Academic,Chinese,6,0.26022327914860854,2024-2025
Academic,Chinese,6.5,0.1790900360541599,2024-2025
Academic,Chinese,7,0.09508198078491273,2024-2025
Academic,Chinese,7.5,0.04394385320037585,2024-2025
Academic,Chinese,8,0.013876298218816878,2024-2025
Academic,Chinese,8.5,0.002135929563997169,2024-2025
Academic,Chinese,9,2.897578865887632e-5,2024-2025
Academic,English,<4,5.075319907132445e-4,2024-2025
Academic,English,4,0.0014362075481885428,2024-2025
Academic,English,4.5,0.005248096755034825,2024-2025
Academic,English,5,0.019059446034231414,2024-2025
Academic,English,5.5,0.0575994816694563,2024-2025
Academic,English,6,0.11985313967928299,2024-2025
Academic,English,6.5,0.16009934668754386,2024-2025
Academic,English,7,0.18105933804870147,2024-2025
Academic,English,7.5,0.19492468009286756,2024-2025
Academic,English,8,0.17672911829814805,2024-2025
Academic,English,8.5,0.0803088386156255,2024-2025
Academic,English,9,0.003174774580206253,2024-2025
Academic,Farsi,<4,8.612028132625232e-4,2024-2025
Academic,Farsi,4,0.0023922300368403424,2024-2025
Academic,Farsi,4.5,0.010717190565044735,2024-2025
Academic,Farsi,5,0.03521362614228984,2024-2025
Academic,Farsi,5.5,0.10650208124013204,2024-2025
Academic,Farsi,6,0.20707143198890005,2024-2025
Academic,Farsi,6.5,0.2277402995072006,2024-2025
Academic,Farsi,7,0.18831634850007176,2024-2025
