type,language,part,score,year
Academic,Arabic,listening,5.703570183,2024-2025
Academic,Arabic,reading,6.099948584,2024-2025
Academic,Arabic,writing,5.539552146,2024-2025
Academic,Arabic,speaking,6.215372295,2024-2025
Academic,Arabic,overall,5.953004308,2024-2025
Academic,Azeri,listening,6.581206966,2024-2025
Academic,Azeri,reading,6.870527879,2024-2025
Academic,Azeri,writing,6.071418928,2024-2025
Academic,Azeri,speaking,6.565681112,2024-2025
Academic,Azeri,overall,6.5854597,2024-2025
Academic,Bengali,listening,5.845573412,2024-2025
Academic,Bengali,reading,6.260098536,2024-2025
Academic,Bengali,writing,5.847848409,2024-2025
Academic,Bengali,speaking,5.905425137,2024-2025
Academic,Bengali,overall,6.02933474,2024-2025
Academic,Burmese,listening,6.710946408,2024-2025
Academic,Burmese,reading,6.91809198,2024-2025
Academic,Burmese,writing,6.098061574,2024-2025
Academic,Burmese,speaking,6.210629672,2024-2025
Academic,Burmese,overall,6.549727607,2024-2025
Academic,Chinese,listening,6.240517156,2024-2025
Academic,Chinese,reading,5.96511936,2024-2025
Academic,Chinese,writing,5.775134944,2024-2025
Academic,Chinese,speaking,5.543949027,2024-2025
Academic,Chinese,overall,5.94585253,2024-2025
Academic,English,listening,6.838010907,2024-2025
Academic,English,reading,7.395086658,2024-2025
Academic,English,writing,6.489287835,2024-2025
Academic,English,speaking,7.254160143,2024-2025
Academic,English,overall,7.057243129,2024-2025
Academic,Farsi,listening,6.500382757,2024-2025
Academic,Farsi,reading,6.759628726,2024-2025
Academic,Farsi,writing,6.091550644,2024-2025
Academic,Farsi,speaking,6.676498732,2024-2025
Academic,Farsi,overall,6.570786087,2024-2025
Academic,Filipino,listening,6.682922851,2024-2025
Academic,Filipino,reading,7.186715055,2024-2025
Academic,Filipino,writing,6.291428804,2024-2025
Academic,Filipino,speaking,6.824090687,2024-2025
Academic,Filipino,overall,6.810797586,2024-2025
Academic,French,listening,6.946459814,2024-2025
Academic,French,reading,7.006159174,2024-2025
Academic,French,writing,6.152479737,2024-2025
Academic,French,speaking,6.653390224,2024-2025
Academic,French,overall,6.754025779,2024-2025
Academic,German,listening,7.843203001,2024-2025
Academic,German,reading,8.148499659,2024-2025
Academic,German,writing,6.641225278,2024-2025
Academic,German,speaking,7.519379404,2024-2025
Academic,German,overall,7.601557172,2024-2025
Academic,Greek,listening,7.404853129,2024-2025
Academic,Greek,reading,7.76741876,2024-2025
Academic,Greek,writing,6.51106854,2024-2025
Academic,Greek,speaking,7.020647084,2024-2025
Academic,Greek,overall,7.240173123,2024-2025
Academic,Gujarati,listening,6.075416276,2024-2025
Academic,Gujarati,reading,6.622206,2024-2025
Academic,Gujarati,writing,6.018458651,2024-2025
Academic,Gujarati,speaking,6.121597664,2024-2025
Academic,Gujarati,overall,6.274394271,2024-2025
Academic,Hindi,listening,6.61599824,2024-2025
Academic,Hindi,reading,7.142520737,2024-2025
Academic,Hindi,writing,6.363932663,2024-2025
Academic,Hindi,speaking,6.657994231,2024-2025
Academic,Hindi,overall,6.758005639,2024-2025
Academic,Indonesian,listening,6.88745314,2024-2025
Academic,Indonesian,reading,7.054912145,2024-2025
Academic,Indonesian,writing,6.151573855,2024-2025
Academic,Indonesian,speaking,6.335483466,2024-2025
Academic,Indonesian,overall,6.671459088,2024-2025
Academic,Italian,listening,7.508681266,2024-2025
Academic,Italian,reading,7.368740008,2024-2025
Academic,Italian,writing,6.246068335,2024-2025
