5,"t","Honey Bee Colonies: Released August 1, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2018 and January-March 2018"
5,"h","","","","","","","",""
5,"h","","","January-March","January-March","January-March","January-March","January-March","January-March"
5,"h","State","January 1","","","","","",""
5,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
5,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
5,"h","","","","","","","",""
5,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
5,"d","Alabama",7500,7500,820,11,1200,1500,20
5,"d","Arizona",25000,26000,6000,23,810,230,1
5,"d","Arkansas",22000,22000,7500,34,540,810,4
5,"d","California",1150000,1540000,215000,14,205000,133000,9
5,"d","Colorado",13000,21000,4900,23,1400,190,1
5,"d","Connecticut",2900,2900,140,5,220,330,11
5,"d","Florida",245000,255000,39000,15,57000,38000,15
5,"d","Georgia",134000,139000,25000,18,29000,39000,28
5,"d","Hawaii",17000,17000,1600,9,1200,5000,29
5,"d","Idaho",164000,168000,22000,13,2500,2600,2
5,"d","",,,,,,,
5,"d","Illinois",10500,10500,2400,23,1000,630,6
5,"d","Indiana",7000,8000,1000,13,300,30,"(Z)"
5,"d","Iowa",41000,44000,2100,5,270,110,"(Z)"
5,"d","Kansas",3700,3700,950,26,370,410,11
5,"d","Kentucky",5500,5500,1200,22,760,20,"(Z)"
5,"d","Louisiana",50000,52000,3600,7,4100,320,1
5,"d","Maine",1900,1900,410,22,20,30,2
5,"d","Maryland",8000,8000,1600,20,400,190,2
5,"d","Massachusetts",3700,3700,1000,27,240,290,8
5,"d","Michigan",16500,37000,7000,19,4000,3900,11
5,"d","",,,,,,,
5,"d","Minnesota",39000,62000,3900,6,8000,2900,5
5,"d","Mississippi",19000,32000,2000,6,28000,5500,17
5,"d","Missouri",8000,8000,1400,18,1400,50,"(Z)"
5,"d","Montana",35000,60000,140,"(Z)",840,-,-
5,"d","Nebraska",6500,14000,430,3,-,-,-
5,"d","New Jersey",6500,6500,730,11,180,190,3
5,"d","New Mexico",7500,7500,3900,52,180,-,-
5,"d","New York",26000,26000,3700,14,400,170,1
5,"d","North Carolina",18500,18500,4200,23,2400,260,1
5,"d","North Dakota",66000,101000,3200,3,2600,10,"(Z)"
5,"d","",,,,,,,
5,"d","Ohio",12000,14000,4500,32,300,580,4
5,"d","Oklahoma",17000,18000,3700,21,890,240,1
5,"d","Oregon",81000,89000,4800,5,16500,3900,4
5,"d","Pennsylvania",14500,15000,3300,22,1200,670,4
5,"d","South Carolina",13500,14500,1800,12,1900,2800,19
5,"d","South Dakota",23000,29000,390,1,250,90,"(Z)"
5,"d","Tennessee",10000,10000,3400,34,540,470,5
5,"d","Texas",205000,290000,32000,11,124000,42000,14
5,"d","Utah",7500,17000,620,4,490,50,"(Z)"
5,"d","Vermont",5500,5500,810,15,20,-,-
5,"d","",,,,,,,
5,"d","Virginia",7000,7000,2100,30,540,160,2
5,"d","Washington",44000,90000,4600,5,7000,870,1
5,"d","West Virginia",4700,8500,2500,29,330,60,1
5,"d","Wisconsin",21000,29000,4600,16,2800,1600,6
5,"d","Wyoming",5500,9000,220,2,70,-,-
5,"d","",,,,,,,
5,"d","Other States 5/",3820,7020,1870,27,160,40,1
5,"d","",,,,,,,
5,"d","United States",2635220,"(X)",438030,17,511320,289200,11
5,"c",""
5,"f","-  Represents zero."
5,"f","(X)  Not applicable."
5,"f","(Z)  Less than half of the unit shown."
5,"f","1/ January 1 colonies plus all colonies moved into that state during the quarter."
5,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the January 1 colonies."
5,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
5,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the January 1 colonies."
5,"f","5/ Includes data for States not published in this table."
1,"t","Honey Bee Colonies: Released August 1, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2018 and April-June 2018"
1,"h","","","","","","","",""
1,"h","","","April-June","April-June","April-June","April-June","April-June","April-June"
1,"h","State","April 1","","","","","",""
1,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
1,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
1,"h","","","","","","","",""
1,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
1,"d","Alabama",7000,8500,650,8,1700,710,8
1,"d","Arizona",19000,19500,2600,13,14000,2100,11
1,"d","Arkansas",14500,16000,2000,13,13000,1900,12
1,"d","California",1130000,1200000,110000,9,172000,255000,21
1,"d","Colorado",16500,27000,3000,11,12500,4700,17
1,"d","Connecticut",3600,3600,120,3,340,170,5
1,"d","Florida",250000,275000,56000,20,49000,68000,25
1,"d","Georgia",131000,137000,18000,13,35000,16000,12
1,"d","Hawaii",16500,16500,380,2,330,3100,19
1,"d","Idaho",59000,94000,6500,7,14500,29000,31
1,"d","",,,,,,,
1,"d","Illinois",10000,10500,2300,22,5000,2900,28
1,"d","Indiana",8000,9500,1800,19,4000,730,8
1,"d","Iowa",45000,47000,4300,9,15500,4800,10
1,"d","Kansas",3900,3900,300,8,3500,2100,54
1,"d","Kentucky",5500,6000,910,15,1500,560,9
1,"d","Louisiana",48000,48000,1400,3,4900,4000,8
1,"d","Maine",2200,23000,3100,13,430,790,3
1,"d","Maryland",7000,8000,370,5,2400,1200,15
1,"d","Massachusetts",3500,8000,260,3,910,350,4
1,"d","Michigan",37000,70000,7500,11,23000,8500,12
1,"d","",,,,,,,
1,"d","Minnesota",69000,116000,8500,7,42000,25000,22
1,"d","Mississippi",50000,50000,3400,7,4000,7000,14
1,"d","Missouri",7000,7000,390,6,2100,800,11
1,"d","Montana",50000,176000,5500,3,17000,22000,13
1,"d","Nebraska",10500,46000,2100,5,4000,900,2
1,"d","New Jersey",4400,15000,270,2,1300,170,1
1,"d","New Mexico",1900,4300,50,1,1700,450,10
1,"d","New York",20000,42000,2700,6,11000,2400,6
1,"d","North Carolina",16000,17500,2500,14,4100,800,5
1,"d","North Dakota",74000,460000,23000,5,23000,64000,14
1,"d","",,,,,,,
1,"d","Ohio",11000,13000,1500,12,9000,2100,16
1,"d","Oklahoma",15500,15500,1700,11,10500,6500,42
1,"d","Oregon",41000,107000,3400,3,17500,24000,22
1,"d","Pennsylvania",15500,19500,1100,6,6000,1600,8
1,"d","South Carolina",14000,14000,1300,9,2600,4000,29
1,"d","South Dakota",10000,169000,17000,10,12500,65000,38
1,"d","Tennessee",8000,8000,1200,15,3800,1300,16
1,"d","Texas",305000,315000,38000,12,79000,71000,23
1,"d","Utah",14500,26000,1900,7,9500,4100,16
1,"d","Vermont",5500,6500,520,8,2600,140,2
1,"d","",,,,,,,
1,"d","Virginia",5000,6000,500,8,2600,700,12
1,"d","Washington",55000,122000,7500,6,15500,19000,16
1,"d","West Virginia",7000,7000,570,8,2300,550,8
1,"d","Wisconsin",26000,56000,6500,12,12000,7000,13
1,"d","Wyoming",8500,28000,2300,8,5500,2200,8
1,"d","",,,,,,,
1,"d","Other States 5/",4380,8670,380,4,1750,1030,12
1,"d","",,,,,,,
1,"d","United States",2665880,"(X)",355270,13,676360,740350,28
1,"c",""
1,"f","(X)  Not applicable."
1,"f","1/ April 1 colonies plus all colonies moved into that state during the quarter."
1,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 colonies."
1,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
1,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 colonies."
1,"f","5/ Includes data for States not published in this table."
7,"t","Honey Bee Colonies: Released August 1, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
7,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: July 1, 2018 and July-September 2018"
7,"h","","","","","","","",""
7,"h","","","July-September","July-September","July-September","July-September","July-September","July-September"
7,"h","State","July 1","","","","","",""
7,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
7,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","Renovated 4/"
7,"h","","","","","","","",""
7,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
7,"d","Alabama",8500,8500,1700,20,1600,1300,15
7,"d","Arizona",31000,31000,8000,26,3200,3100,10
7,"d","Arkansas",29000,29000,2300,8,2600,840,3
7,"d","California",590000,700000,73000,10,63000,141000,20
7,"d","Colorado",34000,35000,5000,14,1500,5000,14
7,"d","Connecticut",3200,3200,130,4,80,310,10
7,"d","Florida",197000,220000,30000,14,53000,40000,18
7,"d","Georgia",134000,138000,17000,12,27000,33000,24
7,"d","Hawaii",16500,16500,1800,11,1700,3000,18
7,"d","Idaho",82000,101000,14000,14,15000,21000,21
7,"d","",,,,,,,
7,"d","Illinois",11000,11000,660,6,700,420,4
7,"d","Indiana",11500,11500,990,9,520,1200,10
7,"d","Iowa",56000,57000,3600,6,1200,990,2
7,"d","Kansas",6000,6000,950,16,300,180,3
7,"d","Kentucky",6500,7000,840,12,300,660,9
7,"d","Louisiana",53000,53000,1900,4,1600,2300,4
7,"d","Maine",12500,12500,890,7,60,170,1
7,"d","Maryland",7500,7500,360,5,580,680,9
7,"d","Massachusetts",8000,10000,2200,22,850,730,7
7,"d","Michigan",88000,88000,8000,9,3000,22000,25
7,"d","",,,,,,,
7,"d","Minnesota",121000,127000,29000,23,1600,6500,5
7,"d","Mississippi",16500,16500,2900,18,110,650,4
7,"d","Missouri",10000,10000,540,5,260,410,4
7,"d","Montana",145000,153000,18500,12,3100,22000,14
7,"d","Nebraska",52000,54000,6500,12,8500,5000,9
7,"d","New Jersey",14000,14000,320,2,250,220,2
7,"d","New Mexico",6000,7000,1200,17,3800,1000,14
7,"d","New York",55000,56000,3900,7,3600,3700,7
7,"d","North Carolina",18000,18000,2200,12,2600,2000,11
7,"d","North Dakota",455000,490000,59000,12,23000,14500,3
7,"d","",,,,,,,
7,"d","Ohio",16000,16000,1300,8,1300,2100,13
7,"d","Oklahoma",2100,2100,370,18,20,10,"(Z)"
7,"d","Oregon",116000,117000,13000,11,3000,49000,42
7,"d","Pennsylvania",20000,21000,860,4,2900,2300,11
7,"d","South Carolina",9500,11500,1400,12,670,1100,10
7,"d","South Dakota",168000,197000,22000,11,8000,6500,3
7,"d","Tennessee",9000,9000,900,10,540,1000,11
7,"d","Texas",112000,124000,7500,6,7500,9500,8
7,"d","Utah",30000,30000,4400,15,970,1400,5
7,"d","Vermont",7000,7000,90,1,1200,80,1
7,"d","",,,,,,,
7,"d","Virginia",7500,7500,610,8,1000,990,13
7,"d","Washington",76000,84000,12000,14,7000,3600,4
7,"d","West Virginia",7500,8000,520,7,170,1200,15
7,"d","Wisconsin",61000,69000,10000,14,2400,3800,6
7,"d","Wyoming",33000,34000,3900,11,1800,3900,11
7,"d","",,,,,,,
7,"d","Other States 5/",6490,9990,890,9,480,440,4
7,"d","",,,,,,,
7,"d","United States",2958790,"(X)",377120,13,263560,420780,14
7,"c",""
7,"f","(X)  Not applicable."
7,"f","(Z)  Less than half of the unit shown."
7,"f","1/ July 1 colonies plus all colonies moved into that state during the quarter."
7,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the July 1 colonies."
7,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
7,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the July 1 colonies."
7,"f","5/ Includes data for States not published in this table."
8,"t","Honey Bee Colonies: Released August 1, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
8,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: October 1, 2018 and October-December 2018"
8,"h","","","","","","","",""
8,"h","","","October-December","October-December","October-December","October-December","October-December","October-December"
8,"h","State","October 1","","","","","",""
8,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
8,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
8,"h","","","","","","","",""
8,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
8,"d","Alabama",6500,6500,830,13,210,1300,20
8,"d","Arizona",26000,27000,5000,19,2200,330,1
8,"d","Arkansas",30000,31000,6000,19,110,230,1
8,"d","California",680000,1200000,170000,14,86000,46000,4
8,"d","Colorado",30000,30000,3500,12,370,10,"(Z)"
8,"d","Connecticut",3500,3500,220,6,-,60,2
8,"d","Florida",240000,290000,43000,15,53000,20000,7
8,"d","Georgia",148000,164000,19500,12,6500,49000,30
8,"d","Hawaii",16000,16000,940,6,1700,6000,38
8,"d","Idaho",99000,159000,15000,9,9000,910,1
8,"d","",,,,,,,
8,"d","Illinois",12000,12000,1400,12,600,350,3
8,"d","Indiana",9000,9000,3300,37,40,1200,13
8,"d","Iowa",21000,21000,4200,20,630,80,"(Z)"
8,"d","Kansas",5500,5500,1000,18,420,10,"(Z)"
8,"d","Kentucky",7000,7000,2000,29,60,430,6
8,"d","Louisiana",50000,52000,2600,5,130,200,"(Z)"
8,"d","Maine",12000,12000,1400,12,210,880,7
8,"d","Maryland",7000,9000,690,8,60,90,1
8,"d","Massachusetts",4900,4900,650,13,110,320,7
8,"d","Michigan",77000,77000,6000,8,3900,1800,2
8,"d","",,,,,,,
8,"d","Minnesota",84000,86000,11500,13,2500,590,1
8,"d","Mississippi",14500,25000,2000,8,330,50,"(Z)"
8,"d","Missouri",10000,10000,880,9,170,150,2
8,"d","Montana",98000,102000,5500,5,3100,500,"(Z)"
8,"d","Nebraska",45000,45000,5000,11,7000,840,2
8,"d","New Jersey",15500,15500,1300,8,30,80,1
8,"d","New Mexico",8000,8000,3000,38,50,-,-
8,"d","New York",53000,53000,4400,8,1000,1500,3
8,"d","North Carolina",16000,16000,2700,17,250,300,2
8,"d","North Dakota",430000,435000,29000,7,7500,1500,"(Z)"
8,"d","",,,,,,,
8,"d","Ohio",15500,15500,2100,14,170,450,3
8,"d","Oklahoma",2200,57000,2500,4,60,20,"(Z)"
8,"d","Oregon",89000,101000,13000,13,10500,12000,12
8,"d","Pennsylvania",21000,21000,4000,19,270,1500,7
8,"d","South Carolina",10000,12500,1500,12,770,790,6
8,"d","South Dakota",140000,140000,21000,15,2000,430,"(Z)"
8,"d","Tennessee",8000,8500,1900,22,30,370,4
8,"d","Texas",116000,260000,17000,7,11000,70,"(Z)"
8,"d","Utah",27000,27000,3400,13,180,400,1
8,"d","Vermont",6500,6500,170,3,10,20,"(Z)"
8,"d","",,,,,,,
8,"d","Virginia",7000,7000,1100,16,80,1300,19
8,"d","Washington",75000,81000,11000,14,5500,1400,2
8,"d","West Virginia",7000,7000,1200,17,50,70,1
8,"d","Wisconsin",48000,48000,8500,18,1600,530,1
8,"d","Wyoming",30000,32000,2700,8,220,-,-
8,"d","",,,,,,,
8,"d","Other States 5/",8370,8670,1150,13,20,500,6
8,"d","",,,,,,,
8,"d","United States",2868970,"(X)",444730,16,219640,154560,5
8,"c",""
8,"f","-  Represents zero."
8,"f","(X)  Not applicable."
8,"f","(Z)  Less than half of the unit shown."
8,"f","1/ October 1 colonies plus all colonies moved into that state during the quarter."
8,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the October 1 colonies."
8,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
8,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the October 1 colonies."
8,"f","5/ Includes data for States not published in this table."
11,"t","Honey Bee Colonies: Released August 1, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
11,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: January 1, 2019 and January-March 2019"
11,"h","","","","","","","",""
11,"h","","","January-March","January-March","January-March","January-March","January-March","January-March"
11,"h","State","January 1","","","","","",""
11,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
