8,"t","Honey Bee Colonies: Released August 1, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
8,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: October 1, 2018 and October-December 2018"
8,"h","","","","","","","",""
8,"h","","","October-December","October-December","October-December","October-December","October-December","October-December"
8,"h","State","October 1","","","","","",""
8,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
8,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
8,"h","","","","","","","",""
8,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
8,"d","Alabama",6500,6500,830,13,210,1300,20
8,"d","Arizona",26000,27000,5000,19,2200,330,1
8,"d","Arkansas",30000,31000,6000,19,110,230,1
8,"d","California",680000,1200000,170000,14,86000,46000,4
8,"d","Colorado",30000,30000,3500,12,370,10,"(Z)"
8,"d","Connecticut",3500,3500,220,6,-,60,2
8,"d","Florida",240000,290000,43000,15,53000,20000,7
8,"d","Georgia",148000,164000,19500,12,6500,49000,30
8,"d","Hawaii",16000,16000,940,6,1700,6000,38
8,"d","Idaho",99000,159000,15000,9,9000,910,1
8,"d","",,,,,,,
8,"d","Illinois",12000,12000,1400,12,600,350,3
8,"d","Indiana",9000,9000,3300,37,40,1200,13
8,"d","Iowa",21000,21000,4200,20,630,80,"(Z)"
8,"d","Kansas",5500,5500,1000,18,420,10,"(Z)"
8,"d","Kentucky",7000,7000,2000,29,60,430,6
8,"d","Louisiana",50000,52000,2600,5,130,200,"(Z)"
8,"d","Maine",12000,12000,1400,12,210,880,7
8,"d","Maryland",7000,9000,690,8,60,90,1
8,"d","Massachusetts",4900,4900,650,13,110,320,7
8,"d","Michigan",77000,77000,6000,8,3900,1800,2
8,"d","",,,,,,,
8,"d","Minnesota",84000,86000,11500,13,2500,590,1
8,"d","Mississippi",14500,25000,2000,8,330,50,"(Z)"
8,"d","Missouri",10000,10000,880,9,170,150,2
8,"d","Montana",98000,102000,5500,5,3100,500,"(Z)"
8,"d","Nebraska",45000,45000,5000,11,7000,840,2
8,"d","New Jersey",15500,15500,1300,8,30,80,1
8,"d","New Mexico",8000,8000,3000,38,50,-,-
8,"d","New York",53000,53000,4400,8,1000,1500,3
8,"d","North Carolina",16000,16000,2700,17,250,300,2
8,"d","North Dakota",430000,435000,29000,7,7500,1500,"(Z)"
8,"d","",,,,,,,
8,"d","Ohio",15500,15500,2100,14,170,450,3
8,"d","Oklahoma",2200,57000,2500,4,60,20,"(Z)"
8,"d","Oregon",89000,101000,13000,13,10500,12000,12
8,"d","Pennsylvania",21000,21000,4000,19,270,1500,7
8,"d","South Carolina",10000,12500,1500,12,770,790,6
8,"d","South Dakota",140000,140000,21000,15,2000,430,"(Z)"
8,"d","Tennessee",8000,8500,1900,22,30,370,4
8,"d","Texas",116000,260000,17000,7,11000,70,"(Z)"
8,"d","Utah",27000,27000,3400,13,180,400,1
8,"d","Vermont",6500,6500,170,3,10,20,"(Z)"
8,"d","",,,,,,,
8,"d","Virginia",7000,7000,1100,16,80,1300,19
8,"d","Washington",75000,81000,11000,14,5500,1400,2
8,"d","West Virginia",7000,7000,1200,17,50,70,1
8,"d","Wisconsin",48000,48000,8500,18,1600,530,1
8,"d","Wyoming",30000,32000,2700,8,220,-,-
8,"d","",,,,,,,
8,"d","Other States 5/",8370,8670,1150,13,20,500,6
8,"d","",,,,,,,
8,"d","United States",2868970,"(X)",444730,16,219640,154560,5
8,"c",""
8,"f","-  Represents zero."
8,"f","(X)  Not applicable."
8,"f","(Z)  Less than half of the unit shown."
8,"f","1/ October 1 colonies plus all colonies moved into that state during the quarter."
8,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the October 1 colonies."
8,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
8,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the October 1 colonies."
8,"f","5/ Includes data for States not published in this table."
