7,"t","Honey Bee Colonies: Released August 1, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
7,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: July 1, 2018 and July-September 2018"
7,"h","","","","","","","",""
7,"h","","","July-September","July-September","July-September","July-September","July-September","July-September"
7,"h","State","July 1","","","","","",""
7,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
7,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","Renovated 4/"
7,"h","","","","","","","",""
7,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
7,"d","Alabama",8500,8500,1700,20,1600,1300,15
7,"d","Arizona",31000,31000,8000,26,3200,3100,10
7,"d","Arkansas",29000,29000,2300,8,2600,840,3
7,"d","California",590000,700000,73000,10,63000,141000,20
7,"d","Colorado",34000,35000,5000,14,1500,5000,14
7,"d","Connecticut",3200,3200,130,4,80,310,10
7,"d","Florida",197000,220000,30000,14,53000,40000,18
7,"d","Georgia",134000,138000,17000,12,27000,33000,24
7,"d","Hawaii",16500,16500,1800,11,1700,3000,18
7,"d","Idaho",82000,101000,14000,14,15000,21000,21
7,"d","",,,,,,,
7,"d","Illinois",11000,11000,660,6,700,420,4
7,"d","Indiana",11500,11500,990,9,520,1200,10
7,"d","Iowa",56000,57000,3600,6,1200,990,2
7,"d","Kansas",6000,6000,950,16,300,180,3
7,"d","Kentucky",6500,7000,840,12,300,660,9
7,"d","Louisiana",53000,53000,1900,4,1600,2300,4
7,"d","Maine",12500,12500,890,7,60,170,1
7,"d","Maryland",7500,7500,360,5,580,680,9
7,"d","Massachusetts",8000,10000,2200,22,850,730,7
7,"d","Michigan",88000,88000,8000,9,3000,22000,25
7,"d","",,,,,,,
7,"d","Minnesota",121000,127000,29000,23,1600,6500,5
7,"d","Mississippi",16500,16500,2900,18,110,650,4
7,"d","Missouri",10000,10000,540,5,260,410,4
7,"d","Montana",145000,153000,18500,12,3100,22000,14
7,"d","Nebraska",52000,54000,6500,12,8500,5000,9
7,"d","New Jersey",14000,14000,320,2,250,220,2
7,"d","New Mexico",6000,7000,1200,17,3800,1000,14
7,"d","New York",55000,56000,3900,7,3600,3700,7
7,"d","North Carolina",18000,18000,2200,12,2600,2000,11
7,"d","North Dakota",455000,490000,59000,12,23000,14500,3
7,"d","",,,,,,,
7,"d","Ohio",16000,16000,1300,8,1300,2100,13
7,"d","Oklahoma",2100,2100,370,18,20,10,"(Z)"
7,"d","Oregon",116000,117000,13000,11,3000,49000,42
7,"d","Pennsylvania",20000,21000,860,4,2900,2300,11
7,"d","South Carolina",9500,11500,1400,12,670,1100,10
7,"d","South Dakota",168000,197000,22000,11,8000,6500,3
7,"d","Tennessee",9000,9000,900,10,540,1000,11
7,"d","Texas",112000,124000,7500,6,7500,9500,8
7,"d","Utah",30000,30000,4400,15,970,1400,5
7,"d","Vermont",7000,7000,90,1,1200,80,1
7,"d","",,,,,,,
7,"d","Virginia",7500,7500,610,8,1000,990,13
7,"d","Washington",76000,84000,12000,14,7000,3600,4
7,"d","West Virginia",7500,8000,520,7,170,1200,15
7,"d","Wisconsin",61000,69000,10000,14,2400,3800,6
7,"d","Wyoming",33000,34000,3900,11,1800,3900,11
7,"d","",,,,,,,
7,"d","Other States 5/",6490,9990,890,9,480,440,4
7,"d","",,,,,,,
7,"d","United States",2958790,"(X)",377120,13,263560,420780,14
7,"c",""
7,"f","(X)  Not applicable."
7,"f","(Z)  Less than half of the unit shown."
7,"f","1/ July 1 colonies plus all colonies moved into that state during the quarter."
7,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the July 1 colonies."
7,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
7,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the July 1 colonies."
7,"f","5/ Includes data for States not published in this table."
