1,"t","Honey Bee Colonies: Released August 1, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Colonies, Maximum, Lost, Percent Lost, Added, Renovated, and Percent Renovated with Five or More Colonies – States and United States: April 1, 2018 and April-June 2018"
1,"h","","","","","","","",""
1,"h","","","April-June","April-June","April-June","April-June","April-June","April-June"
1,"h","State","April 1","","","","","",""
1,"h","","colonies","Maximum","Lost","Percent","Added","Renovated","Percent"
1,"h","","","colonies 1/","colonies","lost 2/","colonies","colonies 3/","renovated 4/"
1,"h","","","","","","","",""
1,"u","","(number)","(number)","(number)","(percent)","(number)","(number)","(percent)"
1,"d","Alabama",7000,8500,650,8,1700,710,8
1,"d","Arizona",19000,19500,2600,13,14000,2100,11
1,"d","Arkansas",14500,16000,2000,13,13000,1900,12
1,"d","California",1130000,1200000,110000,9,172000,255000,21
1,"d","Colorado",16500,27000,3000,11,12500,4700,17
1,"d","Connecticut",3600,3600,120,3,340,170,5
1,"d","Florida",250000,275000,56000,20,49000,68000,25
1,"d","Georgia",131000,137000,18000,13,35000,16000,12
1,"d","Hawaii",16500,16500,380,2,330,3100,19
1,"d","Idaho",59000,94000,6500,7,14500,29000,31
1,"d","",,,,,,,
1,"d","Illinois",10000,10500,2300,22,5000,2900,28
1,"d","Indiana",8000,9500,1800,19,4000,730,8
1,"d","Iowa",45000,47000,4300,9,15500,4800,10
1,"d","Kansas",3900,3900,300,8,3500,2100,54
1,"d","Kentucky",5500,6000,910,15,1500,560,9
1,"d","Louisiana",48000,48000,1400,3,4900,4000,8
1,"d","Maine",2200,23000,3100,13,430,790,3
1,"d","Maryland",7000,8000,370,5,2400,1200,15
1,"d","Massachusetts",3500,8000,260,3,910,350,4
1,"d","Michigan",37000,70000,7500,11,23000,8500,12
1,"d","",,,,,,,
1,"d","Minnesota",69000,116000,8500,7,42000,25000,22
1,"d","Mississippi",50000,50000,3400,7,4000,7000,14
1,"d","Missouri",7000,7000,390,6,2100,800,11
1,"d","Montana",50000,176000,5500,3,17000,22000,13
1,"d","Nebraska",10500,46000,2100,5,4000,900,2
1,"d","New Jersey",4400,15000,270,2,1300,170,1
1,"d","New Mexico",1900,4300,50,1,1700,450,10
1,"d","New York",20000,42000,2700,6,11000,2400,6
1,"d","North Carolina",16000,17500,2500,14,4100,800,5
1,"d","North Dakota",74000,460000,23000,5,23000,64000,14
1,"d","",,,,,,,
1,"d","Ohio",11000,13000,1500,12,9000,2100,16
1,"d","Oklahoma",15500,15500,1700,11,10500,6500,42
1,"d","Oregon",41000,107000,3400,3,17500,24000,22
1,"d","Pennsylvania",15500,19500,1100,6,6000,1600,8
1,"d","South Carolina",14000,14000,1300,9,2600,4000,29
1,"d","South Dakota",10000,169000,17000,10,12500,65000,38
1,"d","Tennessee",8000,8000,1200,15,3800,1300,16
1,"d","Texas",305000,315000,38000,12,79000,71000,23
1,"d","Utah",14500,26000,1900,7,9500,4100,16
1,"d","Vermont",5500,6500,520,8,2600,140,2
1,"d","",,,,,,,
1,"d","Virginia",5000,6000,500,8,2600,700,12
1,"d","Washington",55000,122000,7500,6,15500,19000,16
1,"d","West Virginia",7000,7000,570,8,2300,550,8
1,"d","Wisconsin",26000,56000,6500,12,12000,7000,13
1,"d","Wyoming",8500,28000,2300,8,5500,2200,8
1,"d","",,,,,,,
1,"d","Other States 5/",4380,8670,380,4,1750,1030,12
1,"d","",,,,,,,
1,"d","United States",2665880,"(X)",355270,13,676360,740350,28
1,"c",""
1,"f","(X)  Not applicable."
1,"f","1/ April 1 colonies plus all colonies moved into that state during the quarter."
1,"f","2/ Percent lost is the number of lost colonies divided by maximum colonies except for the United States, where percent lost is the number of lost colonies divided by the April 1 colonies."
1,"f","3/ Defined as any surviving colony that was requeened or received new honey bees through nuc or package."
1,"f","4/ Percent renovated is the number of renovated colonies divided by maximum colonies except for the United States, where percent renovated is the number of renovated colonies divided by the April 1 colonies."
1,"f","5/ Includes data for States not published in this table."
