id,slug,shortname,name,city,region,country,latitude,longitude,source,current_prediction,is_groundhog,type,active,description,image,predictions_count
1,punxsutawney-phil,Phil,Punxsutawney Phil,Punxsutawney,Pennsylvania,USA,40.9311988,-78.9622483,https://www.groundhog.org/history-past-predictions,https://www.cbsnews.com/news/groundhog-day-2023-punxsutawney-phil-prediction/,TRUE,Groundhog,TRUE,"Punxsutawney Phil is a superstar prognosticating groundhog from Punxsutawney, Pennsylvania. He makes his predictions from his burrow on Gobler’s Knob. According to legend, Phil has made weather prognostications since 1886, owing his improbably long life to the miraculous “groundhog nog” administered at the annual Groundhog Picnic.",https://groundhog-day.com/images/ghogs/punxsutawney-phil.jpeg,128
2,octoraro-orphie,Orphie,Octoraro Orphie,Quarryville,Pennsylvania,USA,39.8255413,-76.0919567,http://home.ptd.net/\%7Emsvitale/index.html,https://lancasteronline.com/news/local/groundhog-day-2023-heres-what-punxsutawney-phil-lancaster-county-groundhogs-predict-video/article_cf5ef140-a187-11ed-814b-d74d34d45df1.html,FALSE,Taxidermied groundhog,TRUE,"Octoraro Orphie, from Quarryville Pennsylvania, is a taxidermied world-renowned weather prognosticator and “One True Groundhog.” Other so-called groundhogs draw more celebrity endorsements, but Orphie is not distracted by the worldly pursuits of fame and fortune (at least partially due to his being stuffed and mounted). He is a sharp dresser, often spotted in his dapper top hat and bow tie.",https://groundhog-day.com/images/ghogs/octoraro-orphie.jpeg,91
3,wiarton-willie,Willie,Wiarton Willie,Wiarton,Ontario,Canada,44.7438686,-81.1386838,https://www.southbrucepeninsula.com/en/explore-and-play/wiarton-willie.aspx#Past-predictions,https://twitter.com/WiartonWillie/status/1621137992860729346,TRUE,Groundhog,TRUE,"Wiarton Wille is Canada’s most famous prognosticating groundhog, from the town of Wiarton, Ontario. Willie is a white groundhog whose coming was foretold as one who would forever alter the world of weather prognostication. Every February 2nd, Willie announces his prediction in Groundhogese to The Mayor of the Land and of the Marmot, the only person who can speak Groundhogese.",https://groundhog-day.com/images/ghogs/wiarton-willie.jpeg,60
4,jimmy-the-groundhog,Jimmy,Jimmy the Groundhog,Sun Prairie,Wisconsin,USA,43.1826322,-89.2143204,https://www.cityofsunprairie.com/840/Groundhog-Day,https://www.nbc15.com/2023/02/02/jimmy-gears-up-75th-annual-groundhog-day-sun-prairie/,TRUE,Groundhog,TRUE,"Jimmy the Groundhog is based in Sun Prairie, Wisconsin, the proclaimed “World Headquarters of the Groundhog.” His annual emergence from the ground on February 2nd foretells the coming of spring. Jimmy has an extremely high accuracy rate on his annual predictions, making him an outstanding leader in meteorological circles. He occasionally bites mayors’ ears.",https://groundhog-day.com/images/ghogs/jimmy-the-groundhog.jpeg,55
5,concord-charlie,Charlie,Concord Charlie,Athens,West Virginia,USA,37.4245956,-81.0095902,https://www.concord.edu/?s=concord+charlie,https://www.bdtonline.com/news/concord-charlie-says-winter-is-over/article_7803c03e-a307-11ed-bc20-ef9089191257.html,FALSE,Presumed groundhog,TRUE,"Concord Charlie is a presumed groundhog from Athens, West Virginia. In a tradition dating back to 1978, Charlie meets with the President of Concord University and relays his predictions regarding the duration of winter. The President then joins a slew of guests at the University’s annual Groundhog Day Breakfast and shares Charlie’s predictions. Notably, Charlie has never been seen by anyone except the President and presumably other university staff; we believe him to be a groundhog based on these few eyewitness accounts.",https://groundhog-day.com/images/ghogs/concord-charlie.jpeg,45
6,buckeye-chuck,Chuck,Buckeye Chuck,Marion,Ohio,USA,40.6141291,-83.1321507,https://en.wikipedia.org/wiki/Buckeye_Chuck#Past_predictions,https://twitter.com/OHBuckeyeChuck/status/1621127073598160899,TRUE,Groundhog,TRUE,"Buckeye Chuck is a weather-predicting groundhog in Marion, Ohio. In 1979, the Ohio legislature named Chuck the official groundhog for the Ohio state. Buckeye Chuck lives a comfortable, celebrity lifestyle — only working one day a year — but he doesn’t let the fame get to his head.",https://groundhog-day.com/images/ghogs/buckeye-chuck.jpeg,40
7,general-beauregard-lee,Beau,General Beauregard Lee,Jackson,Georgia,USA,33.233898,-83.9466163,https://twitter.com/genbeaulee,https://twitter.com/genbeaulee/status/1621140683129225216,TRUE,Groundhog,TRUE,"General Beauregard Lee is Georgia’s Official Weather Prognosticator, considered the principal prognosticator for the southern USA. General Beau lives comfortably in his groundhog-sized mansion known as Weathering Heights, where he enjoys naps, digging tunnels, and hashbrowns.",https://groundhog-day.com/images/ghogs/general-beauregard-lee.jpeg,40
8,french-creek-freddie,Freddie,French Creek Freddie,Upshur County,West Virginia,USA,38.8573662,-80.3149827,https://wvdnr.gov/french-creek-freddie-facts-to-get-you-ready-for-groundhog-day/ ,https://www.wdtv.com/2023/02/02/french-creek-freddie-predicts-early-spring/,TRUE,Groundhog,TRUE,"French Creek Freddie is a weather-predicting groundhog from Upshur County, West Virginia. Unlike his unseen state compatriot Concord Charlie, French Creek Freddie is a visible groundhog, who issues predictions annually from his home at the West Virginia State Wildlife Center.",https://groundhog-day.com/images/ghogs/french-creek-freddie.jpeg,35
9,gertie-the-groundhog,Gertie,Gertie the Groundhog,Hanna City,Illinois,USA,40.732973,-89.7383042,https://www.facebook.com/wildlifeprairiepark,https://www.facebook.com/wildlifeprairiepark/posts/pfbid02ahqyC2CgL65GjEnN9ugoUMTt6ZXVP4xXv3XV3KaHnJjGG1YUmUrb8CvSnNA1Yw3Pl,TRUE,Groundhog,TRUE,"Gertie the Groundhog is a celebrated meteorologist from Wildlife Prairie State Park, Illinois. Since 1993, Gertie has been predicting the weather on February 2nd from her wildlife chalet, inspiring local musician Barry Cloyd to write the original, hit song “Wake-Up Gertie.”",https://groundhog-day.com/images/ghogs/gertie-the-groundhog.jpeg,30
10,dunkirk-dave,Dave,Dunkirk Dave,Dunkirk,New York,USA,42.4609398,-79.3944887,https://www.dunkirkdave.com,https://www.dunkirkdave.com/groundhog-day-2023/,TRUE,Groundhog,TRUE,"Dunkirk Dave, from Dunkirk, New York, is the second longest prognosticating groundhog in the world, second only to Punxsutawney Phil. His owner, Bob Will, has been handling and helping groundhogs and other wildlife since he was a child, making Will and Dave the perfect pairing. Dave loves breakfasting on cooked oatmeal.",https://groundhog-day.com/images/ghogs/dunkirk-dave.jpeg,28
11,malverne-mel,Malverne Mel,Malverne Mel,Malverne,New York,USA,40.6793192,-73.6665466,https://www.facebook.com/crossroadsfarmatgrossmanns,https://www.newsday.com/long-island/malverne-mel-holtsville-hal-sam-champion-w7kx538a,TRUE,Groundhog,TRUE,"Groundhog Day with Malverne Mel is a tradition more than 2 decades old in Malverne, New York. Not happy with only predicting the weather, Mel is an art connoisseur and also hosts a poster contest. Mel is also a huge fan of the Bill Murray movie, “Groundhog Day.”",https://groundhog-day.com/images/ghogs/malverne-mel.jpeg,28
12,staten-island-chuck,Chuck,Staten Island Chuck,New York City,New York,USA,40.6251281,-74.1175587,https://en.wikipedia.org/wiki/Staten_Island_Chuck#Past_predictions,http://www.statenislandzoo.org/groundhog-day/,TRUE,Groundhog,TRUE,"Staten Island Chuck — also known as Charles G. Hogg — is a resident groundhog at Staten Island Zoo in New York City. He is one of the most accurate groundhogs, with an 85% accuracy rate. Chuck bit the hand of Mayor Michael Bloomberg and was subsequently the victim of an alleged manslaughter by succeeding Mayor Bill De Blasio.",https://groundhog-day.com/images/ghogs/staten-island-chuck.jpeg,28
13,lander-lil,Lil,Lander Lil,Lander,Wyoming,USA,42.830629,-108.722943,https://www.facebook.com/BLMWyoming,https://county10.com/forget-groundhogs-this-february-2-lander-lils-2023-prediction-is/,FALSE,Statue of a prairie dog,TRUE,"Lander Lil, a bronze statue of a prairie dog, has been predicting the future of winter weather for Wyoming since 1984. There really was a real Lander Lil before the installation of a larger-than-life bronze statue, which stands lookout from her perch on the grounds of the local Post Office.",https://groundhog-day.com/images/ghogs/lander-lil.jpeg,26
14,manitoba-merv,Merv,Manitoba Merv,Stonewall,Manitoba,Canada,50.1738294,-97.1351477,https://twitter.com/OakHammockMarsh,https://twitter.com/OakHammockMarsh/status/1621148767960596482,FALSE,Groundhog golf club cover,TRUE,"Groundhog puppet Manitoba Merv has been predicting the arrival of spring at the Oak Hammock Marsh Interpretive Centre for about 25 years. Merv is a puppet — technically a golf club cover — which is a bonus, because he lives forever and doesn’t need to be awakened from hibernation for a prediction. Merv began his storied career as an actor in puppet shows, but has since evolved into a Manitoba legend with a near flawless prediction rate.",https://groundhog-day.com/images/ghogs/manitoba-merv.jpeg,26
15,holtsville-hal,Hal,Holtsville Hal,Holtsville,New York,USA,40.7967917,-73.0358701,https://www.facebook.com/brookhavenwildlifecenter,https://www.newsday.com/long-island/malverne-mel-holtsville-hal-sam-champion-w7kx538a,TRUE,Groundhog,TRUE,"Holtsville Hal is the true-blue, first-rate North American Groundhog for the proud residents of Holtsville, New York. Hal’s prognostications are presented by Superintendent of Highways Daniel P. Losquadro. (The hot drink of the event is “HALuccino!) Hal’s introductory jingle goes: “Will he see it or will he not? Trust Holtzville Hal, he’s who we’ve got.”",https://groundhog-day.com/images/ghogs/holtsville-hal.jpeg,25
16,shubenacadie-sam,Sam,Shubenacadie Sam,Shubenacadie,Nova Scotia,Canada,45.0921321,-63.397339,https://data.novascotia.ca/Lands-Forests-and-Wildlife/Shubenacadie-Wildlife-Park-Groundhog-Day-Predictio/4y37-h2yu,https://twitter.com/ShubenacadieSam/status/1621118071552487424,TRUE,Groundhog,TRUE,"Shubenacadie Sam is a weather-predicting groundhog who resides at the Shubenacadie Wildlife Park in Nova Scotia. Living on the eastern edge of Canada, Sam makes the first prediction in North America every year at 8:00 am AST. Sam is active on Twitter and enjoys yoga and meditation.",https://groundhog-day.com/images/ghogs/shubenacadie-sam.jpeg,25
17,woody-the-woodchuck,Woody,Woody the Woodchuck,Howell,Michigan,USA,42.523758,-83.9529562,https://www.facebook.com/howellnaturecenter,https://www.facebook.com/howellnaturecenter/posts/pfbid037QBrEgFYmfjvRvH2HC7FrXdUE34gTU1rBVU4qT5XrU5B59npLRM15wGL7isUVVeql,TRUE,Groundhog,TRUE,"Woody the Woodchuck, Michigan’s official clairvoyant groundhog, has been prognosticating for over 2 decades. Unlike the ‘shadow’ technique used by most groundhogs, Woody’s forecast is determined by the time she spends outside on a ceremonial tree stump: 30 seconds or longer means an early spring, any less means a chilly six more weeks of winter.",https://groundhog-day.com/images/ghogs/woody-the-woodchuck.jpeg,25
18,woodstock-willie,Willie,Woodstock Willie,Woodstock,Illinois,USA,42.3142948,-88.4477184,https://www.facebook.com/WoodstockGroundhogDays/,https://patch.com/illinois/crystallake/woodstock-willie-makes-his-prediction-live-coverage,TRUE,Groundhog,TRUE,"Woodstock Willie is the official weather-predicting groundhog of Woodstock, Illinois. Woodstock is the filming location of the Bill Murray 1993 classic movie, “Groundhog Day”. Woodstock’s Groundhog Day ceremony is well attended, attracting with hundreds of spectators and featuring a Groundhog Polka Band.",https://groundhog-day.com/images/ghogs/woodstock-willie.jpeg,24
