city,country,description,location,state,state_abbrev,longitude,latitude,city_longitude,city_latitude
Ada,United States,"Ada witch - Sometimes you can see a misty blue figure floating within a 3-mile radius of the Ada Cemetery on 2 Mile between Egypt Valley and Honey Creek. The story of her origin is as follows: A man suspected his wife of having an affair, so he followed her late one night when she thought he was asleep. Sure enough, she went to a field near their property where she met her lover. The husband was enraged and killed his wife, which resulted in a struggle with the other man. Both men died from their injuries. It is said that late at night (especially during the night of and the nights preceding a full moon) people driving by the field can see her ghost, searching for her lover. Some people have reported stopping to try to communicate with her, but she always disappears or runs into the woods where she cannot be followed (due to the thick brambles that inhabit the area). She is said to dress in a long white gown which authorities say dates her to the turn of the 20th century. Usually she is seen alone, but sometimes witnesses report seeing a ghostly death scene re-enacted... Others report seeing nothing at all but hearing the killer's shouts of rage followed by the victims' screams of agony... Although it is said she haunts the field on Honeycreek Road where she died, other witnesses have reported her in nearby Seidman Park, and in nearby Findlay Cemetery, where she is supposedly buried. This story was actually featured in the book ""Ghosts of Grand Rapids.""",Ada Cemetery,Michigan,MI,-85.50489309999999,42.9621061,-85.4954803,42.960727
Addison,United States,A little girl was killed suddenly while waiting for a school bus by a speeding car. Since her death things have happened. The day of her funeral she started knocking on doors of the house she was born in.1 month later as her clothes were to be removed the doors in the home flew open with no reason. Cold spots now can be felt & knocking at the door is still present to this day in the home. Also when there swings in the yard you could see them swing real high as if someone was swinging on them. lights like to go on & off in this home & she does move things to let someone know she is there. The cemetery where this child lies has had alot of activity also. When you visit her grave she has a twirly that will start going around & round with no reason or wind blowing to let you know she is present. Some have said she has been spotted walking the cemetery very restless as if she doesn't realize she has passed on.,North Adams Rd.,Michigan,MI,-84.3818434,41.9714248,-84.3471684,41.986434
Adrian,United States,"If you take Gorman Rd. west towards Sand Creek, you will come to a gravel road leading north. A mile or so up this road you will come to narrow one lane trestle bridge. The road goes under this. Legend has it that at one time there was a farm house built near the tracks. Late one night a fire broke out in the barn. While the father ran to the barn to try to get the horses out, his wife and young son went to the tracks to wave down one of the many trains that would use that right of way. They were too close to the tracks however and both were struck by the train as it went past. The father was killed in the barn. Now if you go out there late at night, you can sometimes communicate with the Father. He will not allow you to talk to his wife or son; as if he was protecting them . There are other people living in the area now, and a large streetlight has been placed there by the people who own the neighboring land. If you stay there to long, they will call the police. However if you make your visit short enough they will usually leave you to it. This place has also been described as a good place to go to contact other spirits. The Father can be asked to help in this matter. He will not allow antagonistic spirits to talk however; once again to protect his family.",Ghost Trestle,Michigan,MI,-84.03565619999999,41.904538,-84.03716589999999,41.8975471
Adrian,United States,"In the 1970's, one room, room 211, in the old section of the dorms exhibited several phenomena. Don't know if this still continues today. The door into the room from the hallway, as well as the door into the bathroom, would open and shut on their own, the main door even if it had been locked. After closing, it would be locked again. There was also a spot on one wall (a wall that the room shared with a boarded up, no longer used laundry shaft) where two points of light would appear, shaped similar to eyes. Attempts were made to explain their appearance (they were visible any time it was dark in the room). They were screened off from the windows to see if they might be reflections, they weren't. When objects were placed between them and the windows they actually became brighter. We tried painting the walls, putting several coats of paint over them (thinking they may have been a joke of a previous resident, made with glow in the dark paint) - also having used sandpaper on the wall in that spot first before painting. They still appeared bright as ever after the painting. We tried covering them over by hanging a picture over them, but the picture kept falling down or moving. Last attempt to hang picture (it was a drawing on a piece of paper and simply taped to the wall) resulted in us waking up the next morning to find it taped to the ceiling over my bed. We finally moved a tall dresser in front of it and that seemed to take care of it. Reports from later residents told us that they had placed a mirror over it, and they had a rocker in the room. One night during a party, with several witnesses, the rocker began rocking on its own, then flew back and smashed the mirror. Have had no contact with the school since graduation, so don't know if these things still happen or not.",Siena Heights University,Michigan,MI,-84.0175653,41.9057124,-84.03716589999999,41.8975471
Albion,United States,"Kappa Delta Sorority - The Kappa Delta Sorority is haunted by an entity simply known as 'P'. It is said she was a sister there who died in a car accident. Current sisters there have reported hearing giggling and running around coming from the upstairs floor while they are in the basement. At one time a sister called out to ""P"" and received a ""hello"" in reply.",Albion College,Michigan,MI,-84.7451775,42.2440064,-84.7530304,42.243097
Albion,United States,A mysterious lady in white has been spotted in this cemetery.,Riverside Cemetery,Michigan,MI,-84.7530555,42.2368139,-84.7530304,42.243097
Algoma Township,United States,"On a winding dirt road next to the Rogue River called Friske, there is a small turn-around for no particular reason. On this turn-around, there is a trail that leads off a ways into the woods. If you follow the trail, it leads to an old iron bridge called Hell's Bridge. It is said that if you are sitting or standing on the bridge at midnight you can hear the devil laughing. The reason is, in the 1800's, when Algoma didn't really exist and Rockford was known as Laphamville, a man named Elias Friske murdered several children and claimed a demon made him do it. Later the bodies were found in the part of the river where the bridge is now. Sometimes you can also hear the children crying, @r the noise of splashing water where their bodies were thrown. Some fishermen in the early morning have reported seeing a strange figure near the bridge...",Hell's Bridge,Michigan,MI,,,-85.62292959999999,43.1492928
Algonac,United States,"Morrow Road is a Haunted road in Algonac Michigan near Harsens Island. In the 1800's a woman lost here child on that road and is still looking for her today. At night people see strange glowing orbs floating down the road and through the woods. Some see the lady walking by the side of the road in an 1800's dress covered in blood. Still others have reported seeing her hanging from a tree by a noose. The road has been on the popular show Unsolved Mysteries as well as several local news channels. Now there is a movie being made about the road. the story behind the road is a woman went out in the middle of the night to find her toddler that had somehow got out alone in the winter they both froze to death, it is a fact that if you park on the bridge at midnight and honk your horn three times she will appear and see if you have her baby. She is also said to be wearing a white blood covered gown carrying her dead baby. Also a green light will chase people away.-  www.morrowroad.com",Morrow Road,Michigan,MI,-82.5762902,42.6529969,-82.531018,42.6183675
Allegan,United States,"People report hearing footsteps, and doors slamming where there are no doors, a small child's voice say ""Mama?""",Elks Lodge,Michigan,MI,-85.84159919999999,42.520552,-85.8553031,42.5291989
Allegan,United States,"Various ghostly activities. News coverage about these hauntings every year around Halloween time, on the local channels.",The Grill House and the Rock Bottom Bar,Michigan,MI,-85.8575642,42.4977621,-85.8553031,42.5291989
Allegan,United States,there have been notes of white dogs chasing cars that pull into the drive way. People have seen people hanging form trees and working in fields in old clothing. This motel is where Al Capone did some of his work and had meetings in a secret place in the tunnels. The motel was once painted blue but the next day it was back to yellow. - March 2007 update: was torn down and a tennis court was built over it.,The Yellow Motel,Michigan,MI,-85.8744224,42.5341643,-85.8553031,42.5291989
Alma,United States,"Gamma Phi Beta House - Sisters that live in the ""pink"" room awoke one night to see a ghostly figure pacing back and forth between the closet door and the bedroom door. The sisters that stay in that room immediately started screaming, and the president came out of her room, opened the door and the ghost went past her. When she returned to her room everything that was hanging on the walls had fallen to the ground. Also, there are always strange things happening at the house. Things turn up missing or are moved. Strange noises can be heard throughout the night. Doors are always slamming, lights go dim, and many other strange things happen. The ""hauntings"" started shortly after the sisters of gamma phi beta remodeled the house...it's almost like it upset the ghost(s).",Alma College,Michigan,MI,-84.669939,43.379011,-84.6597274,43.3789199
Alpena,United States,A few witnesses heard footsteps and saw heads in the windows before they were boarded up. next to the long lake chapel.,old radio tavern,Michigan,MI,-83.433713,45.0629087,-83.4327528,45.0616794
Ann Arbor,United States,"Story goes some time in the late 70s a student named Mary (last name never mentioned) who, while working on some lighting fixtures alone one day, fell from the catwalks head first and died upon the stage. Sightings include actors and stagehands seeing a girl up in the catwalks wearing a light pink dress. Also, in the prop room where all the senior thespians spray paint their names on the wall shortly after Mary's death her name appeared in bold red paint above the doorway about seventeen feet from the floor and upside down.",Huron High School theatre.,Michigan,MI,-83.70264300000001,42.2813889,-83.7430378,42.2808256
Ann Arbor,United States,Mercywood was a mental hospital before closing down. security guards heard the elevators moving when the building was empty. Sounds would come from the boiler room. In the basement were personal belongings of the inmates. There was also a bowling alley and bumper pool tables in the basement. There were insane rambling written on the walls in some of the rooms. Behind the hospital there was a convent where the nuns lived that worked in the hospital and even to go in there was a very uneasy feeling. It is like you can feel the insanity that surrounded the place. Also an evil feeling. They have since torn down the old hospital but something has been built there recently. It is on Jackson Ave. in Ann Arbor a little way down from the cemetery next to I-94 on the right side if you are going west.,Mercywood Hospital,Michigan,MI,-83.6541587,42.2648802,-83.7430378,42.2808256
Assininns,United States,"Before the building was turned into a Tribal Center, it used to be a Catholic Orphanage. People have sighted apparitions of little kids, nuns and priests, and have also had encounters with objects dropping or moving, and other various sounds through out the building. This entire piece of land still has a church that's active, and other inactive buildings that date back to the early 1800's.",the old tribal center/orphanage,Michigan,MI,,,-88.4773517,46.81020950000001
Atlanta,United States,"The old cabin located on Camp 8 road is haunted by three young ghosts all sisters died during the flu epidemic in the upstairs bedroom. Reports of crying and screaming have been herd throughout the house. And pictures taken by visitors have shown more than just the three ghosts. Young children, orbs and a demon have also shown up in this film. - March 2008 Update: This is private property. No Trespassing.",Camp 8 Cabin,Michigan,MI,-84.2878159,44.84782939999999,-84.1438927,45.00473059999999
Augusta,United States,"Hotel now owned by Michigan State University.  Originally the Upjohn Family (of Upjohn Pharmaceauticals - since bought by Pharmacia and later Pfizer) summer residence.  Dr. Upjohn died in the Doctor's Cottage - a beautiful, upscale large cottage on the edge of the creek, surrounded by his japanese garden. Guests in staying in the cottage have told staff they hear footsteps and no one is there.  It's not uncommon for guests staying in the Doctor's Cottage to go to the front desk during the night to request to be moved to another room due to the strange noises and feelings of uneasiness. Hotel staff have said they hear the piano playing when alone in the Doctor's cottage, closing up after events- and yet they are the only people there. Guests staying in the carriage house have reported hearing piano music during the night - but the only piano currently on property is too far away to be heard there.",Brook Lodge Hotel,Michigan,MI,,,-85.35222189999999,42.3364294
Battle Creek,United States,"Reports of strange occurrences happened only in the East side building, usually in apartments 1-4, and 8. Closet doors would open, even when closed securely and if the closet door was closed, you can sometimes hear the coat hangers (even if immobilized in some way)tap against each other, despite the total lack of breezes or heat updrafts. Other strange happenings included: Heavy footsteps and yelling in vacant upper apartments, the feeling of an unpleasant presence, cold spots (in only one upper apartment), the feeling of being ""touched"" or ""groped"", knocking on doors, dishes being broken and pans thrown (but still intact and unmoved when you check them) and flickering lights. The buildings are about 100 years old, but no one has made any connections of deaths or tragedies to these ""hauntings"".",Court Apartments (formally Webster Apartments),Michigan,MI,-85.1780687,42.2979251,-85.17971419999999,42.3211522
Battle Creek,United States,when people drive by sometimes they see a white ball run across the into a marble headstone.,Penfield cemetery,Michigan,MI,-85.17774469999999,42.3062055,-85.17971419999999,42.3211522
Bay City,United States,Reports of apparitions and footsteps heard in there and found nobody in the building.,Delta College,Michigan,MI,-83.98600359999999,43.5579516,-83.8888647,43.5944677
Bay City,United States,"white objects seen entering plant, very creepy feeling, some people who have went inside have came out frightened",old water treatment plant,Michigan,MI,-83.8741012,43.6258078,-83.8888647,43.5944677
Bay City,United States,The legend of the Bloody Hand. For years there has been talk of the appearance of a bloody hand in the church sacristy and in the church basement as well.,Our Lady of the Visitation Church,Michigan,MI,-83.8945444,43.616625,-83.8888647,43.5944677
Bellaire,United States,"The Richardi House (now known as The Grand Victorian Bed & Breakfast) is rumored to be haunted by Henri Richardi. Richardi built the house for his intended bride. When she left him for another man, he was heartbroken. Strange lights were seen in the cupola when the house was uninhabited (before being turned into a Bed & Breakfast).",Richardi House,Michigan,MI,-85.209954,44.980443,-85.2111728,44.9802822
Dearborn,United States,The old Rouge Power House blew up in 2001 and several people died that day. If you park on Miller road late at night in front of this building you can hear vicious screams of the people thrown onto the street from the blast.,Ford Rouge Plant,Michigan,MI,-83.233109,42.303109,-83.17631449999999,42.3222599
Dearborn,United States,The overpass bridge also has haunting facts from the day Walter Reuther was beaten up by Harry Bennett's thugs. It is said that people who use this bridge late at night get an eerie feeling of being pushed from behind and a strange voice yells at them.,Ford Rouge Plant – Overpass Bridge,Michigan,MI,-83.233109,42.303109,-83.17631449999999,42.3222599
Dearborn,United States,"Cold spots felt. One of the most recent encounters was in one of the seventh grade classrooms. The teacher left the room to copy some papers. Right after he left, the door connecting to of the rooms together flew open. When some of the students checked, no one could've gotten into that room. They sat back down, and again, the door moved a little. Right after, the students heard faint whispering.",O.L. Smith Middle School,Michigan,MI,-83.2683124,42.2879006,-83.17631449999999,42.3222599
Belding,United States,"In the Children's section, downs stairs, sometimes you hear a small girl laughing when you are there alone. Books fall off the selves and you feel like there is someone in the room who wants you to go away even thought there is no one there.",Belding Library,Michigan,MI,-85.2268185,43.09784639999999,-85.228906,43.0978094
Belleville,United States,Go down Denton Rd. at midnight and stop when you see the old road at the bottom of the hill on Denton Rd. (Unknown name of road but it's by the old cemetery) stop turn off all lights and get out of your car wait about 1-10 min. and you will see a glow float down the old road at the bottom of the hill.,94 &amp; Denton Rd.,Michigan,MI,-94.819713,45.66820509999999,-83.4852133,42.2047619
Belleville,United States,"Denton Rd. - There's an overall bad feeling in this cemetery. If you take a camera (preferably digital) and take pictures, you'll see orbs everywhere. There's a specific large, greenish orb that shows up in photographs quite a bit.",Cemetery off S. Service Drive,Michigan,MI,-83.522807,42.2167069,-83.4852133,42.2047619
Belleville,United States,When the street is dark and no one is around you can put your car in park and turn you head-lights on get out of your car and stand in front of the car and you can see another car come towards you and drive right through you and your car and then disappear in seconds.,Robson Rd,Michigan,MI,-83.47570929999999,42.2414323,-83.4852133,42.2047619
Belleville,United States,ghosts dressed in white can be seen walking through the cemetery. It always vanishes into the tallest grave there. The ghost(s) follows vehicles that drive in there at night.,Tyler Rd. Cemetery,Michigan,MI,-83.4298354,42.2373832,-83.4852133,42.2047619
Berville,United States,"An abandoned farm house located 2 miles north of Berville where a very ill 12 year old boy had died in his sleep. Drive past this house at around 1 A.M. when it is said the boy died and you may catch a glimpse of lights flickering in the windows. Inside you can hear a faint whispering, footsteps upstairs, and things will move in the house including doors being opened that were closed. enter the boys bedroom at the end of the upstairs hall and experience an overwhelming cold chill and sudden sad emotions at times.",Berville Rd.,Michigan,MI,-82.88573939999999,42.9232364,-82.8829846,42.9083621
Big Rapids,United States,"Reports of a woman crying for help, cold chills, weird noises and intense feelings when exploring the basement, which was once opened to tunnels that ran underneath the entire town but have since been filled in.",Big Rapids Cinema,Michigan,MI,-85.4815053,43.6964729,-85.4836557,43.6980782
Big Rapids,United States,Voices are heard often.  Shadows of people walking. The sound of high heels down the hallway in the back.  A woman in dark clothing wearing white nylons and black heels.  Things have been reported to fall for no reason.,Ponderosa,Michigan,MI,-85.3960578,44.2451965,-85.4836557,43.6980782
Big Rapids,United States,"The apartments are very close to Ferris State University and have many students staying there.  Residents have heard a young lady or small child clearly say ""Hi"" behind them in the apartment. When they all turned to look no one was there.",Rapids Apartments,Michigan,MI,-85.4856063,43.6901794,-85.4836557,43.6980782
Birmingham,United States,"House built in 1920. Originally inhabited by Margaret parks who owned Parks Cole Company in downtown Birmingham around the same period. Countless paranormal experiences in the home. For example: lights turning on and off by themselves, curtains opening as if someone where looking out{nobody being home that is). , cold spots , ghostly apparitions both male and female, items vanishing and reappearing ( items of small size ), a strand of bells ringing in early morning hours. This is only to name a few. Also witnessed by many people. Home at a later date became the Michigan metaphysical society.",Adams house,Michigan,MI,-83.205793,42.541766,-83.21131919999999,42.5467012
Bloomfield,United States,"A side street north of 16 mile on Woodward holds a very creepy place called Trowbridge. It is a very rich area an local kids that were depressed would jump off the bridge which was a 100 ft. drop to there death, one instance on a Sunday from 8p.m until 12 midnight every half hour on the hour a kid would commit suicide until midnight when the train came an dismembered there corpses. The kids would spray paint there names or something to be remembered by on the wall. It is on a street called Trowbridge, very creepy street with huge houses take it down half a mile an on the left hand side before the street ends is the bridge. Go at your own risk because the place has been known to have many freaky occurrences an not to mention a monks monastery about a mile down the road. - October 2003 Update: The Police DO issue trespassing tickets for $250.00 because the train bridge and tracks are federal property and by being on it you are trespassing on federal property. - February 2004 Update: Police patrol there quite frequently and the neighbor across the street won't hesitate to call them.",Trowbridge Road,Michigan,MI,-83.2342207,42.5778303,-83.2827093,42.5793103
Bloomfield,United States,"Sacred Heart Academy - There is a statue of Mary with her hands raised in the air.. (You can see it as you drive by, its in the front yard.) The urban legend goes that there were 2 young boys playing by the statue. They were supposed to come home when the streetlights come on but never did. The parents started looking for them and found a bloody message on the base of this statue that said ""Don't let your kids play after dark"". With the fingers of the statue cut off and blood coming out. If you go there today you'll see the fingers cut off and the eyes gouged out.- August 2005 Update: This is believed to be a hoax. a visitor to our site reports the hands of the statue are intact.",Trowbridge Road,Michigan,MI,-83.2342207,42.5778303,-83.2827093,42.5793103
Borculo,United States,"What used to be an old, one-room schoolhouse, is now said to inhibit guests from the paranormal realm. It is said a former teacher, by the name of Ms. Van moss, would abuse the children so badly that one day after a playground mishap, Vanmoss struck a child so hard in the head that the child died immediately. Today, the schoolhouse is a well know restaurant, but the customers report seeing a small child sitting solemnly alone at a booth in the corner. There have also been reports of silver wear being randomly thrown across the room.",The Old School House,Michigan,MI,-86.013767,42.885003,-86.0211532,42.8850235
Breckenridge,United States,"Used to be the elementary school but in 1994 they built a new one and now it is a school for mental teenagers, and a place for events. It was said A few years after the school was built(1936)there was a little space in the wall that they boarded up, and some kid unbounded it and shoved another kid in there then boarded it back up, The kid died in the hole and a while later they found him, Now if you go in there by yourself the lockers open and close by themselves and you can here kids laughing, sometimes the toilets flush by themselves and the sinks turn on and off by themselves.",AIM School,Michigan,MI,-84.47591539999999,43.4146517,-84.4749978,43.4080849
Bridgeport,United States,there is said to be in the first years the school was built the principal was accidentally killed by a teacher....Now all the teachers that have problems with the principal face in school injuries like falling and breaking bones.,Bridgeport High School,Michigan,MI,-83.8698136,43.3553067,-83.88163639999999,43.3594696
Bridgeport,United States,"There had been said to be seen a little girl wondering the cemetery saying, ""Help me”. Seen by a young teenager.",Cole Rd. Cemetery,Michigan,MI,-83.063823,42.516651,-83.88163639999999,43.3594696
Brighton,United States,before the death sentence was revoked in Michigan hundreds of inmates died in the prison. Rumors of ghost hitchhikers are known to be on the road leading to the prison. These are the souls of inmates executed while attempting escape.,Brighton Women's correctional institute,Michigan,MI,-83.6954277,42.5191232,-83.7802214,42.5294773
Brimley,United States,"Point Iroquois Lighthouse, outside of Brimley is said to be haunted, there is a story about a ghost girl who was eaten by a bear, the bear was later killed and parts of the girl where discovered inside. The site is also the location of an Indian battle, which took place in the 1600's, where the Ojibwe and Iroquois had a battle, and the Iroquois's where slaughtered. The lighthouse has had cold spots and figures have been seen.",Point Iroquois Lighthouse,Michigan,MI,-84.6321703,46.484246,-84.6920059,46.3740542
Brooklyn,United States,in the house its said that there are noises that can be heard in a closet and the attic. And it is said that a man killed 3 people in the house and then himself. And so now the man is looking all over the house for the 3 people so he can kill them again.,Clarklake,Michigan,MI,-84.2482819,42.105874,-84.2482819,42.105874
Brownstown,United States,Back in the early 90's there was a rumor heard of a man with a ax walking around in the woods and every time a kid from the neighborhood walked into the woods they would see him for a split second but then the face disappeared it was said that someone actually got it on video tape but now you only see it during a full moon you can see an extra shadow walking besides you with a man and a axe.,Dawnshire Park,Michigan,MI,-83.220996,42.1663269,-83.2572332,42.1261157
Brownstown,United States,Rumors of a little boy and a tall man are said to haunt oak ridge anytime from about 9:00pm to 3:00 am.,Oak ridge cemetery on Telegraph,Michigan,MI,-83.269511,42.131493,-83.2572332,42.1261157
Brownstown,United States,there are hauntings all threw out the park. Apparitions of people walking up and down the streets late hours of the night.,Tela Valley,Michigan,MI,-83.2619069,42.177167,-83.2572332,42.1261157
Burton,United States,ticking clocks that are not there. Things will turn on by them self.,Naturally You,Michigan,MI,,,-83.6163423,42.99947179999999
Byron,United States,"There was a man named Nick Bradon that lived and built the house, he was plowing the field when he fell of the tractor and got ran over with the blades of the plow. There are reports of lights that go on and off, rocking chairs that rock on their own, foot steps, and there have been reports if people sleeping in the upstairs rooms have seen figure of people watching over them.",McGuire's House,Michigan,MI,,,-83.9444027,42.8228091
