Team,Home city,Arena,Capacity,Last season,Country,FinalFour_Appearances,Titles_Won,Years_of_FinalFour_Appearances,Years_of_Titles_Won
Anadolu Efes,Istanbul,Basketball Development Center,"10,000",6th,Turkey,5,2,"2000, 2001, 2019, 2021, 2022","2021, 2022"
Barcelona,Barcelona,Palau Blaugrana,"7,585",5th,Spain,0,0,NA,NA
Baskonia,Vitoria-Gasteiz,Buesa Arena,"15,431",14th,Spain,0,0,NA,NA
Bayern Munich,Munich,SAP Garden,"11,500",9th,Germany,0,0,NA,NA
Crvena zvezda Meridianbet,Belgrade,Belgrade Arena,"18,386",10th,Serbia,0,0,NA,NA
Dubai Basketball,Dubai,Coca-Cola Arena,"17,000",NA,United Arab Emirates,0,0,NA,NA
Fenerbah?e,Istanbul,Ülker Sports and Event Hall,"13,000",1st,Turkey,7,2,"2015, 2016, 2017, 2018, 2019, 2024, 2025","2017, 2025"
Hapoel IBI Tel Aviv,Tel Aviv,Arena 8888 Sofia \ Arena Botevgrad \   Menora Mivtachim Arena,"12,373",(EuroCup),Israel,0,0,NA,NA
LDLC ASVEL,Villeurbanne,"LDLC Arena, Astroballe","12,523, 5,556",15th,France,0,0,NA,NA
Maccabi Rapyd Tel Aviv,Tel Aviv,Menora Mivtachim Arena,"10,383",16th,Israel,0,0,NA,NA
Monaco,Monaco,Salle Gaston Médecin,"5,000",2nd,Monaco,2,0,"2023, 2025",None
Olimpia Milano,Milan,Unipol Forum,"12,700",11th,Italy,4,0,"1992, 2021",None
Olympiacos,Piraeus,Peace and Friendship Stadium,"12,300",3rd,Greece,14,3,"1994, 1995, 1997, 1999, 2009, 2010, 2012, 2013, 2015, 2017, 2022, 2023, 2024, 2025","1997, 2012, 2013"
Panathinaikos,Athens,Telekom Center Athens,"18,300",4th,Greece,13,7,"1994, 1995, 1996, 2000, 2001, 2002, 2005, 2007, 2009, 2011, 2012, 2024, 2025","1996, 2000, 2002, 2007, 2009, 2011, 2024"
Paris Basketball,Paris,"Adidas Arena, Accor Arena","8,000, 15,705",8th,France,0,0,NA,NA
Partizan,Belgrade,Belgrade Arena,"18,386",12th,Serbia,3,1,"1988, 1992, 1998, 2010",1992
Real Madrid,Madrid,Movistar Arena,"15,000",7th,Spain,12,6,"1995, 1996, 2011, 2013, 2014, 2015, 2017, 2018, 2019, 2022, 2023, 2024","1995, 2015, 2018, 2023"
Valencia Basket,Valencia,Roig Arena,"15,600",(EuroCup),Spain,0,0,NA,NA
Virtus Olidata Bologna,Bologna,"Virtus Arena, PalaDozza","9,980, 5,570",17th,Italy,0,0,NA,NA
?algiris,Kaunas,Žalgirio Arena,"15,415",13th,Lithuania,2,1,"1999, 2018",1999
