date,time,size,version,os,country,ip_id
2018-10-23,18:20:45,82877758,3.5.1,win,US,1
2018-10-23,18:20:42,77627379,3.5.1,osx,US,2
2018-10-23,18:20:51,82970566,3.5.1,win,US,3
2018-10-23,18:20:51,1394694,3.5.1,win,CA,4
2018-10-23,18:21:05,82877758,3.5.1,win,CA,4
2018-10-23,18:21:02,82877758,3.5.1,win,CA,4
2018-10-23,18:21:26,77627955,3.5.1,osx,EE,5
2018-10-23,18:21:54,82972925,3.5.1,win,GB,6
2018-10-23,18:21:49,82968649,3.5.1,win,FR,7
2018-10-23,18:21:47,82877755,3.5.1,win,CZ,8
2018-10-23,18:22:01,77630855,3.5.1,osx,US,9
2018-10-23,18:22:08,18913554,3.5.1,win,IL,10
2018-10-23,18:22:35,83042085,3.5.1patched,win,US,11
2018-10-23,18:22:37,77629894,3.5.1,osx,US,12
2018-10-23,18:22:38,83039126,3.5.1patched,win,US,13
2018-10-23,18:23:26,82877758,3.5.1,win,US,14
2018-10-23,18:23:30,83042338,3.5.1patched,win,US,15
2018-10-23,18:23:36,77629004,3.5.1,osx,US,16
2018-10-23,18:23:44,82968656,3.5.1,win,LB,17
2018-10-23,18:23:53,77628967,3.5.1,osx,US,18
2018-10-23,18:24:14,82971715,3.5.1,win,GB,19
2018-10-23,18:24:19,82877758,3.5.1,win,CA,20
2018-10-23,18:24:46,82969834,3.5.1,win,BR,21
2018-10-23,18:24:50,82972716,3.5.1,win,US,22
2018-10-23,18:25:33,83040798,3.5.1patched,win,US,13
2018-10-23,11:50:43,77634474,3.5.1,osx,TR,23
2018-10-23,11:50:50,82971422,3.5.1,win,DE,24
2018-10-23,11:50:51,29847539,3.5.1,src,BA,25
2018-10-23,11:51:49,82975992,3.5.1,win,PL,26
2018-10-23,11:52:01,31542269,3.5.1,win,CH,27
2018-10-23,11:52:28,77629692,3.5.1,osx,NA,28
2018-10-23,11:52:22,82877758,3.5.1,win,FR,29
2018-10-23,11:52:57,261936,3.5.1,win,GB,30
2018-10-23,11:53:07,83030531,3.5.1patched,win,US,31
2018-10-23,11:53:11,82970962,3.5.1,win,KR,32
2018-10-23,11:53:26,82976074,3.5.1,win,US,33
2018-10-23,11:53:58,83026195,3.5.1patched,win,US,34
2018-10-23,11:54:06,327562,3.5.1,win,GB,30
2018-10-23,11:54:15,82977856,3.5.1,win,DE,35
2018-10-23,11:54:24,30256061,3.4.2,src,US,36
2018-10-23,11:54:27,78015788,latest,osx,US,37
2018-10-23,11:54:14,82877758,3.5.1,win,SE,38
2018-10-23,11:54:26,82974940,3.5.1,win,NL,39
2018-10-23,11:54:27,78015788,latest,osx,US,37
2018-10-23,11:54:12,82375202,3.4.3,win,ZA,40
2018-10-23,11:55:19,82975714,3.5.1,win,AT,41
2018-10-23,08:31:01,83027299,3.5.1patched,win,US,42
2018-10-23,08:31:52,82977785,3.5.1,win,DE,43
2018-10-23,08:31:51,77628827,3.5.1,osx,DE,44
2018-10-23,08:31:59,82877758,3.5.1,win,GR,45
2018-10-23,08:32:15,77631162,3.5.1,osx,LU,46
2018-10-23,08:32:09,82877758,3.5.1,win,CN,47
2018-10-23,08:32:37,82971771,3.5.1,win,FR,48
2018-10-23,08:32:39,82877758,3.5.1,win,DE,49
2018-10-23,08:32:33,82877759,3.5.1,win,SE,50
2018-10-23,08:32:49,82877755,3.5.1,win,IN,51
2018-10-23,08:32:51,82877755,3.5.1,win,MY,52
2018-10-23,08:33:08,82971233,3.5.1,win,AO,53
2018-10-23,08:33:14,82877755,3.5.1,win,TW,54
2018-10-23,08:33:01,82975327,3.5.1,win,IN,55
2018-10-23,08:33:45,82970385,3.5.1,win,CH,27
2018-10-23,08:33:43,82980327,3.5.1,win,ZA,56
2018-10-23,08:33:57,29848361,3.5.1,src,BE,57
2018-10-23,08:34:12,65067783,3.2.1,win,TH,58
2018-10-23,08:34:20,82976057,3.5.1,win,NA,28
2018-10-23,08:34:15,78015788,latest,osx,US,37
2018-10-23,08:34:58,82968703,3.5.1,win,TW,59
2018-10-23,08:35:26,82975324,3.5.1,win,RU,60
2018-10-23,23:40:56,83037352,3.5.1patched,win,US,11
2018-10-23,23:40:55,82877755,3.5.1,win,US,61
2018-10-23,23:40:56,82975944,3.5.1,win,NA,28
2018-10-23,23:41:20,74977142,3.3.3,osx,GB,62
2018-10-23,23:41:59,82974508,3.5.1,win,US,63
2018-10-23,23:42:30,77266232,3.4.4,osx,US,37
2018-10-23,23:42:35,78015788,latest,osx,US,37
2018-10-23,23:42:49,82974796,3.5.1,win,NA,28
2018-10-23,23:42:52,82972471,3.5.1,win,US,15
2018-10-23,23:43:17,82877758,3.5.1,win,CN,64
2018-10-23,23:43:33,82972428,3.5.1,win,HK,65
2018-10-23,23:44:09,12257278,3.5.1,win,US,66
2018-10-23,23:45:31,82973515,3.5.1,win,JP,67
2018-10-23,02:30:31,82877755,3.5.1,win,GT,68
2018-10-23,00:11:05,83030107,3.5.1patched,win,US,69
2018-10-23,00:11:43,82971843,3.5.1,win,NA,28
2018-10-23,00:12:49,83028417,3.5.1patched,win,US,15
2018-10-23,00:13:06,83025554,3.5.1patched,win,US,70
2018-10-23,00:13:20,77633691,3.5.1,osx,JP,71
2018-10-23,00:14:39,82976589,3.5.1,win,US,72
2018-10-23,00:14:46,77628526,3.5.1,osx,US,73
