County,Population,NumberOfHouseholds,AverageHouseholdSize
Kenya   ,47213282,12143913,3.9
Mombasa   ,1190987,378422,3.1
Kwale  ,858748,173176,5
Kilifi  ,1440958,298472,4.8
TanaRiver   ,314710,68242,4.6
Lamu   ,141909,37963,3.7
Taita/Taveta  ,335747,96429,3.5
Garissa   ,835482,141394,5.9
Wajir  ,775302,127932,6.1
Mandera   ,862079,125763,6.9
Marsabit   ,447150,77495,5.8
Isiolo   ,267997,58072,4.6
Meru   ,1535635,426360,3.6
Tharaka-Nithi   ,391303,109860,3.6
Embu  ,604769,182743,3.3
Kitui   ,1130134,262942,4.3
Machakos  ,1414022,402466,3.5
Makueni   ,977015,244669,4
Nyandarua  ,636002,179686,3.5
Nyeri  ,752695,248050,3
Kirinyaga  ,605630,204188,3
Murang'a  ,1053059,318105,3.3
Kiambu   ,2402834,795241,3
Turkana   ,922210,164519,5.6
WestPokot   ,618867,116182,5.3
Samburu  ,307957,65910,4.7
TransNzoia   ,985333,223808,4.4
UasinGishu   ,1152671,304943,3.8
Elgeyo/Marakwet   ,453403,99861,4.5
Nandi  ,883634,199426,4.4
Baringo   ,662760,142518,4.7
Laikipia   ,513879,149271,3.4
Nakuru   ,2142667,616046,3.5
Narok  ,1149379,241125,4.8
Kajiado    ,1107296,316179,3.5
Kericho   ,896863,206036,4.4
Bomet  ,873023,187641,4.7
Kakamega   ,1861332,433207,4.3
Vihiga   ,587189,143365,4.1
Bungoma   ,1663898,358796,4.6
Busia   ,886856,198152,4.5
Siaya  ,989708,250698,3.9
Kisumu   ,1144777,300745,3.8
HomaBay   ,1125823,262036,4.3
Migori   ,1108950,240168,4.6
Kisii   ,1260509,308054,4.1
Nyamira  ,603051,150669,4
NairobiCity   ,4337080,1506888,2.9
