SubCounty,Farming,Tea,Coffee,Avocado,Citrus,Mango,Coconut,Macadamia,Cashew Nut,Khat (Miraa)
KENYA,6354211,476613,478936,966976,177445,796867,90952,195999,61664,134148
MOMBASA,12497,NA,NA,NA,NA,NA,1688,NA,602,NA
KWALE,108074,NA,NA,1063,10053,30272,31954,881,22803,NA
KILIFI,161188,NA,NA,NA,6808,37519,47561,NA,27940,NA
TANA RIVER,35094,NA,NA,NA,1109,6561,2228,NA,1691,NA
LAMU,18678,NA,NA,NA,2742,7423,5017,189,8085,NA
TAITA/TAVETA,56920,NA,NA,7963,3284,7171,2504,3650,543,NA
GARISSA,47645,NA,NA,NA,NA,1726,NA,NA,NA,NA
WAJIR,63433,NA,NA,NA,NA,NA,NA,NA,NA,NA
MANDERA,62639,NA,NA,NA,NA,2685,NA,NA,NA,NA
MARSABIT,39167,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISIOLO,24271,NA,NA,NA,NA,NA,NA,NA,NA,NA
MERU,274865,30404,28195,41746,6255,27457,NA,29545,NA,85023
THARAKA-NITHI,85767,7227,15792,13171,1630,14102,NA,9280,NA,8404
EMBU,130990,18664,28996,19355,3581,26771,NA,27488,NA,34900
KITUI,215322,NA,NA,12066,7510,35471,NA,NA,NA,NA
MACHAKOS,231341,NA,23525,45243,22797,75504,NA,6519,NA,NA
MAKUENI,193531,NA,3371,34107,27006,70130,NA,4293,NA,NA
NYANDARUA,140854,NA,NA,2892,1580,NA,NA,NA,NA,NA
NYERI,164229,23300,57983,22810,2521,10228,NA,25436,NA,NA
KIRINYAGA,139866,25135,47835,19691,2429,15311,NA,28508,NA,5821
MURANG'A,231400,43819,64533,52839,7210,38361,NA,35618,NA,NA
KIAMBU,214052,20958,31152,31392,2160,9855,NA,11748,NA,NA
TURKANA,61209,NA,NA,NA,NA,NA,NA,NA,NA,NA
WEST POKOT,89828,NA,1026,7535,1173,4426,NA,NA,NA,NA
SAMBURU,43149,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRANS NZOIA,140249,2780,4089,26594,1987,6721,NA,NA,NA,NA
UASIN GISHU,141547,NA,NA,8430,1376,2505,NA,NA,NA,NA
ELGEYO/MARAKWET,74881,751,1390,5224,1632,6430,NA,518,NA,NA
NANDI,148887,37564,11044,29356,1202,5806,NA,NA,NA,NA
BARINGO,100465,NA,3069,12372,2605,10600,NA,1673,NA,NA
LAIKIPIA,90729,NA,NA,5273,2121,2103,NA,773,NA,NA
NAKURU,283652,10041,NA,20209,4332,6560,NA,NA,NA,NA
NAROK,181706,NA,NA,13430,1784,2332,NA,NA,NA,NA
KAJIADO,97565,NA,NA,2994,NA,2776,NA,NA,NA,NA
KERICHO,150845,55837,24774,40748,2283,5588,NA,NA,NA,NA
BOMET,152564,50704,1940,44903,3298,3679,NA,NA,NA,NA
KAKAMEGA,335269,4644,2990,63886,4435,49075,NA,2292,NA,NA
VIHIGA,113753,11273,1717,34321,1233,26209,NA,NA,NA,NA
BUNGOMA,280445,2047,37773,73765,5268,54581,NA,2428,NA,NA
BUSIA,148257,NA,1498,27498,3616,35530,NA,1148,NA,NA
SIAYA,194362,NA,NA,31729,7350,44660,NA,1262,NA,NA
KISUMU,147117,NA,NA,19478,5265,28305,NA,NA,NA,NA
HOMA BAY,193812,1365,2864,29880,7496,34557,NA,1554,NA,NA
MIGORI,169958,NA,3864,33338,4444,27231,NA,1196,NA,NA
KISII,219853,67394,53580,88326,3850,17144,NA,NA,NA,NA
NYAMIRA,110028,62706,25936,43349,2020,3502,NA,NA,NA,NA
NAIROBI,32258,NA,NA,NA,NA,NA,NA,NA,NA,NA
