date,total_membership,full_members,guests,daily_active_members,daily_members_posting_messages,weekly_active_members,weekly_members_posting_messages,messages_in_public_channels,messages_in_private_channels,messages_in_shared_channels,messages_in_d_ms,percent_of_messages_public_channels,percent_of_messages_private_channels,percent_of_messages_d_ms,percent_of_views_public_channels,percent_of_views_private_channels,percent_of_views_d_ms,name,public_channels_single_workspace,messages_posted
2017-08-27,1,1,0,1,1,1,1,4,0,0,1,0.8,0,0.2,0.2857,0,0.7143,0,10,35
2017-08-28,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,10,35
2017-08-29,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,11,37
2017-08-30,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,11,38
2017-08-31,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,12,66
2017-09-01,188,188,0,169,111,169,111,252,0,0,119,0.6792,0,0.3208,0.8809,0,0.1191,0,12,1101
2017-09-02,284,284,0,225,110,270,183,326,0,0,46,0.8763,0,0.1237,0.9607,0,0.0393,0,12,1797
2017-09-03,324,324,0,214,96,309,218,204,0,0,71,0.7418,0,0.2582,0.945,0,0.055,0,13,2265
2017-09-04,354,354,0,203,67,337,234,155,0,0,70,0.6889,0,0.3111,0.9431,0,0.0569,0,13,2631
2017-09-05,390,390,0,254,70,378,255,135,0,0,122,0.5253,0,0.4747,0.9211,0,0.0789,0,13,3055
2017-09-06,410,410,0,223,65,397,268,130,0,0,52,0.7143,0,0.2857,0.9549,0,0.0451,0,14,3337
2017-09-07,419,419,0,240,95,409,278,254,0,0,122,0.6755,0,0.3245,0.9481,0,0.0519,0,15,3864
2017-09-08,428,428,0,210,66,405,245,164,0,0,169,0.4925,0,0.5075,0.9099,0,0.0901,0,15,4434
2017-09-09,428,428,0,179,50,386,212,127,0,0,41,0.756,0,0.244,0.96,0,0.04,0,15,4630
2017-09-10,429,429,0,155,38,376,186,118,0,0,67,0.6378,0,0.3622,0.9354,0,0.0646,0,15,4867
2017-09-11,430,430,0,174,46,365,175,131,0,0,51,0.7198,0,0.2802,0.9524,0,0.0476,0,15,5112
2017-09-12,430,430,0,157,38,337,162,64,0,0,72,0.4706,0,0.5294,0.9162,0,0.0838,0,15,5279
2017-09-13,430,430,0,144,29,319,150,56,0,0,20,0.7368,0,0.2632,0.9671,0,0.0329,0,16,5425
2017-09-14,430,430,0,174,49,312,133,62,0,0,18,0.775,0,0.225,0.9818,0,0.0182,0,16,5563
2017-09-15,430,430,0,134,22,303,121,44,0,0,28,0.6111,0,0.3889,0.9562,0,0.0438,0,16,5920
2017-09-16,430,430,0,81,11,287,109,20,0,0,25,0.4444,0,0.5556,0.9977,0,0.0023,0,16,5975
2017-09-17,430,430,0,97,15,283,100,27,0,0,0,1,0,0,0.9945,0,0.0055,0,16,6011
2017-09-18,431,431,0,125,17,267,92,21,0,0,2,0.913,0,0.087,0.991,0,0.009,0,16,6054
2017-09-19,431,431,0,109,18,251,85,45,0,0,1,0.9783,0,0.0217,0.9944,0,0.0056,0,16,6108
2017-09-20,431,431,0,121,21,253,83,47,0,0,4,0.9216,0,0.0784,0.9921,0,0.0079,0,16,6166
2017-09-21,431,431,0,112,21,230,62,62,0,0,15,0.8052,0,0.1948,0.9685,0,0.0315,0,16,6248
2017-09-22,430,430,0,97,16,217,58,27,0,0,0,1,0,0,1,0,0,0,17,6541
2017-09-23,430,430,0,59,10,212,58,19,0,0,0,1,0,0,1,0,0,0,17,6561
2017-09-24,430,430,0,89,7,211,54,17,0,0,3,0.85,0,0.15,0.991,0,0.009,0,17,6587
2017-09-25,430,430,0,95,12,203,52,65,0,0,11,0.8553,0,0.1447,0.963,0,0.037,0,17,6678
2017-09-26,430,430,0,99,18,201,51,58,0,0,44,0.5686,0,0.4314,0.872,0,0.128,0,17,6791
2017-09-27,430,430,0,101,17,192,50,41,0,0,7,0.8542,0,0.1458,0.9712,0,0.0288,0,17,6856
2017-09-28,430,430,0,120,31,202,61,23,0,0,25,0.4792,0,0.5208,0.9276,0,0.0724,0,18,6936
2017-09-29,430,430,0,112,13,208,58,24,0,0,24,0.5,0,0.5,0.9298,0,0.0702,0,18,7164
2017-09-30,430,430,0,60,9,208,54,13,0,0,11,0.5417,0,0.4583,0.907,0,0.093,0,18,7398
2017-10-01,430,430,0,87,6,205,54,8,0,0,2,0.8,0,0.2,0.9804,0,0.0196,0,18,7411
2017-10-02,430,430,0,90,16,196,55,46,0,0,23,0.6667,0,0.3333,0.9154,0,0.0846,0,18,7483
2017-10-03,430,430,0,76,22,191,56,52,0,0,0,1,0,0,0.9979,0,0.0021,0,18,7538
2017-10-04,430,430,0,97,18,193,59,16,0,0,21,0.4324,0,0.5676,0.9184,0,0.0816,0,18,7587
2017-10-05,430,430,0,79,9,183,47,8,0,0,0,1,0,0,1,0,0,0,18,7627
2017-10-06,430,430,0,88,12,181,50,5,0,0,2,0.7143,0,0.2857,0.9894,0,0.0106,0,19,7972
2017-10-07,430,430,0,47,4,180,48,9,0,0,0,1,0,0,1,0,0,0,19,7983
2017-10-08,430,430,0,56,5,174,47,9,0,0,1,0.9,0,0.1,0.9942,0,0.0058,0,19,7993
2017-10-09,430,430,0,73,7,170,44,8,0,0,2,0.8,0,0.2,0.9814,0,0.0186,0,19,8011
2017-10-10,430,430,0,75,8,172,39,10,0,0,0,1,0,0,0.9959,0,0.0041,0,19,8035
2017-10-11,430,430,0,84,15,165,36,30,0,0,0,1,0,0,1,0,0,0,19,8085
2017-10-12,430,430,0,76,17,164,36,52,0,0,6,0.8966,0,0.1034,0.9806,0,0.0194,0,19,8150
2017-10-13,430,430,0,54,6,160,30,7,0,0,1,0.875,0,0.125,0.9839,0,0.0161,0,19,8166
2017-10-14,430,430,0,39,4,158,30,10,0,0,0,1,0,0,1,0,0,0,19,8177
2017-10-15,429,429,0,62,3,155,30,3,0,0,0,1,0,0,0.9946,0,0.0054,0,20,8564
2017-10-16,429,429,0,115,9,172,31,18,0,0,0,1,0,0,0.9926,0,0.0074,0,20,8588
2017-10-17,429,429,0,70,3,170,29,6,0,0,0,1,0,0,0.9898,0,0.0102,0,20,8600
2017-10-18,429,429,0,64,10,168,30,33,6,0,10,0.6735,0.1224,0.2041,0.8182,0.0988,0.083,0,20,8671
2017-10-19,429,429,0,97,15,170,26,42,1,0,14,0.7368,0.0175,0.2456,0.9219,0.0156,0.0625,0,20,8729
2017-10-20,429,429,0,88,9,176,26,21,0,0,1,0.9545,0,0.0455,0.9938,0.0062,0,0,21,9133
2017-10-21,429,429,0,26,1,176,26,1,0,0,0,1,0,0,0.9595,0.0405,0,0,21,9136
2017-10-22,429,429,0,35,4,172,27,8,0,0,8,0.5,0,0.5,0.878,0.0163,0.1057,0,21,9154
2017-10-23,430,430,0,69,7,153,28,7,0,0,3,0.7,0,0.3,0.9634,0,0.0366,0,21,9169
2017-10-24,430,430,0,63,8,152,30,10,0,0,3,0.7692,0,0.2308,0.9706,0.0084,0.021,0,21,9187
2017-10-25,430,430,0,60,5,154,25,10,0,0,6,0.625,0,0.375,0.9487,0,0.0513,0,21,9208
2017-10-26,430,430,0,87,10,145,22,20,0,0,1,0.9524,0,0.0476,0.9848,0,0.0152,0,22,9237
2017-10-27,430,430,0,81,12,141,23,22,0,0,17,0.5641,0,0.4359,0.9275,0,0.0725,0,22,9655
2017-10-28,430,430,0,32,3,141,22,4,0,0,2,0.6667,0,0.3333,0.9787,0,0.0213,0,22,9661
2017-10-29,430,430,0,36,5,143,22,9,0,0,2,0.8182,0,0.1818,0.9524,0.0079,0.0397,0,22,9673
2017-10-30,430,430,0,51,7,143,22,16,0,0,0,1,0,0,0.9951,0,0.0049,0,22,9694
2017-10-31,430,430,0,52,1,140,18,0,1,0,0,0,1,0,0.9528,0.0472,0,0,22,9699
2017-11-01,430,430,0,54,7,135,21,18,0,0,0,1,0,0,0.9749,0.0101,0.0151,0,23,9727
2017-11-02,430,430,0,48,6,129,21,4,0,0,22,0.1538,0,0.8462,0.8281,0,0.1719,0,23,9760
2017-11-03,430,430,0,44,3,117,18,2,0,0,2,0.5,0,0.5,0.9649,0.0088,0.0263,0,23,10123
2017-11-04,430,430,0,26,2,118,20,0,0,0,0,0,0,0,0.9836,0.0164,0,0,23,10125
2017-11-05,430,430,0,25,1,115,18,0,0,0,2,0,0,1,0.9649,0,0.0351,0,23,10129
2017-11-06,430,430,0,57,3,114,16,1,0,0,4,0.2,0,0.8,0.9519,0,0.0481,0,23,10142
2017-11-07,430,430,0,45,1,114,16,1,0,0,0,1,0,0,1,0,0,0,23,10145
2017-11-08,430,430,0,55,4,113,14,5,0,0,14,0.2632,0,0.7368,0.8247,0,0.1753,0,24,10169
2017-11-09,430,430,0,55,7,116,17,9,0,0,2,0.8182,0,0.1818,0.9797,0.0051,0.0152,0,24,10189
2017-11-10,430,430,0,52,6,115,19,9,0,0,7,0.5625,0,0.4375,0.9617,0,0.0383,0,24,10554
2017-11-11,430,430,0,28,4,116,17,5,0,0,30,0.1429,0,0.8571,0.6234,0,0.3766,0,24,10592
