year,species,species_latin,how_many_counted,total_hours,how_many_counted_by_hour
1921,American Bittern,Botaurus lentiginosus,0,8,0
1921,American Black Duck,Anas rubripes,0,8,0
1921,American Coot,Fulica americana,0,8,0
1921,American Crow,Corvus brachyrhynchos,0,8,0
1921,American Goldfinch,Spinus tristis,0,8,0
1921,American Kestrel,Falco sparverius,0,8,0
1921,American Pipit,Anthus rubescens,0,8,0
1921,American Robin,Turdus migratorius,1,8,0.125
1921,American Three-toed Woodpecker,Picoides dorsalis,0,8,0
1921,American Tree Sparrow,Spizelloides arborea,12,8,1.5
1921,American Wigeon,Anas americana,0,8,0
1921,American Woodcock,Scolopax minor,0,8,0
1921,Bald Eagle,Haliaeetus leucocephalus,0,8,0
1921,Baltimore Oriole,Icterus galbula,0,8,0
1921,Barn Owl,Tyto alba,0,8,0
1921,Barn Swallow,Hirundo rustica,0,8,0
1921,Barred Owl,Strix varia,0,8,0
1921,Barrow's Goldeneye,Bucephala islandica,0,8,0
1921,Belted Kingfisher,Megaceryle alcyon,0,8,0
1921,Black-and-white Warbler,Mniotilta varia,0,8,0
1921,Black-backed Woodpecker,Picoides arcticus,0,8,0
1921,Black-capped Chickadee,Poecile atricapillus,9,8,1.125
1921,Black-crowned Night-Heron,Nycticorax nycticorax,0,8,0
1921,Black-headed Grosbeak,Pheucticus melanocephalus,0,8,0
1921,Black-legged Kittiwake,Rissa tridactyla,0,8,0
1921,Black-throated Gray Warbler,Setophaga nigrescens,0,8,0
1921,Black Scoter,Melanitta americana,0,8,0
1921,Black Vulture,Coragyps atratus,0,8,0
1921,Blue-gray Gnatcatcher,Polioptila caerulea,0,8,0
1921,Blue-winged Teal,Anas discors,0,8,0
1921,Blue Jay,Cyanocitta cristata,3,8,0.375
1921,Bohemian Waxwing,Bombycilla garrulus,0,8,0
1921,Bonaparte's Gull,Chroicocephalus philadelphia,0,8,0
1921,Boreal Chickadee,Poecile hudsonicus,0,8,0
1921,Boreal Owl,Aegolius funereus,0,8,0
1921,Brant,Branta bernicla,0,8,0
1921,Brown-headed Cowbird,Molothrus ater,0,8,0
1921,Brown Creeper,Certhia americana,1,8,0.125
1921,Brown Thrasher,Toxostoma rufum,0,8,0
1921,Bufflehead,Bucephala albeola,0,8,0
1921,Cackling Goose,Branta hutchinsii,0,8,0
1921,Canada Goose,Branta canadensis,0,8,0
1921,Canvasback,Aythya valisineria,0,8,0
1921,Carolina Wren,Thryothorus ludovicianus,0,8,0
1921,Caspian Tern,Hydroprogne caspia,0,8,0
1921,Cedar Waxwing,Bombycilla cedrorum,0,8,0
1921,Chipping Sparrow,Spizella passerina,0,8,0
1921,Common Eider,Somateria mollissima,0,8,0
1921,Common Gallinule,Gallinula galeata,0,8,0
1921,Common Goldeneye,Bucephala clangula,0,8,0
1921,Common Grackle,Quiscalus quiscula,0,8,0
1921,Common Loon,Gavia immer,0,8,0
1921,Common Merganser,Mergus merganser,0,8,0
1921,Common Raven,Corvus corax,0,8,0
1921,Common Redpoll,Acanthis flammea,0,8,0
1921,Common Snipe,Gallinago gallinago,0,8,0
1921,Common Yellowthroat,Geothlypis trichas,0,8,0
1921,Cooper's Hawk,Accipiter cooperii,0,8,0
1921,Dark-eyed Junco,Junco hyemalis,0,8,0
1921,Double-crested Cormorant,Phalacrocorax auritus,0,8,0
1921,Downy Woodpecker,Picoides pubescens,2,8,0.25
1921,Dunlin,Calidris alpina,0,8,0
1921,Eared Grebe,Podiceps nigricollis,0,8,0
1921,Eastern Bluebird,Sialia sialis,0,8,0
1921,Eastern Meadowlark,Sturnella magna,0,8,0
1921,Eastern Phoebe,Sayornis phoebe,0,8,0
1921,Eastern Screech-Owl,Megascops asio,0,8,0
1921,Eastern Towhee,Pipilo erythrophthalmus,0,8,0
1921,European Starling,Sturnus vulgaris,0,8,0
1921,Evening Grosbeak,Coccothraustes vespertinus,0,8,0
1921,Field Sparrow,Spizella pusilla,0,8,0
1921,Fox Sparrow,Passerella iliaca,0,8,0
1921,Franklin's Gull,Leucophaeus pipixcan,0,8,0
1921,Gadwall,Anas strepera,0,8,0
1921,Glaucous Gull,Larus hyperboreus,0,8,0
1921,Golden-crowned Kinglet,Regulus satrapa,0,8,0
1921,Golden Eagle,Aquila chrysaetos,0,8,0
1921,Gray Catbird,Dumetella carolinensis,0,8,0
1921,Gray Jay,Perisoreus canadensis,1,8,0.125
1921,Gray Partridge,Perdix perdix,0,8,0
1921,Great Black-backed Gull,Larus marinus,0,8,0
1921,Great Blue Heron,Ardea herodias,0,8,0
1921,Great Gray Owl,Strix nebulosa,0,8,0
1921,Great Horned Owl,Bubo virginianus,0,8,0
1921,Greater Scaup,Aythya marila,0,8,0
1921,Greater Yellowlegs,Tringa melanoleuca,0,8,0
1921,Green-winged Teal,Anas crecca,0,8,0
1921,Gyrfalcon,Falco rusticolus,0,8,0
1921,Hairy Woodpecker,Picoides villosus,0,8,0
1921,Harlequin Duck,Histrionicus histrionicus,0,8,0
1921,Harris's Sparrow,Zonotrichia querula,0,8,0
1921,Hermit Thrush,Catharus guttatus,0,8,0
1921,Herring Gull,Larus argentatus,0,8,0
1921,Hoary Redpoll,Acanthis hornemanni,0,8,0
1921,Hooded Merganser,Lophodytes cucullatus,0,8,0
1921,Horned Grebe,Podiceps auritus,0,8,0
1921,Horned Lark,Eremophila alpestris,0,8,0
1921,House Finch,Haemorhous mexicanus,0,8,0
1921,House Sparrow,Passer domesticus,0,8,0
1921,House Wren,Troglodytes aedon,0,8,0
1921,Iceland Gull,Larus glaucoides,0,8,0
1921,Killdeer,Charadrius vociferus,0,8,0
1921,King Eider,Somateria spectabilis,0,8,0
1921,Lapland Longspur,Calcarius lapponicus,0,8,0
1921,Least Sandpiper,Calidris minutilla,0,8,0
1921,Lesser Black-backed Gull,Larus fuscus,0,8,0
1921,Lesser Scaup,Aythya affinis,0,8,0
1921,Lesser Yellowlegs,Tringa flavipes,0,8,0
1921,Lincoln's Sparrow,Melospiza lincolnii,0,8,0
1921,Little Gull,Hydrocoloeus minutus,0,8,0
1921,Long-eared Owl,Asio otus,0,8,0
1921,Long-tailed Duck,Clangula hyemalis,0,8,0
1921,Mallard,Anas platyrhynchos,0,8,0
1921,Marsh Wren,Cistothorus palustris,0,8,0
1921,Merlin,Falco columbarius,0,8,0
1921,Mourning Dove,Zenaida macroura,0,8,0
1921,Mute Swan,Cygnus olor,0,8,0
1921,Nashville Warbler,Oreothlypis ruficapilla,0,8,0
1921,Northern Bobwhite,Colinus virginianus,0,8,0
1921,Northern Cardinal,Cardinalis cardinalis,0,8,0
1921,Northern Flicker,Colaptes auratus,0,8,0
1921,Northern Gannet,Morus bassanus,0,8,0
