key_ID,village,interview_date,no_membrs,years_liv,respondent_wall_type,rooms,memb_assoc,affect_conflicts,liv_count,items_owned,no_meals,months_lack_food,instanceID
1,God,2016-11-17T00:00:00Z,3,4,muddaub,1,NULL,NULL,1,bicycle;television;solar_panel;table,2,Jan,uuid:ec241f2c-0609-46ed-b5e8-fe575f6cefef
1,God,2016-11-17T00:00:00Z,7,9, muddaub,1,yes,once,3,cow_cart;bicycle;radio;cow_plough;solar_panel;solar_torch;table;mobile_phone,2,Jan;Sept;Oct;Nov;Dec,uuid:099de9c9-3e5e-427b-8452-26250e840d6e
3,God,2016-11-17T00:00:00Z,10,15, burntbricks,1,NULL,NULL,1,solar_torch,2,Jan;Feb;Mar;Oct;Nov;Dec,uuid:193d7daf-9582-409b-bf09-027dd36f9007
4,God,2016-11-17T00:00:00Z,7,6, burntbricks,1,NULL,NULL,2,bicycle;radio;cow_plough;solar_panel;mobile_phone,2,Sept;Oct;Nov;Dec,uuid:148d1105-778a-4755-aa71-281eadd4a973
5,God,2016-11-17T00:00:00Z,7,40,burntbricks,1,NULL,NULL,4,motorcyle;radio;cow_plough;mobile_phone,2,Aug;Sept;Oct;Nov,uuid:2c867811-9696-4966-9866-f35c3e97d02d
6,God,2016-11-17T00:00:00Z,3,3,muddaub,1,NULL,NULL,1,NULL,2,Aug;Sept;Oct,uuid:daa56c91-c8e3-44c3-a663-af6a49a2ca70
7,God,2016-11-17T00:00:00Z,6,38,muddaub,1,no,never,1,motorcyle;cow_plough,3,Nov,uuid:ae20a58d-56f4-43d7-bafa-e7963d850844
8,Chirodzo,2016-11-16T00:00:00Z,12,70,burntbricks,3,yes,never,2,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;fridge,2,Jan,uuid:d6cee930-7be1-4fd9-88c0-82a08f90fb5a
9,Chirodzo,2016-11-16T00:00:00Z,8,6,burntbricks,1,no,never,3,television;solar_panel;solar_torch,3,Jan;Dec,uuid:846103d2-b1db-4055-b502-9cd510bb7b37
10,Chirodzo,2016-12-16T00:00:00Z,12,23,burntbricks,5,no,never,2,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table,3,Jan;Oct;Nov;Dec,uuid:8f4e49bc-da81-4356-ae34-e0d794a23721
11,God,2016-11-21T00:00:00Z,6,20,sunbricks,1,NULL,NULL,2,radio;cow_plough,2,Oct;Nov,uuid:d29b44e3-3348-4afc-aa4d-9eb34c89d483
12,God,2016-11-21T00:00:00Z,7,20,burntbricks,3,yes,never,2,cow_cart;bicycle;radio;cow_plough;table,3,Sept;Oct,uuid:e6ee6269-b467-4e37-91fc-5e9eaf934557
13,God,2016-11-21T00:00:00Z,6,8,burntbricks,1,no,never,3,bicycle;radio;cow_plough;mobile_phone,2,Sept;Oct;Nov,uuid:6c00c145-ee3b-409c-8c02-2c8d743b6918
14,God,2016-11-21T00:00:00Z,10,20,burntbricks,3,NULL,NULL,3,bicycle;radio;cow_plough;solar_panel;table;mobile_phone,3,June;July;Aug;Sept;Oct;Nov,uuid:9b21467f-1116-4340-a3b1-1ab64f13c87d
15,God,2016-11-21T00:00:00Z,5,30,sunbricks,2,yes,once,3,bicycle;radio;cow_plough;solar_panel;table,2,Jan;Feb;Mar;Apr;May;June;July;Aug;Sept;Oct;Nov,uuid:a837e545-ff86-4a1c-a1a5-6186804b985f
16,God,2016-11-24T00:00:00Z,6,47,muddaub,1,NULL,NULL,4,radio;cow_plough;solar_panel;solar_torch,3,Jan;Feb,uuid:d17db52f-4b87-4768-b534-ea8f9704c565
